bhk,type,area_sq_ft,location,price_lakh,carpet_area,status,bathrooms
2,Villa,1250,Safedabad,42, ,StatusReady,2
2,Independent,800,Takrohi,40,799,StatusReady,2
2,Independent,1000,Malhaur,40,999,StatusReady,2
2,Independent,1000,Gomti Nagar,40,999,StatusReady,2
2,Independent,800,Ismailganj,40,799,StatusReady,2
2,Independent,800,Chinhut,40,799,StatusReady,2
2,Independent,800,Surendra Nagar,40,799,StatusReady,2
2,Independent,800,Harihar Nagar,41,799,StatusReady,2
2,Independent,800,Munshi Pulia,43,799,StatusReady,2
2,Independent,800,Indira Nagar,42,799,StatusReady,2
2,Villa,1250,Safedabad,42,,StatusReady,2
2,Villa,1000,Safedabad,42,,StatusReady,2
2,Villa,1250,Amity University Road,49.99,,StatusReady,2
2,Villa,750,Amity University Road,35,,StatusReady,2
2,Villa,1250,Safedabad,49.99,1000,StatusReady,2
2,Independent,1250,Faizabad Road,50,1000,StatusReady,2
2,Villa,1250,Faizabad Road,50,1000,StatusReady,2
2,Villa,800,Amity University Road,40,,StatusReady,2
2,Villa,1000,Kursi Road,31,740,StatusReady,2
2,Independent,1000,Sitapur Road,26,740,StatusReady,2
2,Villa,1000,Sitapur Road,25,740,StatusReady,2
2,Villa,1250,Safedabad,46,,StatusReady,2
2,Villa,900,Sitapur Road,22.5,700,StatusReady,2
2,Independent,800,Gomti Nagar,35,799,StatusReady,2
2,Villa,1000,Kursi Road,40,740,StatusReady,2
2,Independent,800,Devaroad,35,799,StatusReady,2
2,Independent,800,Chinhat,35,799,StatusReady,3
2,Independent,800,Matiyari,35,799,StatusReady,3
3,Villa,1250,Amity University Road,50,,StatusReady,2
3,Villa,1200,Chinhut,45,,StatusReady,2
2,Independent,1200,Raebareli Road,27,1000,StatusReady,2
2,Independent,1000,Kursi Road,30,740,StatusReady,2
2,Independent,1200,Bakshi Ka Talab,30,,StatusReady,2
2,Independent,901,Sitapur Road,22.5,700,StatusReady,2
2,Villa,1001,Kursi Road,30,740,StatusReady,2
2,Independent,900,Sitapur Road,22.5,700,StatusReady,2
2,Independent,1250,Bijnor,43,1000,StatusReady,1
3,Villa,1150,Gomti Nagar,50,1000,StatusReady,2
2,Villa,1250,Uattardhona,42,,StatusReady,2
2,Villa,1000,Anora Kala,49.5,,StatusReady,2
2,Villa,750,Amity University Road,36,,StatusReady,2
1,Independent,700,Sugamau Road,27,620,StatusReady,1
2,Villa,1000,Kursi Road,30,740,StatusReady,2
2,Independent,1000,Sitapur Road,22.5,740,StatusReady,2
2,Independent,1200,Sitapur Road,32,934,StatusReady,2
2,Independent,1000,Sitapur Road,25,740,StatusReady,2
2,Villa,1200,Sitapur Road,32,934,StatusReady,2
2,Independent,800,Munshi Pulia,42,799,StatusReady,2
2,Independent,800,Indira Nagar,40,790,StatusReady,2
