index,psraid,sample,int_date,lang,usr,cregion,state,form,sex,q1,q3,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,bbhome3a,bbhome3b,bbhome3c,bbhome3d,bbhome3e,device1a,smart1,q4,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,act19,act87a,act87b,act137,q5a,q5b,q5c,q5d,q5e,q5f,date1a,date2a,date3a,date3b,date4a,date4b,date4c,date4d,date4e,date4f,game1,game2a,game2b,game2c,game2d,game2e,game2f,game3a,game3b,game4,emplnw,emptype1,emptype2,emptype3,stud,job1a,job1b,job1c,job1d,job1e,job1f,job2,job3a,job3b,job3c,job3d,job3e,job3f,job3g,job3h,job4,smjob1,smjob2a,smjob2b,smjob2c,smjob2d,smjob2e,smjob3,smjob4a,smjob4b,smjob4c,smjob4d,smjob4e,snsjob1a,snsjob1b,snsjob1c,snsjob2a,snsjob2b,job5a,job5b,job5c,job5d,auto1a,auto1b,auto1c,auto1d,auto1e,auto2,auto3,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,weight,standwt
1018,201249,2,62015,1,S,3,24,2,1,2,3,1,1,5,2, , ,2,2,2,2,2, ,1, ,1,1,1,1,1,2,2,2,1,2,1,8,1,1,2, ,1,2, , , ,2,2,2,2,2,2,2,1,1,2,1,2,1,2,8,8,8,8,8,8,8,8, ,6, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,60,3,2,2, , , ,3, ,1,1, ,2,2, ,1,2, ,2,21221,4.80645161290323,1.53457357215081
1019,201271,2,62015,1,S,3,48,1,1,1,1,1,1,2,1,2, ,3,3,3,3,3, ,1, , , , , , , , , , ,1, , , , ,1,1, ,1,2,1,1, , , ,2,2,2,2,2,1,2,1,2,1,1,2,1,2,3,8,2,1,1,2,1,5,2,4,3,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,4,2, , , , , , , , , , , ,2,2,2,8,2,1,1,1,2,4,4,4,4,4,1,3,56,1,2,2, , , ,8, ,2,1, ,1,2, ,1,6, ,1,75098,1.29032258064516,0.4119660596378
1020,201272,2,62015,1,R,2,29,1,1,1,2,1,1,2,1,2, ,1,1,1,1,1, ,1, , , , , , , , , , ,2,2,1,1,1,1,1, ,2,2,2,2, , , ,2,2,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,4,2,1,3,1,1,1,1,1,1,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,1,1,1,4,4,4,4,4,1,2,30,1,2,1,2,0,0,8, ,2,3,1,2,2, ,1,6, ,2,65583,1.54838709677419,0.49435927156536
1021,201273,2,62015,1,R,3,40,1,1,8,8,1,1,3,1,8, ,1,9,1,1,8, ,1, ,8,8,1,8,8,2,8,1,1,2,1,2,1,8,2,1, ,2,2,2,1, , , ,1,2,2,2,2,2,2,8,8,8,2,3,1,1,3,2,3,1,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,3,67,1,2,2, , , ,5, ,1,2, ,4,8, ,8,7, ,2,74701,2.74193548387097,0.875427876730326
1022,201279,2,62215,1,S,3,48,1,1,2,2,1,1,4,1,3, ,8,3,3,3,3, ,2,1, , , , , , , , , ,1, , , , ,1,2, ,2,2,1,2, , , ,2, ,1,2,8,2,1,8,2,8,1,1,2,3,3,3,2,2,1,2,3, , , ,3, , , , , , ,1,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,67,1,2,2, , , ,4, ,1,1, ,2,2, ,1,99, ,1,99999,3.03225806451613,0.968120240148831
1023,201281,2,71215,1,R,3,48,2,2,4,3,1,1,2,2, , ,2,1,3,3,1, ,1, ,1,2,1,2,2,2,1,2,1,1, , , , ,2, ,1,2, , , ,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,3,3,2,8,2,2,1,2,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,68,1,2,1,1,0,0,8, ,2,2, ,3,2, ,2,6, ,1,75686,1.0,0.319273696219295
1024,201283,2,62015,1,R,3,1,1,2,2,3,1,1,2,1,2, ,3,2,3,3,3, ,2,4, , , , , , , , , ,1, , , , ,2,1, ,2,2,2,2, , , ,2, ,1,1,2,2,2,8,1,1,2,8,8,8,3,8,3,8,2, ,1,5,1, ,3,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,1,1,2,3,3,4,3,3,8,4,57,6,1,2, , , ,8, ,2,4,8,2,2, ,1,5, ,1,36701,1.0,0.319273696219295
1025,201296,2,70515,1,S,3,47,2,2,2,2,2,2, , , , ,3,8,8,8,2, ,2,1,2,2,2,2, ,2,2,1, ,1, , , , , , , , , , , ,2,2,2, , ,2,2,1,2,2,2,1,1,2,8,1,8,3,8,3,8,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,79,5,1,2, , , ,3, ,2,3,1,3,2, ,1,5, ,2,38053,4.03225806451613,1.28739393636813
1026,201297,2,62015,1,U,1,36,2,2,2,3,1,1,2,1,2, ,3,3,3,3,3, ,1, , , , , , , , , , ,1, , , , ,2, ,1,2, , , ,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,8,3,8,3,1,1, ,2,4,2,1,3,1,1,2,1,2,2,2, , , , , , , , , ,1,1,1,2,2,2,3,1,1,2,2,1,2,2,2,2,2,2,2,1,2,4,4,4,4,4,1,3,41,1,2,1,0,2,0,8, ,2,2, ,3,2, ,1,8, ,1,13901,3.45161290322581,1.10200920953112
1027,201316,2,62015,1,S,4,6,2,1,4,4,1,2,1,1,1,1,1,8,3,3,3, ,2,4,2,2,1,2, ,2,1,1,6,2,1,2,2,1,2, ,2,2, , , ,2,2,2,2, ,2,2,1,2,1,2,2,1,2,2,1,2,3,3,3,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,65,3,1,2, , , ,3, ,2,4,8,8,2, ,1,1, ,2,95961,3.19354838709677,1.01961599760356
