index,psraid,sample,int_date,lang,usr,cregion,state,form,sex,q1,q3,eminuse,intmob,intfreq,home4nw,bbhome1,bbhome2,bbhome3a,bbhome3b,bbhome3c,bbhome3d,bbhome3e,device1a,smart1,q4,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart4,cable1,cable2,cable3a,cable3b,cable3c,act19,act87a,act87b,act137,q5a,q5b,q5c,q5d,q5e,q5f,date1a,date2a,date3a,date3b,date4a,date4b,date4c,date4d,date4e,date4f,game1,game2a,game2b,game2c,game2d,game2e,game2f,game3a,game3b,game4,emplnw,emptype1,emptype2,emptype3,stud,job1a,job1b,job1c,job1d,job1e,job1f,job2,job3a,job3b,job3c,job3d,job3e,job3f,job3g,job3h,job4,smjob1,smjob2a,smjob2b,smjob2c,smjob2d,smjob2e,smjob3,smjob4a,smjob4b,smjob4c,smjob4d,smjob4e,snsjob1a,snsjob1b,snsjob1c,snsjob2a,snsjob2b,job5a,job5b,job5c,job5d,auto1a,auto1b,auto1c,auto1d,auto1e,auto2,auto3,age,marital,hh1,par,kidage1,kidage2,kidage3,educ2,edinst,disa,party,partyln,ideo,hisp,birth_hisp,race,inc,ql1a,qc1,zipcode,weight,standwt
0,100006,1,61015,1,S,3,51,1,2,1,2,1,1,1,1,2, ,3,3,3,3,2,1,1, , , , , , , , , , ,1, , , , ,1,1, ,1,2,2,1, , , ,2,2,2,2,2,2,2,2,1,1,2,2,1,8,3,8,3,2,1, ,4, , , ,3,1,1,1,1,1,1,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,47,1,4,1,0,1,2,6, ,2,3,8,1,2, ,1,99, , ,20112,2.25806451612903,0.72094060436615
1,100009,1,61015,1,U,3,24,2,2,2,3,1,1,5,1,1,1,3,3,3,3,3,1,1, ,8,2,8,2,1,2,2,2, ,1, , , , ,1, ,2,2, , , ,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,1,1,2,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,63,1,2,2, , , ,4, ,2,2, ,3,2, ,2,6, , ,21239,2.54838709677419,0.813632967784656
2,100011,1,61015,1,S,2,39,2,2,1,2,2,2, , , , ,3,9,3,3,3,1,2,1,2,2,2,2, ,2,2,1, ,1, , , , , , , , , , , ,2,2,2, , ,2,2,2,2,8,2,2,1,9,8,8,8,8,8,3,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,86,5,1,2, , , ,1, ,2,1, ,1,2, ,1,3, , ,44730,1.80645161290323,0.57675248349292
3,100039,1,61015,1,S,3,37,2,2,1,2,1,1,2,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,2, ,1,2, , , ,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,3,1,2, ,1,1,1, ,3,2,1,1,1,2,1,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,1,1,1,2,4,4,3,4,2,2,40,1,3,2, , , ,5, ,2,1, ,2,2, ,1,6, , ,27028,5.03225806451613,1.60666763258742
4,100040,1,61015,1,U,3,21,1,2,1,2,1,2,3,1,2, ,3,3,3,3,3,2, , , , , , , , , , , ,1, , , , ,2,1, ,2, , , , , , ,2, ,2,1,2,2,2,2,2,1,1,3,8,3,3,3,2,2,9,2,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2, , , , , , , , , , ,2,65,9,9,2, , , ,4, ,2,9,9,1,2, ,1,3,2, ,40511,7.16129032258065,2.28641163098979
5,100043,1,62215,1,R,2,20,1,2,1,2,1,1,4,1,2, ,1,1,1,2,2,1,1, , , , , , , , , , ,1, , , , ,2,1, ,2,2,2,1, , , ,2,2,2,2,2,1,2,1,1,2,2,3,1,1,3,8,8,2,1, ,2,5,2,4,3,1,1,1,2,2,1,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,1,1,1,4,4,4,4,4,2,2,69,1,2,2, , , ,6, ,2,3,8,3,2, ,1,8, , ,67601,1.0,0.319273696219295
6,100049,1,61015,1,R,1,42,1,1,1,4,2,2, , , , ,3,2,2,2,3,1,2,8,2,2,2,1, ,1,2,1,6,1, , , , , , , , ,2,2,2, , , , , ,2,2,2,2,9,1,2,1,2,3,1,8,3,8,8,1,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,72,1,2,2, , , ,6, ,2,3,8,1,2, ,1,99, , ,15748,1.38709677419355,0.442863514110635
7,100051,1,61915,1,R,2,26,1,1,1,2,2,2, , , , ,2,1,1,2,1,1,2,9,2,2,2,2, ,1,2,2, ,1, , , , , , , , ,2,2,2, , , , , ,2,2,1,1,2,2,1,2,2,2,2,1,8,2,8,1,2, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,70,1,2,2, , , ,4, ,2,1, ,2,2, ,1,7, , ,49690,1.64516129032258,0.525256726038195
8,100058,1,61015,1,R,3,40,2,1,2,2,1,1,3,1,2, ,3,3,2,3,2,1,1, , , , , , , , , , ,1, , , , ,2, ,1,2, , , ,1,2,1,2,2,1,2,2,2,1,1,2,1,2,1,2,1,8,1,8,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,1,2,1,2,2, , , , , , , , , , ,2,77,5,1,2, , , ,6, ,1,2, ,5,2, ,1,6, , ,73655,1.0,0.319273696219295
9,100059,1,61015,1,U,1,23,1,1,3,4,2,2, , , , ,2,1,1,1,1,1,8,1,2,2,2,2, ,2,2,2, ,1, , , , , , , , ,2,2,2, , , , , ,2,2,2,2,2,1,2,1,2,8,1,3,3,3,1,2,2, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,73,1,4,2, , , ,3, ,2,3,8,4,2, ,1,3, , ,4412,2.93548387096774,0.937222785675996
10,100060,1,61015,1,R,2,20,1,2,1,2,1,1,4,1,2, ,3,2,3,3,2,1,1, , , , , , , , , , ,1, , , , ,2,2, ,2,2,1,1, , , ,2,2,2,1,1,1,2,8,1,1,2,2,2,8,8,8,2,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,81,5,1,2, , , ,6, ,2,1, ,3,2, ,1,99, , ,67642,1.0,0.319273696219295
11,100065,1,61915,1,R,3,40,1,2,3,2,1,2,2,1,2, ,2,1,1,1,1,1,2,2, , , , , , , , , ,1, , , , ,2,1, ,2,2,2,2, , , ,2, ,2,1,1,1,2,2,1,1,1,3,8,8,2,8,3,2,2,2,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,1,77,1,2,1,0,1,0,3, ,2,1, ,3,2, ,1,99, , ,73086,2.06451612903226,0.65914569542048
12,100067,1,61015,1,R,2,27,1,1,1,3,1,1,1,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,2,1, ,2,1,2,1, , , ,2,2,1,1,1,1,2,2,8,2,1,1,2,3,2,3,3,2,2,1,1,2,2,1,3,1,1,1,1,1,1,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,1,2,2,1,1,1,2,4,4,4,4,4,1,2,52,1,2,2, , , ,4, ,2,3,1,2,2, ,1,8, , ,55395,2.61290322580645,0.834231270766546
13,100079,1,62315,1,U,3,12,1,2,3,2,1,1,2,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,2,1, ,2,2,2,1, , , ,2,2,2,2,2,2,1,2,2,1,1,1,3,3,3,2,2,2,2,2,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,74,1,2,2, , , ,5, ,1,2, ,2,2, ,1,6, , ,32771,1.90322580645161,0.607649937965755
14,100080,1,62015,1,S,3,45,2,2,4,4,1,1,2,1,3, ,2,1,1,1,1,1,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,3,2,3,1,2,2,1,8,2,8,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,8,4,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,4,4,4,4,1,2,43,1,2,1,0,1,0,6, ,2,3,8,3,2, ,1,98, , ,29560,2.58064516129032,0.823932119275601
15,100084,1,61015,1,R,3,1,2,2,2,2,1,1,2,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,1, ,1,2, , , ,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,1,8,8,3,1,1, ,1,1,2,4,3,1,1,1,1,1,1,2, , , , , , , , , ,1,1,2,2,2,2,3,8,8,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,3,3,2,2,44,1,3,2, , , ,4, ,2,1, ,2,2, ,1,7, , ,36854,4.64516129032258,1.48307781469608
16,100091,1,61915,1,S,3,21,2,1,1,3,2,2, , , , ,3,3,3,3,3,1,1, ,2,2,2,2,1,2,2,1,6,1, , , , , , , , , , , ,1,2,1, ,2,2,2,1,2,2,2,2,1,2,8,1,8,8,8,3,8,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,68,1,2,2, , , ,8, ,1,3,1,2,2, ,1,4, , ,42211,1.0,0.319273696219295
17,100096,1,61015,1,R,3,5,2,1,3,2,1,1,2,1,2, ,3,2,3,3,3,1,2,4, , , , , , , , , ,1, , , , ,2, ,2,2, , , ,2,2,2,2, ,2,2,2,2,2,2,2,1,2,2,2,8,8,8,3,1,2, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,87,1,2,1,0,1,1,5, ,2,2, ,4,2, ,2,4, , ,71852,1.7741935483871,0.566453332001975
18,100102,1,61015,1,U,1,36,2,2,1,2,1,2,2,1,2, ,2,2,1,1,1,1,2,1, , , , , , , , , ,1, , , , ,1, ,1,2, , , ,2,2,2,2, ,2,1,2,2,1,1,2,1,2,8,8,8,3,8,3,1,8, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,1,68,3,1,2, , , ,8, ,2,2, ,4,2, ,1,99, , ,10075,1.25806451612903,0.401666908146855
19,100118,1,61015,1,U,3,1,2,1,1,2,1,1,2,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2,3,8,9,8,9,1,1, ,1,2,2,2,3,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,4,2, , , , , , , , , , , ,2,2,2,2,2,2,2,1,1,4,4,4,4,4,3,2,58,1,2,2, , , ,6, ,2,1, ,3,2, ,1,7, , ,36532,1.16129032258065,0.37076945367402
20,100129,1,62315,1,R,4,30,1,2,4,4,1,1,1,1,2, ,2,1,2,2,1,2, , , , , , , , , , , ,2,2,2,2,1,1,1, ,1, , , , , , ,2, ,2,1,1,1,2,2,1,1,1,1,2,8,1,1,2,1,1,2,1,2,2,5,3,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,3,31,6,1,1,3,3,0,3, ,2,3,8,3,2, ,5,2,2, ,59043,7.16129032258065,2.28641163098979
21,100134,1,61015,1,S,2,20,1,1,2,3,2,2, , , , ,3,2,3,2,3,1,2,3,1,2,1,1, ,1,1,2,4,1, , , , , , , , ,2,2,2, , , , , ,2,2,2,2,2,1,2,1,2,8,2,8,2,8,3,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,85,1,2,2, , , ,3, ,1,1, ,3,2, ,1,6, , ,66051,1.64516129032258,0.525256726038195
22,100141,1,61015,1,R,3,48,2,2,2,2,2,2, , , , ,3,1,8,8,9,2, , ,2,2,1,1, ,2,2,1,2,1, , , , , , , , , , , , , , , , ,2,2,1,8,2,2,2,2,2,8,8,8,8,8,8,1,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,93,5,1,2, , , ,1, ,2,2, ,4,2, ,1,1,2, ,78954,4.09677419354839,1.30799223935002
23,100142,1,61015,1,S,3,45,2,1,4,4,2,2, , , , ,3,3,2,3,3,1,8,1,2,1,1,1, ,1,8,2,4,1, , , , , , , , , , , ,2,1,1, , ,2,2,1,1,1,1,1,1,2,2,3,3,2,3,1,2,2, ,1,3,1, ,3,3,4,3,2,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,1,2,4,3,4,4,2,2,57,1,3,2, , , ,3, ,2,2, ,1,2, ,1,6, , ,29706,2.96774193548387,0.947521937166941
24,100143,1,61015,1,U,1,9,2,1,1,3,1,2,1,1,2, ,1,2,1,2,1,1,2,2, , , , , , , , , ,1, , , , ,2, ,2,2, , , ,2,2,2,2, ,2,2,2,2,1,2,1,1,2,8,8,8,8,8,8,8,8, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,70,1,2,2, , , ,8, ,2,2, ,4,2, ,1,9, , ,6511,1.83870967741935,0.587051634983865
25,100151,1,61015,1,U,3,51,1,2,2,3,1,2,2,1,2, ,3,1,1,2,2,1,1, , , , , , , , , , ,2,2,1,2,2,1,2, ,2,2,2,2, , , ,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,3,1,1, ,4, , , ,3,1,1,2,1,2,2,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,36,1,2,1,1,1,0,8, ,2,3,8,8,1,3,2,7, , ,23452,2.38709677419355,0.762137210329931
26,100152,1,62415,1,S,4,49,1,2,2,4,1,1,2,1,2, ,3,2,8,3,1,1,2,2, , , , , , , , , ,2,2,2,1,1,1,1, ,1,2,2,2, , , ,2, ,2,1,2,2,2,2,2,1,1,2,3,8,2,8,1,1,8,2,4, , , ,3,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,3,39,1,2,1,0,2,2,6, ,2,1, ,2,2, ,1,6, , ,84005,3.48387096774194,1.11230836102206
27,100156,1,62115,1,S,2,27,2,2,1,2,1,2,8,1,2, ,3,3,1,3,8,1,2,3, , , , , , , , , ,1, , , , ,2, ,2,2, , , ,2,2,2,2, ,2,2,1,1,1,2,1,1,2,2,2,8,8,3,3,1,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,85,5,1,2, , , ,3, ,2,4,2,3,2, ,1,1, , ,55014,1.80645161290323,0.57675248349292
28,100161,1,61015,1,S,3,12,2,2,2,3,1,1,2,1,2, ,1,1,1,1,1,1,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,1,1,1,2,2,1,2,1,8,8,8,8,8,2,8,2,8,8,8,3,1,8, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2, , , , , , , , , , ,2,76,5,1,2, , , ,7, ,2,2, ,5,2, ,1,6, , ,32934,1.0,0.319273696219295
29,100163,1,61015,1,S,2,27,2,2,2,2,1,2,1,1,2, ,2,1,1,1,2,1,2,2, , , , , , , , , ,2,1,1,2,2,1, ,2,2, , , ,2,2,2,2, ,1,2,1,2,2,2,1,2,2,3,1,3,3,2,3,2,1, ,1,4,2,1,3,2,2,1,4,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,2,4,4,4,4,4,1,3,63,1,2,2, , , ,8, ,2,3,9,3,2, ,1,6, , ,55941,1.16129032258065,0.37076945367402
30,100176,1,62015,1,S,4,53,2,2,2,3,1,2,1,1,2, ,1,1,1,1,1,2, , , , , , , , , , , ,1, , , , ,2, ,2,2, , , , , , ,2, ,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,8,2,2,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,66,1,2,2, , , ,8, ,2,2, ,2,2, ,2,5,2, ,99026,3.87096774193548,1.2358981789134
31,100177,1,61015,1,U,4,41,1,2,1,2,1,1,1,1,2, ,2,2,1,2,2,1,1, , , , , , , , , , ,1, , , , ,2,1, ,2,2,2,1, , , ,2,2,2,2,2,2,2,2,2,1,2,2,8,2,3,8,3,1,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,57,6,2,2, , , ,6, ,2,2, ,9,2, ,1,7, , ,97756,1.67741935483871,0.53555587752914
32,100178,1,62015,1,U,4,6,2,1,1,2,1,1,3,1,2, ,3,3,3,3,2,1,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,2,2,1,2,2,2,2,2,2,2,2,1,1,1,3,1,1,3,2,2,1,2,2,2,2,1, ,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2, , , , , , , , , , , ,2,2,2,2,2,1,1,1,2,4,4,4,2,4,4,2,19,6,3,2, , , ,3,2,2,2, ,3,2, ,1,2, , ,91306,3.25806451612903,1.04021430058545
33,100180,1,61015,1,R,4,41,2,1,3,3,1,1,5,2, , ,2,1,2,1,1,2, , ,2,2,1,1, ,2,2,2,1,1, , , , ,1, ,2,1, , , , , , ,2, ,2,2,1,1,2,2,1,2,1,2,3,2,1,2,1,2,2,2,2,2,1, ,3,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,1,4,4,4,4,4,2,2,28,6,2,2, , , ,3, ,2,1, ,2,2, ,1,3,2, ,97470,6.12903225806452,1.95683878327955
34,100194,1,61015,1,S,2,39,2,2,1,2,1,1,2,1,2, ,2,1,1,1,1,1,2,2, , , , , , , , , ,1, , , , ,2, ,2,2, , , ,2,2,2,2, ,1,1,2,1,2,2,2,1,2,3,1,8,3,8,3,1,1, ,4, , , ,3,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,49,1,2,1,0,0,2,6, ,2,2, ,3,2, ,1,8, , ,44236,2.48387096774194,0.793034664802766
35,100205,1,61015,1,S,2,55,2,2,2,2,1,1,2,1,2, ,3,2,3,3,3,1,1, , , , , , , , , , ,1, , , , ,1, ,1,1, , , ,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2,3,3,2,3,2,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,4,2, , , , , , , , , , , ,2,2,2,2,2,2,1,1,1,3,4,4,3,3,2,2,45,6,1,1,0,0,1,5, ,2,1, ,8,2, ,1,4, , ,54768,1.90322580645161,0.607649937965755
36,100206,1,61015,1,S,4,6,2,2,4,4,1,1,5,1,2, ,2,1,1,2,1,2, , , , , , , , , , , ,2,1,2,1,1,2, ,2,2, , , , , , ,2, ,2,8,1,1,2,1,8,8,2,8,8,8,8,8,2,8,8, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,75,5,2,2, , , ,2, ,1,3,8,3,2, ,1,1,1, ,93308,3.61290322580645,1.15350496698584
37,100207,1,61015,1,R,4,41,1,1,2,1,1,1,3,1,2, ,2,2,2,2,2,1,1, , , , , , , , , , ,1, , , , ,2,2, ,2,2,2,2, , , ,2,2,2,2,2,2,2,2,2,1,2,8,2,8,8,8,3,8,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,60,2,2,2, , , ,2, ,1,2, ,4,2, ,1,2, , ,97138,2.48387096774194,0.793034664802766
38,100208,1,61015,1,U,3,24,1,2,2,2,1,1,2,1,2, ,1,1,1,1,1,1,2,2, , , , , , , , , ,1, , , , ,1,1, ,1,2,1,1, , , ,2, ,2,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,3, , , ,3, , , , , , ,1,1,1,1,1,1,1,1,2,5, , , , , , , , , , , , ,1,1,1,2,2, , , , , , , , , , ,1,52,6,3,2, , , ,5, ,2,2, ,4,2, ,2,4, , ,21217,3.64516129032258,1.16380411847679
39,100209,1,61015,1,S,3,37,1,1,1,2,1,2,5,1,2, ,1,1,1,1,1,1,2,1, , , , , , , , , ,1, , , , ,2,2, ,2,2,2,2, , , ,2, ,2,2,1,2,1,1,2,1,1,2,1,8,8,8,2,2,2,2,6, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,58,1,2,2, , , ,3, ,1,1, ,1,2, ,1,3, , ,27028,2.32258064516129,0.74153890734804
40,100223,1,61015,1,S,2,29,1,2,1,2,1,1,5,2, , ,3,3,3,3,3,1,1, ,1,2,1,2,1,2,1,2,5,1, , , , ,2,2, ,2,2,2,2, , , ,2,2,2,2,2,2,2,2,2,1,2,3,1,8,2,3,8,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,67,1,2,2, , , ,3, ,2,9,9,2,2, ,1,4, , ,63785,1.67741935483871,0.53555587752914
41,100229,1,61015,1,R,4,6,1,2,2,2,1,1,4,1,1,1,3,3,1,9,1,1,8,2,2,1,2,1, ,8,1,2,5,1, , , , ,2,1, ,2,1,2,1, , , ,2, ,2,2,1,2,1,1,2,1,1,8,1,8,8,8,8,1,1,2,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,80,5,1,2, , , ,5, ,2,1, ,2,2, ,1,3, , ,96080,1.32258064516129,0.422265211128745
42,100235,1,62415,1,S,1,9,2,2,3,3,1,2,4,1,2, ,2,2,2,2,2,1,2,5, , , , , , , , , ,1, , , , ,2, ,1,2, , , ,2,2,2,2, ,1,1,1,1,2,2,1,2,2,8,8,8,8,8,8,2,8, ,2,3,1, ,3,3,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,1,1,4,4,4,4,4,2,2,73,1,2,2, , , ,4, ,1,3,1,2,2, ,1,5, , ,6516,2.38709677419355,0.762137210329931
43,100239,1,61015,1,S,4,6,2,2,1,2,1,1,3,1,2, ,2,1,1,1,1,1,1, , , , , , , , , , ,2,1,2,1,1,1, ,1,1, , , ,1,1,1,2,1,2,2,1,1,2,1,2,1,1,2,2,8,1,3,1,1,1,2,2,1,1, ,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,4,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,4,4,4,4,4,1,2,19,6,4,2, , , ,4,2,2,2, ,4,1,1,1,4, , ,90404,7.16129032258065,2.28641163098979
44,100252,1,62115,1,R,3,12,2,1,1,4,1,2,3,2, , ,2,3,3,3,3,1,2,1,2,2,2,1, ,2,1,1,5,1, , , , ,1, ,2,1, , , ,2,2,2,2, ,2,2,2,2,1,1,2,1,2,3,8,8,3,8,9,1,1, ,5,8,1, ,3,1,1,1,1,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,4,4,4,4,4,2,3,70,1,2,2, , , ,3, ,2,1, ,1,2, ,1,5, , ,32060,2.32258064516129,0.74153890734804
45,100254,1,62015,1,R,3,45,1,1,2,3,1,1,2,1,2, ,2,1,1,1,1,1,1, , , , , , , , , , ,1, , , , ,1,1, ,1,1,1,1, , , ,2,2,1,1,1,1,2,2,1,2,1,2,3,8,2,3,1,1,2,1,1,3,1, ,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2, ,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,2,4,4,4,4,4,2,2,25,6,3,2, , , ,5,5,2,9,9,2,2, ,1,99, , ,29550,5.67741935483871,1.81265066240632
46,100256,1,62115,1,R,1,23,2,1,1,8,1,1,2,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,2, ,2,2, , , ,2,2,2,2,2,2,2,8,2,8,8,8,2,2,8,8,8,8,8,8,8,8, ,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,81,1,1,2, , , ,8, ,2,5,1,3,2, ,1,9, , ,4855,1.0,0.319273696219295
47,100259,1,62015,1,U,4,53,1,2,1,2,1,1,3,1,2, ,2,2,1,8,8,1,1, , , , , , , , , , ,1, , , , ,2,2, ,2,2,2,1, , , ,2,2,2,2,2,2,2,8,8,1,1,3,2,8,3,8,3,8,8,2,3, , , ,3, , , , , , ,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,75,6,1,2, , , ,8, ,2,2, ,4,2, ,1,98, , ,98116,1.0,0.319273696219295
48,100262,1,62715,1,R,2,26,2,1,1,2,1,2,3,1,2, ,3,3,3,3,3,1,2,1, , , , , , , , , ,1, , , , ,2, ,2,1, , , ,2,2,2,2, ,2,2,1,1,2,2,1,1,2,8,1,8,8,8,2,2,2, ,1,3,1, ,3,1,1,1,2,2,1,1,2,1,1,1,2,1,2,2,3, , , , , , , , , , , , , , , , , ,1,1,1,2,4,3,4,3,3,2,2,51,1,2,2, , , ,6, ,1,3,1,2,2, ,1,7, , ,48418,1.64516129032258,0.525256726038195
49,100266,1,61015,1,S,4,53,2,2,1,2,1,1,2,1,2, ,3,1,1,8,1,1,1, , , , , , , , , , ,1, , , , ,2, ,2,2, , , ,2,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,2,8,8,1,1,2,1,2,2,2,3,1,1,1,1,1,1,2, , , , , , , , , ,2, , , , , , , , , , , , , , , , ,1,1,1,2,4,4,4,4,4,3,8,73,1,2,2, , , ,6, ,2,3,2,4,2, ,1,8, , ,98516,1.09677419354839,0.35017115069213
50,100272,1,61015,1,S,4,41,1,2,3,3,1,1,2,1,2, ,3,3,3,3,3,1,1, , , , , , , , , , ,1, , , , ,2,1, ,2,2,1,1, , , ,2,2,1,1,1,1,2,2,1,1,2,3,2,8,3,8,2,1,2, ,1,5,2,1,3,2,1,1,1,3,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,1,1,1,2,3,4,3,3,3,2,2,40,1,2,1,0,0,2,8, ,2,3,1,3,2, ,1,8, , ,97223,3.61290322580645,1.15350496698584
51,100285,1,61015,1,R,4,15,1,1,1,2,1,2,2,1,2, ,2,8,8,8,1,2, , , , , , , , , , , ,2,1,1,2,2,2,1, ,2, , , , , , ,2, ,2,2,8,8,8,8,8,1,1,1,3,3,1,3,9,2,2,8,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,2,78,5,5,2, , , ,8, ,2,2, ,4,2, ,1,6,1, ,96746,3.29032258064516,1.05051345207639
52,100287,1,61115,1,S,1,42,2,2,1,3,1,1,3,1,2, ,2,1,2,2,2,1,2,1, , , , , , , , , ,1, , , , ,1, ,1,2, , , ,2,1,2,2, ,1,1,1,1,2,2,2,1,2,3,1,8,2,3,2,2,1, ,3, , , ,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2, , , , , , , , , , ,3,61,1,2,2, , , ,3, ,2,3,8,2,2, ,1,4, , ,15714,3.87096774193548,1.2358981789134
