"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Cuban Spanish","Español Cubano","Caribbean","Cuba","11,340,000","Indo-European","Union City (NJ)","Large","Residential"
"Cuban Spanish","Español Cubano","Caribbean","Cuba","11,340,000","Indo-European","Corona","Medium","Residential"
"Cuban Spanish","Español Cubano","Caribbean","Cuba","11,340,000","Indo-European","Financial District","Medium","Historical"
"Cuicatec","Dbaku","Central America","Mexico","8,680","Otomanguean","Clifton (NJ)","Smallest","Reviving"
"Cypriot Greek","Κυπριακά","Southern Europe","Cyprus,
Greece","700,000","Indo-European","Astoria","Medium","Residential"
"Cypriot Turkish","Kıbrıs Türkçesi","Southern Europe","Cyprus,
Turkey","","Turkic","Van Nest","Small","Residential"
"Czech","Čeština","Eastern Europe","Czech Republic,
Slovakia","13,386,850","Indo-European","Lenox Hill","Small","Residential"
"Czech","Čeština","Eastern Europe","Czech Republic,
Slovakia","13,386,850","Indo-European","Astoria","Small","Residential"
"Dagaare","Dagaare","Western Africa","Ghana","1,100,000","Atlantic-Congo","Claremont","Smallest","Residential"
"Dagbani","Dagbani","Western Africa","Ghana","1,160,000","Atlantic-Congo","Morris Heights","Smallest","Residential"
"Dangme","Dangme","Western Africa","Ghana","1,020,000","Atlantic-Congo","Morrisania","Small","Residential"
"Danish","Dansk","Western Europe","Denmark,
Sweden","5,632,990","Indo-European","Financial District","Smallest","Historical"
"Danish","Dansk","Western Europe","Denmark,
Sweden","5,632,990","Indo-European","Sunset Park","Small","Residential"
"Danube Swabian","Schwowisch","Western Europe","Hungary,
Romania","230,509","Indo-European","Ridgewood","Smallest","Residential"
"Darfurian Arabic","","Northern Africa","Sudan","9,241,369","Afro-Asiatic","Prospect Lefferts Gardens","Small","Residential"
"Dari","درى","Southern Asia","Afghanistan,
Pakistan","9,000,400","Indo-European","Kew Gardens Hills","Medium","Residential"
"Dari","درى","Southern Asia","Afghanistan,
Pakistan","9,000,400","Indo-European","Midtown","Smallest","Community"
"Dari","درى","Southern Asia","Afghanistan,
Pakistan","9,000,400","Indo-European","Hicksville (NY)","Small","Community"
"Dawei Burmese","တောင်ရိုးလူမျိုး","Southeastern Asia","Myanmar","","Sino-Tibetan","Prospect Heights","Smallest","Community"
"Dawei Burmese","တောင်ရိုးလူမျိုး","Southeastern Asia","Myanmar","","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Denjongke","འབྲས་ལྗོངས་སྐད་","Southern Asia","India","70,300","Sino-Tibetan","Astoria","Smallest","Residential"
"Dhivehi","ދިވެހި","Southern Asia","Maldives,
India","331,000","Indo-European","Murray Hill","Smallest","Community"
"Dinka","","Eastern Africa","Sudan,
South Sudan","1,352,120","Nilotic","East Midtown","Small","Community"
"Dolpo","གདོལ་པོལི་སྐད་","Southern Asia","Nepal","8,000","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Dominican Creole (English)","Dominican Creole (English)","Caribbean","Dominica","43,000","Indo-European","Flatbush","Smallest","Residential"
"Dominican Creole (French)","Kwéyòl","Caribbean","Dominica","43,000","Indo-European","Flatbush","Smallest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","Perth Amboy (NJ)","Largest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","Cypress Hills","Largest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","Corona","Largest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","Yonkers (NY)","Largest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","Washington Heights","Largest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","University Heights","Largest","Residential"
"Dominican Spanish","Español Dominicano","Caribbean","Dominican Republic","10,630,000","Indo-European","Union City (NJ)","Largest","Residential"
"Duala","Duala","Middle Africa","Cameroon","88,000","Atlantic-Congo","Tremont","Smallest","Residential"
"Dungan","Хуэйзў","Central Asia","Kyrgyzstan,
Kazakhstan","108,400","Sino-Tibetan","Sheepshead Bay","Smallest","Residential"
"Dutch","Nederlands","Western Europe","Netherlands,
Belgium","23,069,480","Indo-European","Financial District","Large","Historical"
"Dutch","Nederlands","Western Europe","Netherlands,
Belgium","23,069,480","Indo-European","South Ozone Park","Medium","Residential"
"Dutch","Nederlands","Western Europe","Netherlands,
Belgium","23,069,480","Indo-European","Kingston (NY)","Large","Historical"
"Dutch","Nederlands","Western Europe","Netherlands,
Belgium","23,069,480","Indo-European","Park Slope","Medium","Residential"
"Dyula","","Western Africa","Ivory Coast,
Burkina Faso","12,486,000","Mande","Central Harlem","Medium","Residential"
"Dyula","","Western Africa","Ivory Coast,
Burkina Faso","12,486,000","Mande","East New York","Smallest","Residential"
"Dyula","","Western Africa","Ivory Coast,
Burkina Faso","12,486,000","Mande","Concourse","Medium","Residential"
"Dzongkha","རྫོང་ཁ་","Southern Asia","Bhutan,
India","237,080","Sino-Tibetan","Fordham","Smallest","Residential"
"Dzongkha","རྫོང་ཁ་","Southern Asia","Bhutan,
India","237,080","Sino-Tibetan","Sunnyside","Small","Residential"
"Eastern Armenian","Արևելահայերեն","Western Asia","Armenia,
Russia","3,843,000","Indo-European","Sheepshead Bay","Medium","Residential"
"Ebrié","Ebrié","Western Africa","Ivory Coast","152,000","Atlantic-Congo","Central Harlem","Smallest","Residential"
"Ecclesiastical Latin","Latina Ecclesiastica","Southern Europe","Vatican City","","Indo-European","Midtown","Medium","Liturgical"
"Ecclesiastical Latin","Latina Ecclesiastica","Southern Europe","Vatican City","","Indo-European","Gowanus","Medium","Liturgical"
"Ecuadorian Kichwa","Runasimi","South America","Ecuador","1,000,000","Quechuan","Concourse","Medium","Residential"
"Ecuadorian Kichwa","Runasimi","South America","Ecuador","1,000,000","Quechuan","Ridgewood","Medium","Residential"
"Ecuadorian Kichwa","Runasimi","South America","Ecuador","1,000,000","Quechuan","Spring Valley (NY)","Medium","Residential"
"Ecuadorian Spanish","Español Ecuatoriano","South America","Ecuador","17,080,000","Indo-European","Bushwick","Large","Residential"
"Ecuadorian Spanish","Español Ecuatoriano","South America","Ecuador","17,080,000","Indo-European","Ossining (NY)","Medium","Residential"
"Ecuadorian Spanish","Español Ecuatoriano","South America","Ecuador","17,080,000","Indo-European","Parkchester","Large","Residential"
"Ecuadorian Spanish","Español Ecuatoriano","South America","Ecuador","17,080,000","Indo-European","Newark (NJ)","Medium","Residential"
"Ecuadorian Spanish","Español Ecuatoriano","South America","Ecuador","17,080,000","Indo-European","Corona","Largest","Residential"
"Edo","","Western Africa","Nigeria","1,641,670","Atlantic-Congo","Jamaica","Smallest","Residential"
"Edo","","Western Africa","Nigeria","1,641,670","Atlantic-Congo","Soundview","Small","Residential"
"Edo","","Western Africa","Nigeria","1,641,670","Atlantic-Congo","Bedford-Stuyvesant","Small","Residential"
"Efik","Efik","Western Africa","Nigeria","2,405,260","Atlantic-Congo","Kingsbridge","Medium","Residential"
"Egyptian Arabic","مصرى","Northern Africa","Egypt","64,618,100","Afro-Asiatic","Bay Ridge","Medium","Residential"
"Egyptian Arabic","مصرى","Northern Africa","Egypt","64,618,100","Afro-Asiatic","Jersey City (NJ)","Medium","Residential"
"Egyptian Arabic","مصرى","Northern Africa","Egypt","64,618,100","Afro-Asiatic","Astoria","Large","Residential"
"Egyptian Arabic","مصرى","Northern Africa","Egypt","64,618,100","Afro-Asiatic","Great Kills","Medium","Residential"
"Egyptian Arabic","مصرى","Northern Africa","Egypt","64,618,100","Afro-Asiatic","Ridgewood","Small","Residential"
"Egyptian Judeo-Arabic","","Northern Africa","Egypt,
Israel","","Afro-Asiatic","Gravesend","Smallest","Residential"
"Emiliano","Emiliàn","Southern Europe","Italy","","Indo-European","Chinatown","Small","Historical"
"Emiliano","Emiliàn","Southern Europe","Italy","","Indo-European","Gravesend","Small","Residential"
"Esan","Ishan","Western Africa","Nigeria","300,000","Atlantic-Congo","East New York","Small","Residential"
"Esperanto","Esperanto","Western Europe","France,
Brazil","2,001,000",,"Murray Hill","Small","Community"
"Estonian","Eesti","Northern Europe","Estonia","1,252,770","Uralic","Astoria","Smallest","Residential"
"Estonian","Eesti","Northern Europe","Estonia","1,252,770","Uralic","Murray Hill","Small","Community"
"Ewe","","Western Africa","Ghana,
Togo","4,685,760","Atlantic-Congo","Fordham","Medium","Residential"
"Ewe","","Western Africa","Ghana,
Togo","4,685,760","Atlantic-Congo","Jamaica","Smallest","Residential"
"Ewondo","Ewondo","Middle Africa","Cameroon","578,000","Atlantic-Congo","Belmont","Small","Residential"
"Falam Chin","Laiṭawng","Southeastern Asia","Myanmar,
India","107,000","Sino-Tibetan","Glendale","Smallest","Community"
"Falam Chin","Laiṭawng","Southeastern Asia","Myanmar,
India","107,000","Sino-Tibetan","Gravesend","Smallest","Community"
"Fang","Pangwe","Middle Africa","Equatorial Guinea,
Gabon","1,106,100","Atlantic-Congo","Midtown","Smallest","Community"
"Fante","Mfantse","Western Africa","Ghana","2,700,000","Atlantic-Congo","Fordham","Medium","Residential"
"Fe'fe'","Fe'fe'","Middle Africa","Cameroon","140,000","Atlantic-Congo","Tremont","Small","Residential"
"Fijian","Na Vosa Vakaviti","Melanesia","Fiji","670,710","Austronesian","Murray Hill","Smallest","Community"
"Finnish","Suomi","Northern Europe","Finland,
Sweden","6,305,020","Uralic","Central Harlem","Small","Historical"
"Finnish","Suomi","Northern Europe","Finland,
Sweden","6,305,020","Uralic","West Village","Small","Community"
"Finnish","Suomi","Northern Europe","Finland,
Sweden","6,305,020","Uralic","Sunset Park","Medium","Residential"
"Flemish","Vlaams","Western Europe","Belgium","6,500,000","Indo-European","Financial District","Smallest","Historical"
"Fon","Fongbe","Western Africa","Benin,
Togo","1,935,500","Atlantic-Congo","Jamaica","Smallest","Residential"
"Frafra","","Western Africa","Ghana,
Burkina Faso","663,100","Atlantic-Congo","Mount Hope","Smallest","Residential"
"Franconian","Fränkisch","Western Europe","Germany","","Indo-European","Washington Heights","Smallest","Residential"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","Central Harlem","Large","Residential"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","Cobble Hill","Medium","Residential"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","Larchmont (NY)","Medium","Community"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","Chelsea","Large","Residential"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","Queens Village","Medium","Residential"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","East Flatbush","Medium","Residential"
"French","Français","Western Europe","France,
Senegal","279,821,930","Indo-European","Concourse","Medium","Residential"
"French Guianese Creole","Kriyòl","South America","French Guiana","300,000","Indo-European","East Flatbush","Smallest","Residential"
"Frisian","Frysk","Western Europe","Netherlands","470,000","Indo-European","Financial District","Smallest","Historical"
"Friulian","Furlan","Southern Europe","Italy","300,000","Indo-European","Kips Bay","Small","Historical"
"Friulian","Furlan","Southern Europe","Italy","300,000","Indo-European","College Point","Small","Residential"
"Fujianese","福建话","Eastern Asia","China,
Taiwan","50,462,190","Sino-Tibetan","Lower East Side","Largest","Residential"
"Fujianese","福建话","Eastern Asia","China,
Taiwan","50,462,190","Sino-Tibetan","Sunset Park","Largest","Residential"
"Fujianese","福建话","Eastern Asia","China,
Taiwan","50,462,190","Sino-Tibetan","Flushing","Largest","Residential"
"Fujianese","福建话","Eastern Asia","China,
Taiwan","50,462,190","Sino-Tibetan","Bensonhurst","Largest","Residential"
"Fulani","Pulaar","Western Africa","Guinea,
Senegal","14,485,000","Atlantic-Congo","Morrisania","Medium","Residential"
"Fulani","Pulaar","Western Africa","Guinea,
Senegal","14,485,000","Atlantic-Congo","Bedford-Stuyvesant","Medium","Residential"
"Fulani","Pulaar","Western Africa","Guinea,
Senegal","14,485,000","Atlantic-Congo","Central Harlem","Medium","Residential"
"Fur","Bèle Fòòr","Northern Africa","Sudan,
Chad","745,800","Furan","Prospect Lefferts Gardens","Smallest","Residential"
"Ga","Ga","Western Africa","Ghana","745,000","Atlantic-Congo","Morrisania","Small","Residential"
"Gagnoa Bété","Gagnoa Bété","Western Africa","Ivory Coast","150,000","Atlantic-Congo","Central Harlem","Small","Residential"
"Galician","Galego","Southern Europe","Spain,
Portugal","2,372,000","Indo-European","Newark (NJ)","Medium","Residential"
"Galician","Galego","Southern Europe","Spain,
Portugal","2,372,000","Indo-European","Astoria","Medium","Residential"
"Galician","Galego","Southern Europe","Spain,
Portugal","2,372,000","Indo-European","West Village","Small","Residential"
"Gallo-Italic","Gallo-Italico (Lucano)","Southern Europe","Italy","","Indo-European","Little Italy","Smallest","Historical"
"Gan","江西话","Eastern Asia","China","22,100,000","Sino-Tibetan","Flushing","Small","Residential"
"Garifuna","Garifuna","Caribbean","Honduras,
Belize,
Guatemala","175,000","Arawakan","East Harlem","Small","Residential"
"Garifuna","Garifuna","Caribbean","Honduras,
Belize,
Guatemala","175,000","Arawakan","Far Rockaway","Smallest","Residential"
"Garifuna","Garifuna","Caribbean","Honduras,
Belize,
Guatemala","175,000","Arawakan","Ocean Hill-Brownsville","Medium","Residential"
"Garifuna","Garifuna","Caribbean","Honduras,
Belize,
Guatemala","175,000","Arawakan","Charlotte Gardens","Largest","Residential"
"Garo","","Southern Asia","India,
Bangladesh","1,270,000","Sino-Tibetan","Ozone Park","Smallest","Residential"
"Geg Albanian","Shqip (Gegë)","Southern Europe","Albania,
Kosovo,
Montenegro,
North Macedonia","3,856,370","Indo-European","Glendale","Medium","Residential"
"Geg Albanian","Shqip (Gegë)","Southern Europe","Albania,
Kosovo,
Montenegro,
North Macedonia","3,856,370","Indo-European","Tompkinsville","Medium","Residential"
"Geg Albanian","Shqip (Gegë)","Southern Europe","Albania,
Kosovo,
Montenegro,
North Macedonia","3,856,370","Indo-European","Pelham Parkway","Medium","Residential"
"Geg Albanian","Shqip (Gegë)","Southern Europe","Albania,
Kosovo,
Montenegro,
North Macedonia","3,856,370","Indo-European","Belmont","Large","Residential"
"Gen-Gbe","Gen-Gbe","Western Africa","Togo,
Benin","325,000","Atlantic-Congo","Crown Heights","Smallest","Residential"
"Georgian","ქართული","Western Asia","Georgia,
Turkey","3,858,920","Kartvelian","Forest Hills","Small","Residential"
"Georgian","ქართული","Western Asia","Georgia,
Turkey","3,858,920","Kartvelian","Manville (NJ)","Small","Community"
"Georgian","ქართული","Western Asia","Georgia,
Turkey","3,858,920","Kartvelian","Bensonhurst","Medium","Residential"
"German","Deutsch","Western Europe","Germany,
Austria,
Switzerland","132,176,520","Indo-European","East Village","Largest","Historical"
"German","Deutsch","Western Europe","Germany,
Austria,
Switzerland","132,176,520","Indo-European","Ridgewood","Medium","Residential"
"German","Deutsch","Western Europe","Germany,
Austria,
Switzerland","132,176,520","Indo-European","Brooklyn Heights","Small","Residential"
"German","Deutsch","Western Europe","Germany,
Austria,
Switzerland","132,176,520","Indo-European","Yorkville","Large","Residential"
"German","Deutsch","Western Europe","Germany,
Austria,
Switzerland","132,176,520","Indo-European","Hoboken (NJ)","Largest","Historical"
"Geʽez","ግዕዝ","Eastern Africa","Ethiopia,
Eritrea","","Afro-Asiatic","Norwood","Small","Liturgical"
"Geʽez","ግዕዝ","Eastern Africa","Ethiopia,
Eritrea","","Afro-Asiatic","Central Harlem","Small","Liturgical"
"Ghale","घले","Southern Asia","Nepal","18,000","Sino-Tibetan","Jackson Heights","Smallest","Residential"
"Ghanaian English","Ghanaian English","Western Africa","Ghana","","Indo-European","Concourse","Large","Residential"
"Ghomala","","Middle Africa","Cameroon","350,000","Atlantic-Congo","Mount Hope","Small","Residential"
"Gikuyu","Gĩgĩkũyũ","Eastern Africa","Kenya,
Tanzania","6,623,000","Atlantic-Congo","Jersey City (NJ)","Smallest","Residential"
"Gikuyu","Gĩgĩkũyũ","Eastern Africa","Kenya,
Tanzania","6,623,000","Atlantic-Congo","East Midtown","Smallest","Community"
"Gilbertese","Kiribati","Micronesia","Kiribati","119,881","Austronesian","Murray Hill","Smallest","Community"
"Gio","Dan","Western Africa","Ivory Coast,
Liberia","1,534,800","Mande","Park Hill","Smallest","Residential"
"Gola","Gola","Western Africa","Liberia,
Sierra Leone","161,000","Atlantic-Congo","Park Hill","Smallest","Residential"
"Gottscheerisch","Gottscheerisch","Western Europe","Slovenia","","Indo-European","Ridgewood","Medium","Residential"
"Gourmanché","Gourma","Western Africa","Burkina Faso,
Togo","1,064,200","Atlantic-Congo","Claremont","Smallest","Residential"
"Greek","Ελληνικά","Southern Europe","Greece,
Cyprus","13,170,460","Indo-European","Auburndale","Medium","Residential"
"Greek","Ελληνικά","Southern Europe","Greece,
Cyprus","13,170,460","Indo-European","Chelsea","Medium","Historical"
"Greek","Ελληνικά","Southern Europe","Greece,
Cyprus","13,170,460","Indo-European","Astoria","Large","Residential"
"Greek","Ελληνικά","Southern Europe","Greece,
Cyprus","13,170,460","Indo-European","Bay Ridge","Medium","Residential"
"Greek","Ελληνικά","Southern Europe","Greece,
Cyprus","13,170,460","Indo-European","Kingsbridge","Medium","Residential"
"Grenadian Creole","Patois","Caribbean","Grenada","89,000","Indo-European","Prospect Lefferts Gardens","Medium","Residential"
"Grenadian Creole","Patois","Caribbean","Grenada","89,000","Indo-European","Canarsie","Medium","Residential"
"Guadeloupean Creole","Kréyòl Gwadloup","Caribbean","Guadeloupe,
France","600,000","Indo-European","Flatbush","Smallest","Residential"
"Guarani","Avañe'ẽ","South America","Paraguay","6,162,840","Tupian","Sunnyside","Small","Residential"
"Guarani","Avañe'ẽ","South America","Paraguay","6,162,840","Tupian","White Plains (NY)","Small","Residential"
"Guiberoua Bété","Guiberoua Bété","Western Africa","Ivory Coast","130,000","Atlantic-Congo","Central Harlem","Small","Residential"
"Guinea-Bissau Creole","Kriol","Western Africa","Guinea-Bissau,
Senegal","1,305,800","Indo-European","Claremont","Smallest","Residential"
"Gujarati","ગુજરાતી","Southern Asia","India","60,588,970","Indo-European","Edison (NJ)","Largest","Residential"
"Gujarati","ગુજરાતી","Southern Asia","India","60,588,970","Indo-European","Midtown","Medium","Community"
"Gujarati","ગુજરાતી","Southern Asia","India","60,588,970","Indo-European","Jersey City (NJ)","Largest","Residential"
"Gujarati","ગુજરાતી","Southern Asia","India","60,588,970","Indo-European","Auburndale","Medium","Residential"
"Gulf Arabic","خليجي","Western Asia","Kuwait,
United Arab Emirates,
Saudi Arabia","9,750,000","Afro-Asiatic","Midtown","Medium","Community"
"Gullah","Geechees","Northern America","United States","250,000","Indo-European","Bedford-Stuyvesant","Smallest","Residential"
"Gullah","Geechees","Northern America","United States","250,000","Indo-European","Central Harlem","Smallest","Residential"
"Gun-Gbe","Fon","Western Africa","Benin,
Nigeria","934,000","Atlantic-Congo","Crown Heights","Smallest","Residential"
"Gurage","ጉራጌ","Eastern Africa","Ethiopia","1,860,000","Afro-Asiatic","Norwood","Smallest","Residential"
"Gurjar","گوجری‎","Southern Asia","India,
Pakistan","1,653,000","Indo-European","Ridgewood","Smallest","Residential"
"Guro","Golo","Western Africa","Ivory Coast","500,000","Mande","Central Harlem","Smallest","Residential"
"Gurung","","Southern Asia","Nepal,
India","381,800","Sino-Tibetan","Ridgewood","Smallest","Residential"
"Gurung","","Southern Asia","Nepal,
India","381,800","Sino-Tibetan","Jackson Heights","Small","Residential"
"Guyanese Creole","Creolese","South America","Guyana","50,000","Indo-European","East Flatbush","Large","Residential"
"Guyanese Creole","Creolese","South America","Guyana","50,000","Indo-European","Castle Hill","Medium","Residential"
"Guyanese Creole","Creolese","South America","Guyana","50,000","Indo-European","South Ozone Park","Largest","Residential"
"Guyanese Creole","Creolese","South America","Guyana","50,000","Indo-European","Canarsie","Large","Residential"
"Gyalsumdo","घ्याल्सुम्दो","Southern Asia","Nepal","200","Sino-Tibetan","Woodside","Smallest","Residential"
"Hainanese (Southern Min)","海南话","Eastern Asia","China,
Taiwan","50,462,190","Sino-Tibetan","Brooklyn Heights","Medium","Residential"
"Haitian Creole","Kreyol Ayisyen","Caribbean","Haiti,
Dominican Republic","7,613,800","Indo-European","Queens Village","Largest","Residential"
"Haitian Creole","Kreyol Ayisyen","Caribbean","Haiti,
Dominican Republic","7,613,800","Indo-European","Upper West Side","Medium","Residential"
"Haitian Creole","Kreyol Ayisyen","Caribbean","Haiti,
Dominican Republic","7,613,800","Indo-European","East Flatbush","Largest","Residential"
"Haitian Creole","Kreyol Ayisyen","Caribbean","Haiti,
Dominican Republic","7,613,800","Indo-European","Canarsie","Largest","Residential"
"Haitian Creole","Kreyol Ayisyen","Caribbean","Haiti,
Dominican Republic","7,613,800","Indo-European","Spring Valley (NY)","Medium","Residential"
"Haketia","חכיתיה","Northern Africa","Morocco,
Israel","133,016","Indo-European","Gravesend","Smallest","Residential"
"Haketia","חכיתיה","Northern Africa","Morocco,
Israel","133,016","Indo-European","East Midtown","Smallest","Residential"
"Hakha Chin","Laiṭong","Southeastern Asia","Myanmar,
India","210,410","Sino-Tibetan","Glendale","Smallest","Community"
"Hakka","","Eastern Asia","China,
Taiwan","48,467,490","Sino-Tibetan","Flushing","Small","Residential"
"Hakka","","Eastern Asia","China,
Taiwan","48,467,490","Sino-Tibetan","Chinatown","Small","Residential"
"Hamgyŏng Korean (Joseonjok)","","Eastern Asia","China,
South Korea,
North Korea","3,000,000","Koreanic","Flushing","Medium","Residential"
"Hasidic Yiddish","","Eastern Europe","United States,
Israel","","Indo-European","Far Rockaway","Medium","Residential"
"Hasidic Yiddish","","Eastern Europe","United States,
Israel","","Indo-European","Kiryas Joel (NY)","Largest","Residential"
"Hasidic Yiddish","","Eastern Europe","United States,
Israel","","Indo-European","Williamsburg","Largest","Residential"
"Hasidic Yiddish","","Eastern Europe","United States,
Israel","","Indo-European","Borough Park","Largest","Residential"
"Hassaniya Arabic","حسانية","Western Africa","Mauritania","2,840,000","Afro-Asiatic","Bedford-Stuyvesant","Small","Residential"
"Hassaniya Arabic","حسانية","Western Africa","Mauritania","2,840,000","Afro-Asiatic","Central Harlem","Small","Residential"
"Hausa","هَوُسَا","Western Africa","Nigeria,
Niger","74,930,300","Afro-Asiatic","Morris Heights","Small","Residential"
"Hausa","هَوُسَا","Western Africa","Nigeria,
Niger","74,930,300","Afro-Asiatic","Fort Greene","Small","Residential"
"Hausa","هَوُسَا","Western Africa","Nigeria,
Niger","74,930,300","Afro-Asiatic","Central Harlem","Small","Residential"
"Hausa","هَوُسَا","Western Africa","Nigeria,
Niger","74,930,300","Afro-Asiatic","Clifton","Small","Residential"
"Hawaiian","","Northern America","United States","27,200","Austronesian","Upper West Side","Smallest","Community"
"Hawaiian English","Pidgin","Northern America","United States","600,000","Indo-European","Upper West Side","Small","Community"
"Hazara","هزارگی","Southern Asia","Afghanistan,
Pakistan","8,000,000","Indo-European","Pomonok","Small","Residential"
"Hebrew","עברית","Western Asia","Israel","9,303,950","Afro-Asiatic","East Village","Small","Residential"
"Hebrew","עברית","Western Asia","Israel","9,303,950","Afro-Asiatic","Midwood","Large","Residential"
"Hebrew","עברית","Western Asia","Israel","9,303,950","Afro-Asiatic","Crown Heights","Medium","Residential"
"Hebrew","עברית","Western Asia","Israel","9,303,950","Afro-Asiatic","Fair Lawn (NJ)","Medium","Residential"
"Hebrew","עברית","Western Asia","Israel","9,303,950","Afro-Asiatic","Kew Gardens Hills","Large","Residential"
"Hebrew","עברית","Western Asia","Israel","9,303,950","Afro-Asiatic","Upper West Side","Medium","Residential"
"Herero","Otjiherero","Southern Africa","Namibia,
Botswana","211,700","Atlantic-Congo","Yonkers (NY)","Small","Residential"
"Hindi","हिन्दी","Southern Asia","India,
Nepal","612,000,000","Indo-European","Edison (NJ)","Largest","Residential"
"Hindi","हिन्दी","Southern Asia","India,
Nepal","612,000,000","Indo-European","Hicksville (NY)","Medium","Community"
"Hindi","हिन्दी","Southern Asia","India,
Nepal","612,000,000","Indo-European","Jersey City (NJ)","Large","Residential"
"Hindi","हिन्दी","Southern Asia","India,
Nepal","612,000,000","Indo-European","Gramercy","Medium","Community"
"Hindi","हिन्दी","Southern Asia","India,
Nepal","612,000,000","Indo-European","Utopia","Large","Residential"
"Hmong","Hmoob","Southeastern Asia","Vietnam,
China","7,710,850","Hmong-Mien","University Heights","Smallest","Residential"
"Hokkien","","Eastern Asia","China,
Taiwan","50,462,190","Sino-Tibetan","Elmhurst","Medium","Residential"
"Hopi","Hopílavayi","Northern America","United States","6,080","Uto-Aztecan","Lincoln Square","Smallest","Historical"
"Hunanese","湘话","Eastern Asia","China","37,300,000","Sino-Tibetan","Flushing","Medium","Residential"
"Hungarian","Magyar","Eastern Europe","Hungary,
Romania","12,574,280","Uralic","Borough Park","Medium","Residential"
"Hungarian","Magyar","Eastern Europe","Hungary,
Romania","12,574,280","Uralic","Passaic (NJ)","Large","Community"
"Hungarian","Magyar","Eastern Europe","Hungary,
Romania","12,574,280","Uralic","New Brunswick (NJ)","Medium","Residential"
"Hungarian","Magyar","Eastern Europe","Hungary,
Romania","12,574,280","Uralic","Yorkville","Medium","Residential"
"Hyolmo","ཡོལ་མོ་སྐད​་","Southern Asia","Nepal","10,680","Sino-Tibetan","Woodside","Smallest","Residential"
"Ibaloy","Inibaloi","Southeastern Asia","Philippines","116,000","Austronesian","Woodside","Smallest","Residential"
"Ibaloy","Inibaloi","Southeastern Asia","Philippines","116,000","Austronesian","East Village","Smallest","Residential"
"Ibanag","Ibanag","Southeastern Asia","Philippines","277,000","Austronesian","Woodside","Smallest","Residential"
"Ibibio","Ibibio","Western Africa","Nigeria","9,970,000","Atlantic-Congo","Norwood","Small","Residential"
"Icelandic","Íslenska","Northern Europe","Iceland","300,000","Indo-European","East Midtown","Smallest","Community"
"Igbo","Asụsụ Igbo","Western Africa","Nigeria","27,014,190","Atlantic-Congo","East New York","Medium","Residential"
"Igbo","Asụsụ Igbo","Western Africa","Nigeria","27,014,190","Atlantic-Congo","Newark (NJ)","Medium","Residential"
"Igbo","Asụsụ Igbo","Western Africa","Nigeria","27,014,190","Atlantic-Congo","St. Albans","Medium","Residential"
"Igbo","Asụsụ Igbo","Western Africa","Nigeria","27,014,190","Atlantic-Congo","Concourse","Medium","Residential"
"Igbo","Asụsụ Igbo","Western Africa","Nigeria","27,014,190","Atlantic-Congo","Clifton","Medium","Residential"
"Ilocano","Iloko","Southeastern Asia","Philippines","6,482,100","Austronesian","East Village","Smallest","Residential"
"Ilocano","Iloko","Southeastern Asia","Philippines","6,482,100","Austronesian","Woodside","Medium","Residential"
"Ilonggo","Hiligaynon","Southeastern Asia","Philippines","6,246,880","Austronesian","Woodside","Smallest","Residential"
"Ilonggo","Hiligaynon","Southeastern Asia","Philippines","6,246,880","Austronesian","East Village","Smallest","Residential"
"Indian English","Indian English","Southern Asia","India","","Indo-European","Bellerose","Largest","Residential"
"Indonesian","Bahasa Indonesia","Southeastern Asia","Indonesia","198,733,600","Austronesian","Elmhurst","Medium","Residential"
"Indonesian","Bahasa Indonesia","Southeastern Asia","Indonesia","198,733,600","Austronesian","Astoria","Medium","Community"
"Ingush","","Eastern Europe","Russia,
Kazakhstan","322,900","Nakh-Daghestanian","Brighton Beach","Smallest","Residential"
"Intha Burmese","အင်းသားလူမျိုး","Southeastern Asia","Myanmar","200,000","Sino-Tibetan","Prospect Heights","Smallest","Community"
"Intha Burmese","အင်းသားလူမျိုး","Southeastern Asia","Myanmar","200,000","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Inuktun","Inuktun","Northern America","Canada,
Greenland","1,200","Eskimo-Aleut","Upper West Side","Smallest","Historical"
"Iranun","Iranun","Southeastern Asia","Philippines","241,000","Austronesian","Woodside","Smallest","Residential"
