"Language","Endonym","World Region","Country","Global Speakers","Language Family","Location","Size","Status"
"Azeri","","Western Asia","Azerbaijan,
Russia","9,197,760","Turkic","Newark (NJ)","Small","Community"
"Azeri","","Western Asia","Azerbaijan,
Russia","9,197,760","Turkic","Kensington","Medium","Residential"
"Azeri","","Western Asia","Azerbaijan,
Russia","9,197,760","Turkic","Homecrest","Medium","Residential"
"Bafut","Bafut","Middle Africa","Cameroon","100,000","Atlantic-Congo","Tremont","Smallest","Residential"
"Bahamian Creole","Bahamianese","Caribbean","Bahamas","250,000","Indo-European","Central Harlem","Small","Community"
"Bahing","","Southern Asia","Nepal","15,250","Sino-Tibetan","Elmhurst","Smallest","Residential"
"Balanta-Ganja","Balanta-Ganja","Western Africa","Senegal","96,000","Atlantic-Congo","Concourse","Smallest","Residential"
"Balinese","Basa Bali","Southeastern Asia","Indonesia","3,300,000","Austronesian","Elmhurst","Small","Residential"
"Balkan Romani","Xoraxane","Southern Europe","North Macedonia,
Serbia","809,940","Indo-European","Belmont","Small","Residential"
"Balochi","بلوچی","Southern Asia","Pakistan,
Iran","4,086,000","Indo-European","Kensington","Smallest","Residential"
"Balti","بلتی","Southern Asia","Pakistan,
India","392,800","Sino-Tibetan","Yorkville","Smallest","Residential"
"Balti","بلتی","Southern Asia","Pakistan,
India","392,800","Sino-Tibetan","South Jamaica","Small","Residential"
"Bambara","","Western Africa","Mali,
Ivory Coast","14,102,320","Mande","St. Albans","Small","Residential"
"Bambara","","Western Africa","Mali,
Ivory Coast","14,102,320","Mande","Central Harlem","Medium","Residential"
"Bambara","","Western Africa","Mali,
Ivory Coast","14,102,320","Mande","Kingsbridge","Large","Residential"
"Banguingui","Sama","Southeastern Asia","Philippines,
Malaysia","84,000","Austronesian","Woodside","Smallest","Residential"
"Banjarese","Bahasa Banjar","Southeastern Asia","Indonesia,
Malaysia","3,655,000","Austronesian","Elmhurst","Smallest","Residential"
"Bantawa","","Southern Asia","Nepal,
India","195,100","Sino-Tibetan","Elmhurst","Small","Residential"
"Baoulé","Baoulé","Western Africa","Ivory Coast","4,650,000","Atlantic-Congo","East New York","Smallest","Residential"
"Baoulé","Baoulé","Western Africa","Ivory Coast","4,650,000","Atlantic-Congo","Central Harlem","Small","Residential"
"Baoulé","Baoulé","Western Africa","Ivory Coast","4,650,000","Atlantic-Congo","Jamaica","Smallest","Residential"
"Baragaun","वारागुङ","Southern Asia","Nepal","7,500","Sino-Tibetan","Richmond Hill","Smallest","Residential"
"Baragaun","वारागुङ","Southern Asia","Nepal","7,500","Sino-Tibetan","Jersey City (NJ)","Small","Residential"
"Baragaun","वारागुङ","Southern Asia","Nepal","7,500","Sino-Tibetan","Flatbush","Small","Residential"
"Barbadian Creole","Bajan","Caribbean","Barbados","260,000","Indo-European","East Flatbush","Medium","Residential"
"Barbadian Creole","Bajan","Caribbean","Barbados","260,000","Indo-European","Cambria Heights","Small","Residential"
"Bartangi","Bartangi","Central Asia","Tajikistan,
Afghanistan","80,000","Indo-European","Yorkville","Smallest","Residential"
"Basaa","Basaa","Middle Africa","Cameroon","300,000","Atlantic-Congo","Belmont","Small","Residential"
"Basque","Euskara","Southern Europe","Spain,
France","537,860","Basque","Chinatown","Small","Historical"
"Basque","Euskara","Southern Europe","Spain,
France","537,860","Basque","Greenpoint","Small","Community"
"Basque","Euskara","Southern Europe","Spain,
France","537,860","Basque","Newark (NJ)","Small","Residential"
"Bassa","𖫢𖫧𖫳𖫒𖫨𖫰𖫨𖫱","Western Africa","Liberia,
Sierra Leone","653,000","Atlantic-Congo","Park Hill","Small","Residential"
"Batak","Batak","Southeastern Asia","Indonesia","3,000,000","Austronesian","Gramercy","Small","Residential"
"Batak (Karo)","Bahasa Karo","Southeastern Asia","Indonesia","600,000","Austronesian","Jackson Heights","Small","Residential"
"Batak (Toba)","Batta","Southeastern Asia","Indonesia","2,000,000","Austronesian","Jackson Heights","Small","Residential"
"Bavarian","Bairisch","Western Europe","Austria,
Germany","14,359,000","Indo-European","Yorkville","Large","Historical"
"Bavarian","Bairisch","Western Europe","Austria,
Germany","14,359,000","Indo-European","Glendale","Small","Residential"
"Baïnounk","Bainounk","Western Africa","Senegal","20,000","Atlantic-Congo","Concourse","Smallest","Residential"
"Belarusian","Беларуская","Eastern Europe","Belarus,
Poland","3,843,110","Indo-European","Boerum Hill","Smallest","Community"
"Belarusian","Беларуская","Eastern Europe","Belarus,
Poland","3,843,110","Indo-European","Sheepshead Bay","Small","Residential"
"Belarusian","Беларуская","Eastern Europe","Belarus,
Poland","3,843,110","Indo-European","Jamaica Hills","Smallest","Residential"
"Belarusian","Беларуская","Eastern Europe","Belarus,
Poland","3,843,110","Indo-European","South River (NJ)","Small","Residential"
"Belizean Creole","Kriol","Central America","Belize","390,000","Indo-European","Crown Heights","Medium","Residential"
"Bemba","ChiBemba","Southern Africa","Zambia,
D.R. Congo","4,110,000","Atlantic-Congo","East Midtown","Smallest","Community"
"Beneventano","","Southern Europe","Italy","","Indo-European","Waterbury (CT)","Small","Residential"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","Jackson Heights","Largest","Residential"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","East Village","Small","Residential"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","Parkchester","Large","Residential"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","Jamaica","Largest","Residential"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","East Harlem","Smallest","Historical"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","Paterson (NJ)","Large","Residential"
"Bengali","বাংলা","Southern Asia","Bangladesh,
India","265,042,480","Indo-European","Kensington","Large","Residential"
"Betawi Malay","Melayu Betawi","Southeastern Asia","Indonesia","5,000,000","Austronesian","Elmhurst","Smallest","Residential"
"Bhojpuri","भोजपुरी","Southern Asia","India,
Nepal","52,405,300","Indo-European","Jackson Heights","Small","Residential"
"Bhojpuri","भोजपुरी","Southern Asia","India,
Nepal","52,405,300","Indo-European","Toms River (NJ)","Small","Community"
"Biblical Hebrew","","Western Asia","Israel","","Afro-Asiatic","Washington Heights","Medium","Liturgical"
"Biblical Hebrew","","Western Asia","Israel","","Afro-Asiatic","Lakewood (NJ)","Medium","Liturgical"
"Biblical Hebrew","","Western Asia","Israel","","Afro-Asiatic","Homecrest","Medium","Liturgical"
"Bicolano","Bikol","Southeastern Asia","Philippines","","Austronesian","Woodside","Small","Residential"
"Bicolano","Bikol","Southeastern Asia","Philippines","","Austronesian","Governors Island","Smallest","Historical"
"Bishnupriya Manipuri","","Southern Asia","India,
Bangladesh","119,600","Indo-European","Jamaica","Small","Residential"
"Bislama","Bislama","Melanesia","Vanuatu,
New Caledonia","10,000","Indo-European","East Midtown","Smallest","Community"
"Bolivian Quechua","Runasimi","South America","Bolivia","1,600,000","Quechuan","Woodside","Small","Residential"
"Bolivian Spanish","Español Boliviano","South America","Bolivia","4,500,000","Indo-European","Jackson Heights","Medium","Residential"
"Bolivian Spanish","Español Boliviano","South America","Bolivia","4,500,000","Indo-European","Port Chester (NY)","Medium","Residential"
"Bomu","Bomu","Western Africa","Mali,
Burkina Faso","304,000","Atlantic-Congo","Parkchester","Smallest","Residential"
"Bontoc","Bontoc","Southeastern Asia","Philippines","41,000","Austronesian","Brighton Beach","Smallest","Historical"
"Bosnian","Босански","Southern Europe","Bosnia and Herzegovina,
Serbia","8,779,176","Indo-European","Hackettstown (NJ)","Small","Residential"
"Bosnian","Босански","Southern Europe","Bosnia and Herzegovina,
Serbia","8,779,176","Indo-European","Richmond Hill","Small","Community"
"Bosnian","Босански","Southern Europe","Bosnia and Herzegovina,
Serbia","8,779,176","Indo-European","Astoria","Small","Residential"
"Brazilian Portuguese","Português Brasileiro","South America","Brazil","205,000,000","Indo-European","Newark (NJ)","Medium","Residential"
"Brazilian Portuguese","Português Brasileiro","South America","Brazil","205,000,000","Indo-European","Mt. Vernon (NY)","Medium","Residential"
