channel,title,published_at,duration,view_count,like_count,comment_count
T-Series,"Hua Hain Aaj Pehli Baar FULL VIDEO | SANAM RE | Pulkit Samrat, Urvashi Rautela | Divya Khosla Kumar",2016-02-26T13:45:35Z,PT4M8S,623234189,2154089,61755
T-Series,Guru Randhawa: MADE IN INDIA | Bhushan Kumar | DirectorGifty | Elnaaz Norouzi | Vee,2018-06-06T05:30:57Z,PT4M3S,621928839,3569259,179583
T-Series,Blue Eyes Full Video Song Yo Yo Honey Singh | Blockbuster Song Of 2013,2013-11-08T12:23:49Z,PT4M3S,618088146,5042106,144101
T-Series,"SANAM RE Title  Song FULL VIDEO | Pulkit Samrat, Yami Gautam, Urvashi Rautela | Divya Khosla Kumar",2016-02-26T14:45:49Z,PT4M30S,617398830,2779499,82868
T-Series,"Srivalli (Video) | Pushpa | Allu Arjun, Rashmika Mandanna | Javed Ali | DSP | Sukumar",2022-01-04T12:33:00Z,PT5M51S,617288999,5708118,63481
T-Series,"Dheere Dheere Se Meri Zindagi Video Song (OFFICIAL) Hrithik Roshan, Sonam Kapoor | Yo Yo Honey Singh",2015-09-01T18:35:01Z,PT5M4S,603894764,3519054,92619
T-Series,"Full Video :Illegal Weapon 2.0|Street Dancer 3D |Varun D,Shraddha K,Nora|Tanishk B,Jasmine S,Garry S",2020-02-05T08:31:06Z,PT3M38S,583582122,3055610,53847
T-Series,Dil Galti Kar Baitha Hai | Meet Bros Ft. Jubin Nautiyal | Mouni Roy | Manoj M | Ashish P | Bhushan K,2021-09-25T05:30:10Z,PT5M1S,580484753,6154483,152686
T-Series,"Saiyaan Ji ► Yo Yo Honey Singh, Neha Kakkar|Nushrratt Bharuccha|  Lil G, Hommie D| Mihir G|Bhushan K",2021-01-27T07:31:05Z,PT3M40S,575856685,6520687,283320
T-Series,KAUN TUJHE  Lyrical | M.S. DHONI -THE UNTOLD STORY | Amaal Mallik Palak | Sushant Singh Disha Patani,2016-09-10T05:35:05Z,PT4M1S,568261728,2831815,91239
T-Series,DILBAR Full Song | Satyameva Jayate | John Abraham Nora Fatehi | Tanishk B Neha Kakkar Ikka Dhvani,2018-08-28T06:28:50Z,PT2M57S,564407656,1816308,55073
T-Series,"Yo Yo Honey Singh: DIL CHORI (Video) Simar Kaur, Ishers | Hans Raj Hans | Sonu Ke Titu Ki Sweety",2017-12-26T09:49:35Z,PT3M32S,563136314,2566638,106698
T-Series,Gali Gali Full Video Song | KGF | Neha Kakkar | Mouni Roy | Tanishk Bagchi | Rashmi Virag |T-SERIES,2019-04-04T13:30:01Z,PT3M7S,560398719,2496615,34594
T-Series,"Kusu Kusu Song Ft Nora Fatehi | Satyameva Jayate 2 | John A, Divya K | Tanishk B, Zahrah Khan, Dev N",2021-11-10T05:30:13Z,PT3M28S,548558443,4352802,84431
T-Series,Main Tera Boyfriend Song | Raabta | Arijit S | Neha K Meet Bros | Sushant Singh Rajput Kriti Sanon,2017-05-22T09:10:06Z,PT3M9S,534881954,2963065,95246
T-Series,Suit Full Video Song | Guru Randhawa Feat. Arjun | T-Series,2016-06-24T08:19:45Z,PT3M23S,523463764,1993170,48609
T-Series,"Teri Aankhon Mein Song: Divya K | Darshan R, Neha K | Pearl V Manan B | Radhika, Vinay | Bhushan K",2020-10-07T05:31:40Z,PT6M36S,520184558,4910927,186693
T-Series,O Saathi Lyrical Video | Baaghi 2 | Tiger Shroff | Disha Patani | Arko | Ahmed Khan Sajid Nadiadwala,2018-03-14T15:00:06Z,PT4M30S,515362180,2477812,82613
T-Series,"""Oh Humsafar"" Song | Neha Kakkar Himansh Kohli | Tony Kakkar | Bhushan Kumar | Manoj Muntashir",2018-04-17T05:37:10Z,PT3M27S,513323374,3111603,115136
T-Series,"Bekhayali Full Song | Kabir Singh | Shahid K,Kiara A|Sandeep Reddy Vanga | Sachet-Parampara | Irshad",2019-07-01T11:42:23Z,PT5M54S,511239002,3851597,82452
T-Series,Full Video: Hookah Bar | Khiladi 786 | Akshay Kumar & Asin | Himesh Reshammiya,2012-11-08T07:12:33Z,PT2M55S,504766252,2479736,45441
T-Series,Patola Video Song | Blackmail | Irrfan Khan & Kirti Kulhari | Guru Randhawa,2018-03-05T06:02:55Z,PT2M30S,504206965,1793047,51850
T-Series,"Nachange Saari Raat Full Video Song | JUNOONIYAT | Pulkit Samrat,Yami Gautam| T-Series",2016-06-30T05:41:04Z,PT4M9S,492378149,1840871,38859
T-Series,"Lal Dupatta Full HD Song | Mujhse Shaadi Karogi | Salman Khan, Priyanka Chopra",2011-05-24T16:24:42Z,PT4M59S,490494937,1529070,51764
T-Series,"Exclusive: LOVE DOSE Full Video Song | Yo Yo Honey Singh, Urvashi Rautela | Desi Kalakaar",2014-10-04T06:29:37Z,PT4M37S,482316165,4027079,80381
T-Series,"Yaad Piya Ki Aane Lagi | Divya Khosla Kumar |Neha K,Tanishk B,Jaani, Faisu, Radhika&Vinay |Bhushan K",2019-11-16T12:15:57Z,PT6M59S,481283089,3690836,119246
T-Series,"Arijit Singh : Lambiyaan Si Judaiyaan With Lyrics | Raabta | Sushant Rajput, Kriti Sanon | T-Series",2017-05-23T11:58:11Z,PT4M19S,479131833,2890589,102958
T-Series,Hardy Sandhu: HORNN BLOW Video Song | Jaani | B Praak | New Song 2016 | T-Series,2016-04-12T05:58:57Z,PT2M46S,479113837,2705089,44702
T-Series,"Aashiq Banaya Aapne Title (Full Song) | Himesh Reshammiya,Shreya Ghoshal | Emraan Hashmi,Tanushree D",2011-12-15T12:03:57Z,PT5M,478152099,1879887,52359
T-Series,"Chhor Denge: Parampara Tandon | Sachet-Parampara | Nora Fatehi, Ehan Bhat | Arvindr K, Bhushan Kumar",2021-02-04T07:31:26Z,PT4M29S,474061360,4465186,135063
T-Series,"Full Song:LAGDI LAHORE DI|Street Dancer 3D | Varun D,Shraddha K, Nora F |Guru Randhawa,Tulsi Kumar",2020-02-07T08:30:00Z,PT3M24S,471889714,2491803,46562
T-Series,Baby Girl | Guru Randhawa Dhvani Bhanushali | Remo D'Souza | Bhushan Kumar | Vee,2020-10-01T05:30:12Z,PT3M43S,471801071,3999846,202711
T-Series,"Tere Naam Humne Kiya Hai Full Song | Tere Naam | Salman Khan | Udit Narayan, Himesh Reshammiya",2011-05-24T23:13:22Z,PT4M43S,469155702,2487276,102685
T-Series,Meri Aashiqui Song | Rochak Kohli Feat. Jubin Nautiyal | Ihana D | Shree Anwar Sagar | Bhushan Kumar,2020-06-03T05:30:22Z,PT5M8S,466222883,4256261,108737
T-Series,Guru Randhawa: Ishq Tera (Official Video) | Nushrat Bharucha | Bhushan Kumar | T-Series,2019-09-04T05:30:49Z,PT3M50S,465895165,4139181,99999
T-Series,"""Sun Raha Hai Na Tu Female Version"" By Shreya Ghoshal Aashiqui 2 Full Video Song |",2013-05-14T19:23:22Z,PT3M50S,461963718,2626391,71258
T-Series,KAUN TUJHE Full  Video | M.S. DHONI -THE UNTOLD STORY |Amaal Mallik Palak|Sushant Singh Disha Patani,2016-11-05T14:30:00Z,PT3M36S,457689342,3228396,124768
T-Series,"Akh Lad Jaave With Lyrics | Loveyatri | Aayush S | Warina H |Badshah,Tanishk Bagchi,Jubin N,Asees K",2018-08-29T12:30:07Z,PT3M20S,457091220,1971946,61929
T-Series,'Gallan Goodiyaan' Full VIDEO Song | Dil Dhadakne Do | T-Series,2015-06-13T11:29:52Z,PT4M39S,451269815,1646271,23157
T-Series,"Garmi Song | Street Dancer 3D | Varun D, Nora F, Shraddha K, Badshah, Neha K | Remo D | T-Series",2019-12-26T05:35:40Z,PT2M40S,439954130,2880829,77827
T-Series,"WAJAH TUM HO Full Video Song | HATE STORY 3 Songs | Zareen Khan, Karan Singh Grover | T-Series",2015-12-15T12:00:02Z,PT4M37S,434018124,1910439,35955
T-Series,"Naacho Naacho (Full Video) RRR - NTR, Ram Charan | M M Kreem | SS Rajamouli | Vishal Mishra & Rahul",2022-04-11T10:30:13Z,PT4M35S,430528757,3300525,70430
T-Series,"Kinna Sona Full Video | Marjaavaan | Sidharth M, Tara S | Meet Bros,Jubin N, Dhvani Bhanushali",2019-11-27T12:30:00Z,PT4M30S,426557721,1998798,41673
T-Series,"""Kabira Full Song"" Yeh Jawaani Hai Deewani | Pritam | Ranbir Kapoor, Deepika Padukone",2013-07-10T08:03:53Z,PT4M12S,423343944,2444777,41211
T-Series,"Bewafa Tera Masoom Chehra | Rochak Kohli Feat. Jubin Nautiyal, Rashmi V | Karan Mehra, Ihana Dhillon",2020-11-16T05:31:07Z,PT5M33S,419859407,4066825,85782
T-Series,Padmaavat: Khalibali - Ranveer Singh | Deepika Padukone | Shahid Kapoor | Shivam Pathak,2018-01-29T10:03:00Z,PT3M24S,412111342,2099177,79745
T-Series,"SIMMBA: Tere Bin | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Rahat Fateh Ali Khan, Asees Kaur",2018-12-14T05:30:26Z,PT3M36S,400189701,2012541,57586
T-Series,"Oo Bolega ya Oo Oo Bolega Ft Samantha ( Full Video) Pushpa | Allu A, Rashmika|Kanika K, DSP, Sukumar",2022-01-07T11:34:00Z,PT3M49S,393954505,3787926,38100
T-Series,"Tum Hi Aana Full Video | Marjaavaan | Riteish D, Sidharth M, Tara S | Jubin N | Payal Dev Kunaal V",2019-11-24T07:36:05Z,PT3M55S,392695351,3031687,73842
T-Series,"""Tum Hi Ho"" Aashiqui 2 Full Song With Lyrics | Aditya Roy Kapur, Shraddha Kapoor",2013-04-04T12:32:37Z,PT4M28S,389304473,2504196,98668
T-Series,"LYRICAL: Tera Ban Jaunga | Kabir Singh | Shahid K, Kiara A, Sandeep V | Tulsi Kumar, Akhil Sachdeva",2019-06-21T06:57:40Z,PT4M17S,387866821,2524956,37421
T-Series,"Main Rahoon Ya Na Rahoon Full Video | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik",2015-11-24T06:23:16Z,PT6M47S,377475077,2749896,75053
T-Series,"Full Song: Garmi | Street Dancer 3D | Varun D, Nora F, Badshah, Neha K | Remo D",2020-02-07T06:30:00Z,PT4M37S,375893378,1979920,27190
T-Series,"Humsafar (Full Video)  | Varun & Alia Bhatt | Akhil Sachdeva | ""Badrinath Ki Dulhania""",2017-04-01T12:30:00Z,PT3M35S,372909000,1752929,40586
T-Series,"Kun Faya Kun Full Video Song Rockstar | Ranbir Kapoor | A.R. Rahman, Javed Ali, Mohit Chauhan",2011-12-05T11:09:10Z,PT6M21S,371942526,2963970,101080
T-Series,"""Hawa Hawa"" (Full Video Song) | Mubarakan | Anil Kapoor, Arjun Kapoor, Ileana D’Cruz, Athiya Shetty",2017-08-11T13:30:00Z,PT4M17S,367290972,1323389,36962
T-Series,Nayan Video Song | Dhvani B Jubin N | Lijo G Dj Chetas Manoj M Manhar U | Radhika Vinay |  Bhushan K,2020-12-08T05:34:36Z,PT5M59S,360238437,3573581,81791
T-Series,"Yo Yo Honey Singh: MAKHNA Video Song | Neha Kakkar, Singhsta, TDO | Bhushan Kumar",2018-12-21T08:00:20Z,PT3M29S,359800614,4407367,351125
T-Series,"""Mere Rashke Qamar"" Song With Lyrics | Baadshaho | Ajay Devgn, Ileana, Nusrat & Rahat Fateh Ali Khan",2017-07-20T13:15:57Z,PT4M1S,359520756,1454390,36986
T-Series,All Black Full Song | Sukhe | Raftaar |  New Video  2015 | T-Series,2015-10-10T05:25:39Z,PT3M46S,359214314,2367322,45470
T-Series,"Balam Pichkari Full Song Video Yeh Jawaani Hai Deewani | PRITAM | Ranbir Kapoor, Deepika Padukone",2013-06-22T13:00:04Z,PT4M20S,356486442,1896696,31227
T-Series,"Full Video: Kamariya | STREE | Nora Fatehi | Rajkummar Rao | Aastha Gill, Divya Kumar |Sachin- Jigar",2018-09-12T14:00:00Z,PT3M3S,354683295,1574262,29068
T-Series,Full Video: Galliyan Song | Ek Villain | Ankit Tiwari | Sidharth Malhotra | Shraddha Kapoor,2014-07-14T06:21:44Z,PT5M9S,351811004,2583224,55032
T-Series,"Chahun Main Ya Naa Full Video Song Aashiqui 2 | Aditya Roy Kapur, Shraddha Kapoor",2013-05-16T08:40:04Z,PT4M1S,351026529,2813376,44133
T-Series,"Tip Tip Song: Sooryavanshi | Akshay Kumar, Katrina Kaif | Udit N, Alka Y, Tanishk | Rohit Shetty",2021-11-06T05:30:12Z,PT2M52S,350957962,3096571,91870
T-Series,"""Padmaavat Song"" Ghoomar: Deepika Padukone, Shahid Kapoor, Ranveer Singh|Shreya Ghoshal,Swaroop Khan",2017-10-25T08:37:13Z,PT3M19S,349234940,1333536,55617
T-Series,"""Sunny Sunny Yaariyan"" Full Video Song (Film Version) |Divya Khosla Kumar|Himansh Kohli, Rakul Preet",2014-01-21T09:55:21Z,PT3M33S,347585388,1842294,34799
T-Series,"Bedardi Se Pyaar Ka Song|Jubin N,Meet B,Manoj M|Gurmeet C,Sherine S,Kaashish V | Ashish P| Bhushan K",2021-06-08T05:30:44Z,PT5M40S,346128339,4000663,113545
T-Series,"Badtameez Dil Full Song HD Yeh Jawaani Hai Deewani | PRITAM | Ranbir Kapoor, Deepika Padukone",2013-06-24T13:08:26Z,PT4M31S,345425675,1933957,22852
T-Series,"Full Video: Har Dil Jo Pyar Karega Title Song |Salman Khan,Rani Mukherjee |Udit Narayan, Alka Yagnik",2011-05-30T09:33:10Z,PT4M46S,343495476,1107994,27844
T-Series,"Afghan Jalebi (Ya Baba) FULL VIDEO Song | Phantom | Saif Ali Khan, Katrina Kaif | T-Series",2015-09-25T13:23:20Z,PT3M26S,343298924,1619382,36314
T-Series,Full Video: Tera Yaar Hoon Main | Sonu Ke Titu Ki Sweety | Arijit Singh Rochak Kohli | Song 2018,2018-03-07T10:19:59Z,PT4M28S,342443037,2780135,60076
T-Series,"Tumhe Dillagi Song By Rahat Fateh Ali Khan | Huma Qureshi, Vidyut Jammwal | Salim - Sulaiman",2016-06-08T07:00:01Z,PT6M27S,341743397,2718953,53987
T-Series,"Lyrical: Dil Mein Ho Tum| WHY CHEAT INDIA | Emraan H, Shreya D|Rochak K, Armaan M, Bappi L, Manoj M",2018-12-29T04:30:00Z,PT5M46S,341675007,1716691,46024
T-Series,"""Lungi Dance Chennai Express"" New Video Feat. Honey Singh, Shahrukh Khan, Deepika",2013-08-14T19:13:41Z,PT3M32S,341227604,1980407,29332
T-Series,"Is Qadar | Tulsi Kumar, Darshan Raval | Sachet-Parampara | Sayeed Quadri | Arvindr K | Bhushan K",2021-04-08T06:30:21Z,PT3M50S,332371047,3046951,76531
T-Series,Fevicol Se Full Video Song Dabangg 2 (Official) ★ Kareena Kapoor ★ Salman Khan,2013-01-09T09:51:42Z,PT4M36S,328159185,1332191,22711
