Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,0.151872,0.158255,0.150764,0.157688,0.157688,6709775
2023-10-02,0.157698,0.157875,0.147991,0.155551,0.155551,31940559
2023-10-09,0.155549,0.156707,0.138017,0.144633,0.144633,33644210
2023-10-16,0.144619,0.160809,0.138784,0.151944,0.151944,93425815
2023-10-23,0.152129,0.160639,0.149114,0.158258,0.158258,82933632
2023-10-30,0.158219,0.173444,0.153013,0.173175,0.173175,96675277
2023-11-06,0.173177,0.202936,0.168794,0.200030,0.200030,152410962
2023-11-13,0.200090,0.204110,0.172885,0.187222,0.187222,90373294
2023-11-20,0.187209,0.188454,0.166848,0.177491,0.177491,64010316
2023-11-27,0.177463,0.368630,0.166760,0.325854,0.325854,2025383731
2023-12-04,0.325833,0.364358,0.281519,0.288559,0.288559,641895972
2023-12-11,0.288614,0.311969,0.254812,0.276196,0.276196,411899627
2023-12-18,0.276151,0.297432,0.251494,0.277796,0.277796,193336404
2023-12-25,0.277797,0.314558,0.264569,0.299136,0.299136,233608365
2023-12-31,0.321363,0.326368,0.311965,0.323721,0.323721,156310800
