Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,2.053140,2.174230,1.462560,1.519690,1.519690,53824050
2017-11-13,1.526010,1.735370,1.495300,1.613770,1.613770,115370380
2017-11-20,1.625590,1.957640,1.537590,1.853130,1.853130,68057080
2017-11-27,1.870830,2.381150,1.683170,2.227250,2.227250,222892700
2017-12-04,2.258090,2.914430,2.211700,2.483370,2.483370,245569600
2017-12-11,2.513020,6.750430,2.503350,5.756720,5.756720,317622900
2017-12-18,5.792400,6.545320,3.513310,5.285680,5.285680,341371100
2017-12-25,5.308580,11.302200,5.250540,8.635580,8.635580,730004600
2018-01-01,8.629530,23.508200,7.959220,18.656799,18.656799,1675458792
2018-01-08,18.646500,24.912100,15.170800,20.777300,20.777300,1725630968
2018-01-15,20.800400,23.604799,9.655340,14.068300,14.068300,1586604016
2018-01-22,14.198700,14.450300,11.785000,13.540200,13.540200,732425704
2018-01-29,13.545400,13.672700,7.218130,8.458640,8.458640,462117504
2018-02-05,8.427530,10.363200,5.590070,8.704910,8.704910,461620192
2018-02-12,8.711450,11.870700,8.711450,10.702400,10.702400,479399604
2018-02-19,10.666800,11.194900,8.660570,9.346600,9.346600,369865400
2018-02-26,9.369260,11.182800,9.130150,10.348100,10.348100,416573200
2018-03-05,10.403800,10.435500,7.174230,8.272380,8.272380,339053600
2018-03-12,8.299110,11.001600,7.743690,8.951850,8.951850,783088316
2018-03-19,9.090000,14.838700,8.496060,12.783100,12.783100,1041046400
2018-03-26,12.913500,12.913500,9.744290,11.066200,11.066200,661941296
2018-04-02,11.065100,13.953200,11.015200,12.117600,12.117600,729781600
2018-04-09,12.120800,13.840100,11.610400,13.058800,13.058800,752819400
2018-04-16,13.047300,13.673200,11.525300,12.875900,12.875900,634670800
2018-04-23,12.877700,15.925900,12.845500,15.056200,15.056200,900099000
2018-04-30,15.062700,15.156700,13.614800,13.942600,13.942600,570830200
2018-05-07,13.939000,15.045600,12.253900,13.118700,13.118700,456807000
2018-05-14,13.158300,16.220501,11.951100,14.117800,14.117800,661470784
2018-05-21,14.125400,14.835100,12.201500,12.605800,12.605800,435662300
2018-05-28,12.599600,14.950800,11.703100,14.566000,14.566000,469791600
2018-06-04,14.675600,17.438101,13.592300,14.184200,14.184200,707512804
2018-06-11,14.135500,17.232599,13.785900,16.578800,16.578800,644661104
2018-06-18,16.621700,17.268299,13.544400,14.447600,14.447600,656122804
2018-06-25,14.457000,15.182400,13.779700,14.404100,14.404100,360184396
2018-07-02,14.397700,14.823000,13.276600,13.991900,13.991900,368216596
2018-07-09,14.038400,14.088300,11.901600,12.289100,12.289100,215847900
2018-07-16,12.309900,13.893400,11.885600,12.119900,12.119900,336338004
2018-07-23,12.136800,14.869400,11.648400,14.021200,14.021200,406612704
2018-07-30,13.947700,14.455100,13.036800,13.623200,13.623200,381158300
2018-08-06,13.687600,13.975700,11.368600,11.741800,11.741800,267776400
2018-08-13,11.771200,11.946700,8.662660,10.156200,10.156200,228571500
2018-08-20,10.141700,10.274200,9.257280,10.185600,10.185600,137030300
2018-08-27,10.219000,11.542300,10.127800,11.299400,11.299400,219764600
2018-09-03,11.345900,11.536500,9.272430,9.512630,9.512630,135938100
2018-09-10,9.576010,10.196000,9.037310,9.936020,9.936020,151169600
2018-09-17,9.949730,10.528100,9.276570,10.280600,10.280600,175688400
2018-09-24,10.291400,10.317400,9.506210,10.017800,10.017800,161941400
2018-10-01,10.009700,10.745700,9.880160,10.519000,10.519000,241333500
2018-10-08,10.532100,10.632100,9.236510,9.496740,9.496740,185365800
2018-10-15,9.481230,10.441500,9.418090,9.743300,9.743300,222587600
2018-10-22,9.721410,9.862360,9.594490,9.666790,9.666790,182511300
2018-10-29,9.639890,9.735990,9.307690,9.627540,9.627540,155025200
2018-11-05,9.589280,9.883880,9.352490,9.466000,9.466000,147524300
2018-11-12,9.485970,9.518170,7.606710,7.999760,7.999760,124798300
2018-11-19,7.999460,8.006080,4.442230,5.180580,5.180580,105768970
2018-11-26,5.179300,5.600017,4.671410,5.250417,5.250417,82441722
2018-12-03,5.253589,6.585201,4.189971,4.859104,4.859104,210538901
2018-12-10,4.852922,5.182591,4.462606,4.645258,4.645258,106446816
2018-12-17,4.650204,6.208480,4.636384,6.059008,6.059008,179496734
2018-12-24,6.063885,6.575179,5.245348,5.995711,5.995711,151351540
2018-12-31,6.000591,6.502734,5.863714,6.395979,6.395979,216463381
2019-01-07,6.429357,6.965078,5.493421,5.568757,5.568757,363581747
2019-01-14,5.577669,6.730163,5.574418,6.493869,6.493869,279468225
2019-01-21,6.505216,7.246770,6.384761,7.088199,7.088199,273108901
2019-01-28,7.091497,7.189432,6.028731,6.738165,6.738165,397890300
2019-02-04,6.765826,9.337292,6.703909,9.211540,9.211540,709006688
2019-02-11,9.192381,9.824778,8.460005,9.216046,9.216046,643325699
2019-02-18,9.215029,11.323774,9.179193,10.113093,10.113093,688355682
2019-02-25,10.065574,11.964979,9.435871,11.537903,11.537903,757423300
2019-03-04,11.538013,15.645143,11.070543,14.494439,14.494439,1282793954
2019-03-11,14.498401,16.160261,14.217393,15.761146,15.761146,1003552311
2019-03-18,15.754995,17.377954,14.338748,17.285357,17.285357,1246103310
2019-03-25,17.249006,17.568340,15.778379,17.401670,17.401670,1331269969
2019-04-01,17.410639,20.071714,17.291075,19.110271,19.110271,1423493911
2019-04-08,19.079069,20.007793,16.589216,19.492020,19.492020,1249542175
2019-04-15,19.492020,25.533409,18.793818,24.193829,24.193829,1905104658
2019-04-22,24.186974,24.745443,21.407845,22.899340,22.899340,1704773521
2019-04-29,22.904093,23.963108,21.319277,23.019953,23.019953,1383017836
2019-05-06,23.017311,23.017311,18.467089,20.830297,20.830297,1546394346
