Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,4400.0,4700.0,4325.0,4537.5,3834.552490234375,996016400
2019-01-31,4550.0,4662.5,4325.0,4400.0,3718.354248046875,662752400
2019-02-28,4412.5,4825.0,4262.5,4700.0,3971.878173828125,517327000
2019-03-31,4712.5,5125.0,4700.0,4800.0,4056.38623046875,633546200
2019-04-30,4800.0,4800.0,3912.5,4200.0,3549.337890625,1347774600
2019-05-31,4200.0,4612.5,4200.0,4600.0,3980.537841796875,730258400
2019-06-30,4650.0,4725.0,4112.5,4237.5,3666.853759765625,943030200
2019-07-31,4225.0,4225.0,3687.5,3850.0,3331.536865234375,976395000
2019-08-31,3837.5,4062.5,3575.0,3675.0,3180.103271484375,771835600
2019-09-30,3662.5,4037.5,3325.0,3837.5,3320.719970703125,1128419200
2019-10-31,3862.5,3900.0,3587.5,3750.0,3245.00341796875,885486200
2019-11-30,3725.0,4000.0,3712.5,3925.0,3396.43701171875,840712000
2019-12-31,3925.0,3937.5,3550.0,3600.0,3115.203369140625,792269400
2020-01-31,3550.0,3975.0,3337.5,3512.5,3039.486572265625,964299200
2020-02-29,3475.0,3525.0,1485.0,1910.0,1652.7884521484375,2982016400
2020-03-31,1915.0,2325.0,1735.0,2050.0,1827.5899658203125,1948864000
2020-04-30,2050.0,2050.0,1635.0,1915.0,1707.2364501953125,2071939400
2020-05-31,1915.0,2575.0,1915.0,2290.0,2041.5516357421875,4525854800
2020-06-30,2300.0,2430.0,2255.0,2300.0,2050.466796875,2085523400
2020-07-31,2325.0,2712.5,2150.0,2550.0,2273.343505859375,2539370600
2020-08-31,2575.0,2687.5,2155.0,2220.0,1979.1458740234375,2681735000
2020-09-30,2245.0,2475.0,2190.0,2370.0,2112.872314453125,1460464600
2020-10-31,2350.0,3187.5,2295.0,3000.0,2674.521728515625,3394875200
2020-11-30,3037.5,3375.0,2962.5,3087.5,2752.52880859375,1806909000
2020-12-31,3087.5,3337.5,2725.0,2775.0,2473.9326171875,1868540000
2021-01-31,2775.0,3200.0,2625.0,2975.0,2652.234130859375,1549013800
2021-02-28,3000.0,3187.5,2775.0,2862.5,2551.939697265625,1275953800
2021-03-31,2862.5,3050.0,2812.5,2850.0,2540.7958984375,831913000
2021-04-30,2850.0,2887.5,2575.0,2700.0,2425.5595703125,821993600
2021-05-31,2700.0,2875.0,2280.0,2315.0,2079.692626953125,1441331400
2021-06-30,2315.0,2625.0,2280.0,2390.0,2147.069580078125,1134625000
2021-07-31,2390.0,2737.5,2375.0,2700.0,2425.5595703125,885551800
2021-08-31,2700.0,2750.0,2512.5,2687.5,2414.330078125,844208600
2021-09-30,2687.5,3787.5,2662.5,3500.0,3144.243896484375,2522029000
2021-10-31,3512.5,3637.5,3362.5,3400.0,3054.408203125,1341943800
2021-11-30,3400.0,3537.5,3275.0,3375.0,3031.949462890625,900468000
2021-12-31,3375.0,3762.5,3350.0,3662.5,3290.2265625,1345685600
2022-01-31,3662.5,4000.0,3612.5,4000.0,3593.421630859375,1432763200
2022-02-28,4100.0,4287.5,3762.5,4125.0,3705.7158203125,1609215800
2022-03-31,4125.0,4950.0,4037.5,4612.5,4220.12109375,1516600000
2022-04-30,4612.5,4687.5,4025.0,4587.5,4197.248046875,1655490400
2022-05-31,4587.5,4587.5,3925.0,3925.0,3591.10595703125,1505037000
2022-06-30,3925.0,3975.0,3575.0,3925.0,3591.10595703125,1367915200
2022-07-31,4050.0,4362.5,3937.5,4262.5,3899.895263671875,1177931400
2022-08-31,4287.5,4625.0,4225.0,4487.5,4105.7548828125,1201020400
2022-09-30,4487.5,4837.5,4175.0,4700.0,4300.177734375,1093750400
2022-10-31,4700.0,4950.0,4437.5,4950.0,4528.91064453125,1124053000
2022-11-30,4950.0,4975.0,4575.0,4612.5,4220.12109375,1069295800
2022-12-31,4612.5,4800.0,4212.5,4575.0,4185.81103515625,1206217400
2023-01-31,4600.0,4787.5,4387.5,4387.5,4014.26171875,1017134200
2023-02-28,4387.5,4875.0,4375.0,4675.0,4277.3046875,1639825600
2023-03-31,4675.0,4800.0,4600.0,4712.5,4497.5673828125,643083200
2023-04-30,4712.5,4775.0,4325.0,4525.0,4318.619140625,1524244400
2023-05-31,4525.0,4650.0,4462.5,4575.0,4366.3388671875,725180000
2023-06-30,4600.0,4625.0,4400.0,4437.5,4235.10986328125,1120774200
2023-07-31,4412.5,4650.0,4312.5,4587.5,4378.2685546875,1167324200
2023-08-31,4600.0,5212.5,4587.5,5162.5,4927.04345703125,1409047400
2023-09-30,5162.5,5425.0,4720.0,4790.0,4571.53271484375,1137225800
2023-10-31,4930.0,5350.0,4790.0,5275.0,5034.41259765625,1225989900
2023-11-30,5300.0,5425.0,5050.0,5375.0,5129.8515625,811415300
2023-12-31,5375.0,5800.0,5300.0,5750.0,5487.748046875,994149500
2024-01-31,5750.0,6225.0,5650.0,6000.0,5726.34619140625,943109500
2024-02-29,5925.0,6250.0,5725.0,5900.0,5630.90673828125,956587100
2024-03-31,5900.0,5900.0,5050.0,5250.0,5250.0,1275376600
2024-04-30,5200.0,5275.0,4370.0,4400.0,4400.0,1542327600
2024-05-31,4460.0,4780.0,4260.0,4660.0,4660.0,1183421100
2024-06-30,4690.0,5150.0,4630.0,4970.0,4970.0,1255034700
2024-07-31,4940.0,5075.0,4940.0,5075.0,5075.0,54207300
