Title,Available Globally?,Release Date,Hours Viewed,,
Sense8: Season 1,Yes,2015-06-05,"8,900,000",,
The Accountant (2016),No,,"8,900,000",,
The Disastrous Life of Saiki K.: Season 2 // 斉木楠雄のΨ難: シーズン2,Yes,,"8,900,000",,
The Meg,No,,"8,900,000",,
The Ranch: Part 6,Yes,2018-12-07,"8,900,000",,
Trash Truck: Season 2,Yes,2021-05-04,"8,900,000",,
A Clean Sweep: Part 1 // 최강야구: Part 1,Yes,,"8,800,000",,
After Life: Season 1,Yes,2019-03-08,"8,800,000",,
American Pickers: Season 15,No,,"8,800,000",,
Blackhat,No,,"8,800,000",,
Dracula Untold,No,,"8,800,000",,
El infierno,No,,"8,800,000",,
Ghost Doctor // 고스트 닥터,No,,"8,800,000",,
Ghost Wars: Season 1,No,2018-03-02,"8,800,000",,
Greenleaf: Season 2,Yes,2017-11-01,"8,800,000",,
Happiness // 해피니스,No,,"8,800,000",,
Island of the Sea Wolves: Limited Series,Yes,2022-10-11,"8,800,000",,
LEGO Ninjago: Masters of Spinjitzu: The Tournament of Elements,No,,"8,800,000",,
Longmire: Season 4,No,2015-09-10,"8,800,000",,
Longmire: Season 5,No,2016-09-23,"8,800,000",,
Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada,No,,"8,800,000",,
Naruto: Season 8 // NARUTO-ナルト-: オリジナル編3,No,,"8,800,000",,
Next Gen,Yes,2018-09-07,"8,800,000",,
Paradise PD: Part 1,Yes,2018-08-31,"8,800,000",,
Sniper: Assassin's End,No,,"8,800,000",,
Superstore: Season 6,No,,"8,800,000",,
The Last Airbender,No,,"8,800,000",,
The Powerpuff Girls (1998): Season 1,No,,"8,800,000",,
The Real Bling Ring: Hollywood Heist: Limited Series,Yes,2022-09-21,"8,800,000",,
When Missing Turns to Murder: Season 2,No,,"8,800,000",,
Word Party: Season 1,Yes,2016-07-08,"8,800,000",,
Z Nation: Season 1,No,,"8,800,000",,
Zookeeper,No,,"8,800,000",,
1922,Yes,2017-10-20,"8,700,000",,
Beyblade Burst Surge: Season 1 // ベイブレードバースト スパーキング: シーズン1,No,,"8,700,000",,
Doctor Stranger: Season 1 // 닥터 이방인: Season 1,No,,"8,700,000",,
"Hello, Me!: Season 1 // 안녕? 나야!: 시즌 1",Yes,2021-02-17,"8,700,000",,
Hold the Dark,Yes,2018-09-28,"8,700,000",,
Hunter X Hunter (2011): Season 2 // HUNTER×HUNTER: シーズン2,No,,"8,700,000",,
"Jenni Rivera: Mariposa de Barrio: Season 1 // Jenni Rivera: Mariposa de Barrio, la serie: Temporada 1",No,,"8,700,000",,
Knowing,No,,"8,700,000",,
Larva: Season 1,Yes,,"8,700,000",,
Larva Island: Season 2,Yes,2019-03-01,"8,700,000",,
Lottie Dottie Chicken: 3ª temporada // Galinha Pintadinha: 3ª temporada,No,,"8,700,000",,
Meet Yourself // 去有風的地方 // 去有风的地方,No,,"8,700,000",,
Monster Hunter,No,,"8,700,000",,
Pokémon Master Journeys: The Series: Part 2,No,2022-01-21,"8,700,000",,
Ridley Jones: Season 5,Yes,2023-03-06,"8,700,000",,
S.W.A.T.: Firefight,No,,"8,700,000",,
Teenage Mutant Ninja Turtles (2012): Season 2,No,,"8,700,000",,
The Change-Up,No,,"8,700,000",,
The OA: Part II,Yes,2019-03-22,"8,700,000",,
The Untamed: Season 1 // 陳情令: 第 1 季 // 陈情令: 第 1 季,No,,"8,700,000",,
Wizards: Tales of Arcadia: Season 1,Yes,2020-08-07,"8,700,000",,
You vs. Wild: Season 1,Yes,2019-04-10,"8,700,000",,
Zero Chill: Season 1,Yes,2021-03-15,"8,700,000",,
44 Cats: Season 2 (Part 2),No,,"8,600,000",,
Blonde,Yes,2022-09-28,"8,600,000",,
Blood & Water: Season 1,Yes,2020-05-20,"8,600,000",,
BoJack Horseman: Season 4,Yes,2017-09-08,"8,600,000",,
Chip and Potato: Season 3,No,2022-03-08,"8,600,000",,
Conversations with a Killer: The Jeffrey Dahmer Tapes: Limited Series,Yes,2022-10-07,"8,600,000",,
Familiar Wife: Season 1 // 아는 와이프: 시즌1,Yes,,"8,600,000",,
Four Good Days,No,,"8,600,000",,
Funny People (2009),No,,"8,600,000",,
Heartland (2007): Season 4,No,,"8,600,000",,
Lottie Dottie Chicken: 4ª temporada // Galinha Pintadinha: 4ª temporada,No,,"8,600,000",,
Lottie Dottie Chicken: 5ª temporada // Galinha Pintadinha: 5ª temporada,No,,"8,600,000",,
Love Alarm: Season 2 // 좋아하면 울리는: 시즌 2,Yes,2021-03-12,"8,600,000",,
Love Never Lies: Destination Sardinia: Season 1 // Amor con fianza: Destino Cerdeña: Temporada 1,Yes,2022-11-10,"8,600,000",,
María Magdalena: Season 1,No,,"8,600,000",,
Neon Genesis Evangelion: Season 1 // 新世紀エヴァンゲリオン: シーズン1,Yes,,"8,600,000",,
Signal: Season 1 // 시그널: 시즌 1,No,,"8,600,000",,
The Expendables 3,No,,"8,600,000",,
The Interview (2014),No,,"8,600,000",,
The Other Guys,No,,"8,600,000",,
The Stranger,No,2022-10-19,"8,600,000",,
Trollhunters: Rise of the Titans,Yes,2021-07-21,"8,600,000",,
Türkisch für Anfänger: Staffel 2,No,,"8,600,000",,
Vadh // वध,No,,"8,600,000",,
Van Helsing (2004),No,,"8,600,000",,
You Cannot Hide: Season 1 // No te puedes esconder: Temporada 1,No,2020-01-24,"8,600,000",,
Young Royals: Season 1,Yes,2021-07-01,"8,600,000",,
Around the World in 80 Days (2004),No,,"8,500,000",,
Away: Season 1,Yes,2020-09-04,"8,500,000",,
Black Clover II // ブラッククローバー II,No,,"8,500,000",,
Community: Season 5,Yes,,"8,500,000",,
Emily the Criminal,No,,"8,500,000",,
Just Like Heaven,No,,"8,500,000",,
Making Fun: Season 1,Yes,2022-03-04,"8,500,000",,
Mighty Little Bheem: Season 3,Yes,2020-09-25,"8,500,000",,
Mo: Season 1,Yes,2022-08-24,"8,500,000",,
My Country: The New Age: Season 1 // 나의 나라: 시즌 1,Yes,2019-10-04,"8,500,000",,
Naruto Shippuden: Season 20 // NARUTO-ナルト- 疾風伝: 忍界大戦編(7),No,,"8,500,000",,
"Nicky, Ricky, Dicky & Dawn: Season 4",No,,"8,500,000",,
Night Teeth,Yes,2021-10-20,"8,500,000",,
ONE PIECE: Enies Lobby // ワンピース: エニエス・ロビー編,No,,"8,500,000",,
Peter Rabbit (2018),No,,"8,500,000",,
Resurrection: Ertugrul: Season 1 // Diriliş: Ertuğrul: 1. Sezon,No,,"8,500,000",,
Risen (2016),No,,"8,500,000",,
Sand Castle,Yes,2017-04-21,"8,500,000",,
Smiley: Season 1,Yes,2022-12-07,"8,500,000",,
Stranger: Season 2 // 비밀의 숲: 시즌 2,Yes,2020-08-15,"8,500,000",,
The Christmas Chronicles: Part Two,Yes,2020-11-25,"8,500,000",,
The Devil All The Time,Yes,2020-09-16,"8,500,000",,
The Lodge (2019),No,,"8,500,000",,
The Queen and the Conqueror: Season 1 // La reina de Indias y el conquistador: Temporada 1,No,2020-05-20,"8,500,000",,
The Worst Witch: Season 3,Yes,2019-07-26,"8,500,000",,
Tower Heist,No,,"8,500,000",,
Weightlifting Fairy Kim Bok Joo: Season 1 // 역도요정 김복주: 시즌 1,No,,"8,500,000",,
10 Minutes Gone,No,,"8,400,000",,
Aftershock: Everest and the Nepal Earthquake: Limited Series,Yes,2022-10-06,"8,400,000",,
Angels & Demons,No,,"8,400,000",,
Archive 81: Season 1,Yes,2022-01-14,"8,400,000",,
"Big Mommas: Like Father, Like Son",No,,"8,400,000",,
Black Clover III // ブラッククローバー III,No,,"8,400,000",,
Community: Season 6,Yes,,"8,400,000",,
Dearest: Season 1 // 最愛: シーズン1,No,,"8,400,000",,
Family Secrets: Season 1 // Gry rodzinne: Sezon 1,Yes,2022-08-31,"8,400,000",,
Heartland (2007): Season 3,No,,"8,400,000",,
Kick-Ass 2,No,,"8,400,000",,
"Love, Death & Robots: Volume 3",Yes,2022-05-20,"8,400,000",,
Madam Secretary: Season 3,No,,"8,400,000",,
My Little Pony: Make Your Mark: Chapter 4,Yes,2023-06-06,"8,400,000",,
No Limit // Sous emprise,Yes,2022-09-09,"8,400,000",,
Pup Academy: Season 2,Yes,2020-10-12,"8,400,000",,
Queer Eye: Season 6,Yes,2021-12-31,"8,400,000",,
Rocky (1976),No,,"8,400,000",,
Santo: Season 1,Yes,2022-09-16,"8,400,000",,
The Da Vinci Code,No,,"8,400,000",,
Trailer Park Boys: Season 5,Yes,2010-09-22,"8,400,000",,
Van Helsing: Season 2,Yes,2018-01-19,"8,400,000",,
72 Dangerous Animals: Asia: Limited Series,No,2018-08-10,"8,300,000",,
Ancient Aliens: Season 4,No,,"8,300,000",,
Bert Kreischer: Razzle Dazzle,Yes,2023-03-14,"8,300,000",,
Blood & Water: Season 2,Yes,2021-09-24,"8,300,000",,
Dirty John: John Meehan,No,2019-02-14,"8,300,000",,
Hellbound: Season 1 // 지옥: 시즌 1,Yes,2021-11-19,"8,300,000",,
Marcella: Season 1,Yes,2016-07-01,"8,300,000",,
One Day at a Time: Season 1,Yes,2017-01-06,"8,300,000",,
Outlaw King,Yes,2018-11-09,"8,300,000",,
Paddington (2014),No,,"8,300,000",,
Pokémon Journeys: The Series // ポケットモンスター,No,,"8,300,000",,
Resort to Love,Yes,2021-07-29,"8,300,000",,
Resurrection: Ertugrul: Season 2 // Diriliş: Ertuğrul: 2. Sezon,No,,"8,300,000",,
Richie Rich: Season 1,Yes,2015-02-20,"8,300,000",,
She was pretty: Season 1 // 그녀는 예뻤다: 시즌 1,No,,"8,300,000",,
Supernatural (2005): Season 15,No,,"8,300,000",,
The Hitman’s Bodyguard,No,2017-08-25,"8,300,000",,
The Midnight Sky,Yes,2020-12-23,"8,300,000",,
Welcome to Waikiki // 으라차차 와이키키,Yes,,"8,300,000",,
Abby Hatcher: Season 1,No,,"8,200,000",,
Aftermath (2021),No,,"8,200,000",,
Assassin's Creed,No,,"8,200,000",,
Bread Barbershop: Season 2,Yes,,"8,200,000",,
Dawn of the Croods: Season 4,No,2017-07-07,"8,200,000",,
Haikyu!! // ハイキュー!!,No,,"8,200,000",,
Holy Family: Season 1 // Sagrada familia: Season 1,Yes,2022-10-14,"8,200,000",,
Killer Sally: Limited Series,Yes,2022-11-02,"8,200,000",,
Life After Death with Tyler Henry: Season 1,Yes,2022-03-11,"8,200,000",,
Longest Third Date,Yes,2023-04-18,"8,200,000",,
Lost Bullet // Balle perdue,Yes,2020-06-19,"8,200,000",,
Mr. Iglesias: Part 1,Yes,2019-06-21,"8,200,000",,
My Golden Life // 황금빛 내 인생,No,,"8,200,000",,
My Hero Academia: Season 2 // 僕のヒーローアカデミア: シーズン2,No,,"8,200,000",,
Pedal to Metal: Season 1 // Dale gas: Temporada 1,No,2022-03-16,"8,200,000",,
Pokémon Master Journeys: The Series: Part 3,No,2022-05-26,"8,200,000",,
Ride Along 2,No,,"8,200,000",,
Savage Beauty: Season 1,Yes,2022-05-12,"8,200,000",,
Snowpiercer: Season 2,No,2021-01-26,"8,200,000",,
Teenage Parents: Season 3 // 어른들은 모르는 고딩엄빠: 시즌3,No,,"8,200,000",,
The Fairly OddParents: Season 1,No,,"8,200,000",,
The Ranch: Part 7,Yes,2019-09-13,"8,200,000",,
The Secret: Dare to Dream,No,,"8,200,000",,
The Starling,Yes,2021-09-24,"8,200,000",,
The Wedding Date,No,,"8,200,000",,
Wave Makers: Season 1 // 人選之人—造浪者: 第 1 季 // 人选之人：造浪者: 第 1 季,Yes,2023-04-28,"8,200,000",,
We Lost Our Human,Yes,2023-03-21,"8,200,000",,
When the Camellia Blooms: Season 1 // 동백꽃 필 무렵: 시즌 1,Yes,2019-09-18,"8,200,000",,
White Lines: Season 1,Yes,2020-05-15,"8,200,000",,
A Walk Among the Tombstones,No,,"8,100,000",,
Barbie: It Takes Two: Season 1,No,,"8,100,000",,
City of God // Cidade de Deus,No,,"8,100,000",,
Elite Squad // Tropa de Elite,No,,"8,100,000",,
Escape Room: Tournament Of Champions,No,,"8,100,000",,
Floor Is Lava: Season 1,Yes,2020-06-19,"8,100,000",,
"Game Over, Man!",Yes,2018-03-23,"8,100,000",,
Gotham: Season 2,No,,"8,100,000",,
Human Playground: Season 1,Yes,2022-09-30,"8,100,000",,
I Now Pronounce You Chuck and Larry,No,,"8,100,000",,
InuYasha: Season 4 // 犬夜叉: 第4期,No,,"8,100,000",,
La Caza: Season 2,No,,"8,100,000",,
Like Father,Yes,2018-08-03,"8,100,000",,
MerPeople: Limited Series,Yes,2023-05-23,"8,100,000",,
Miracles from Heaven,No,,"8,100,000",,
Mister Trot: Season 2 // 미스터트롯: 시즌2,No,,"8,100,000",,
Molang: Season 4,No,,"8,100,000",,
My Little Pony: Friendship Is Magic: Season 2,No,,"8,100,000",,
My Neighbor Totoro // となりのトトロ,No,,"8,100,000",,
No One Gets Out Alive,Yes,2021-09-29,"8,100,000",,
Notting Hill,No,,"8,100,000",,
Octonauts: Season 2,No,,"8,100,000",,
Put Your Head on My Shoulder: Season 1 // 致我們暖暖的小時光: 第 1 季 // 致我们暖暖的小时光: 第 1 季,No,,"8,100,000",,
Security (2017),No,,"8,100,000",,
Supernatural (2005): Season 14,No,,"8,100,000",,
The Haunted House: Season 1 // 신비아파트: 고스트볼의 비밀,Yes,,"8,100,000",,
The Mess You Leave Behind: Limited Series // El desorden que dejas: Miniserie,Yes,2020-12-11,"8,100,000",,
The Soccer Football Movie,Yes,2022-11-09,"8,100,000",,
The Wedding Year,No,,"8,100,000",,
There Will Be Blood,No,,"8,100,000",,
Thunivu,No,,"8,100,000",,
Toscana,Yes,2022-05-18,"8,100,000",,
Addicted (2014),No,,"8,000,000",,
"Blood, Sex & Royalty: Season 1",Yes,2022-11-23,"8,000,000",,
Charlie's Angels (2019),No,,"8,000,000",,
Chicago Party Aunt: Part 2,Yes,2022-12-30,"8,000,000",,
Chicken Run,No,,"8,000,000",,
Cold Case Files: Season 2,No,,"8,000,000",,
Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,Yes,2022-04-20,"8,000,000",,
Copenhagen Cowboy: Season 1,Yes,2023-01-05,"8,000,000",,
DELETE: Season 1,Yes,2023-06-28,"8,000,000",,
Dr. Stone: Season 3,No,,"8,000,000",,
Falsa identidad: Season 1,No,,"8,000,000",,
HYE MI LEE YE CHAE PA: Season 1 // 혜미리예채파: 시즌 1,No,,"8,000,000",,
Nak // นางนาค สะใภ้พระโขนง,No,,"8,000,000",,
Naruto Shippuden: Season 4 // NARUTO-ナルト- 疾風伝: 飛段・角都編,No,,"8,000,000",,
ONE PIECE: TV Original 1 // ワンピース: TVオリジナル編,No,,"8,000,000",,
Otherhood,Yes,2019-08-02,"8,000,000",,
Quicksand: Limited Series // Störst av allt: Miniserie,Yes,2019-04-05,"8,000,000",,
Restless // Sans répit,Yes,2022-02-25,"8,000,000",,
Ricky Zoom: Season 1,No,,"8,000,000",,
Rise of the Teenage Mutant Ninja Turtles: Season 1,No,,"8,000,000",,
Secret Obsession,Yes,2019-07-18,"8,000,000",,
Snowpiercer: Season 3,No,2022-01-25,"8,000,000",,
Supergirl: Season 4,No,,"8,000,000",,
The Blind Side,No,,"8,000,000",,
The End of the F***ing World: Season 1,Yes,2018-01-05,"8,000,000",,
The I-Land: Limited Series,Yes,2019-09-12,"8,000,000",,
The Last Kids on Earth: Book 3,Yes,2020-10-16,"8,000,000",,
Trash Truck: Season 1,Yes,2020-11-10,"8,000,000",,
"Web of Make Believe: Death, Lies and the Internet: Season 1",Yes,2022-06-15,"8,000,000",,
Arrival (2016),No,,"7,900,000",,
Clueless (1995),No,,"7,900,000",,
Collateral: Limited Series,Yes,2018-03-09,"7,900,000",,
Dali & Cocky Prince: Season 1 // 달리와 감자탕: 시즌 1,No,,"7,900,000",,
EDENS ZERO: Season 1,Yes,2021-04-10,"7,900,000",,
Extinction,Yes,2018-07-27,"7,900,000",,
Father Stu,No,,"7,900,000",,
Gigantosaurus: Season 2,No,,"7,900,000",,
Graceful Family: Season 1 // 우아한 가: 시즌1,No,,"7,900,000",,
Greenhouse Academy: Season 1,Yes,2017-09-08,"7,900,000",,
In Good Hands // Sen Yaşamaya Bak,Yes,2022-03-21,"7,900,000",,
Into the Night: Season 1,Yes,2020-05-01,"7,900,000",,
Megamind,No,,"7,900,000",,
Salt (2010),No,,"7,900,000",,
The Girl in the Mirror: Season 1 // Alma: Temporada 1,Yes,2022-08-19,"7,900,000",,
The Most Beautiful Flower: Season 1 // La flor más bella: Season 1,Yes,2022-12-07,"7,900,000",,
The Playing Card Killer: Limited Series // Baraja: La firma del asesino: Miniserie,No,2023-06-09,"7,900,000",,
The Ranch: Part 8,Yes,2020-01-24,"7,900,000",,
The Silent Sea: Season 1 // 고요의 바다: 시즌 1,Yes,2021-12-24,"7,900,000",,
Above Suspicion (2019),No,,"7,800,000",,
Always Be My Maybe,Yes,2019-05-31,"7,800,000",,
Aquí no hay quien viva (2003): Temporada 6,No,,"7,800,000",,
Arrested Development: Season 4 Remix: Fateful Consequences,No,2018-05-03,"7,800,000",,
BoJack Horseman: Season 5,Yes,2018-09-14,"7,800,000",,
Captain Phillips,No,,"7,800,000",,
Casados con hijos (2005): Season 2,No,,"7,800,000",,
Faraaz // फ़राज़,No,,"7,800,000",,
Fear Street Part 1: 1994,Yes,2021-07-02,"7,800,000",,
Good Will Hunting,No,,"7,800,000",,
Heart Signal: Season 4 // 하트시그널: 시즌4,No,,"7,800,000",,
Hellhole // Ostatnia wieczerza,Yes,2022-10-26,"7,800,000",,
Hereditary,No,,"7,800,000",,
Léon: The Professional,No,,"7,800,000",,
Mako Mermaids: An H2O Adventure: Season 3,No,2015-05-29,"7,800,000",,
Mixed by Erry,Yes,2023-05-31,"7,800,000",,
Numberblocks: Season 6,No,,"7,800,000",,
Revolutionary Love: Season 1 // 변혁의 사랑: 시즌1,Yes,,"7,800,000",,
Safe House (2012),No,,"7,800,000",,
Shaft,No,2019-06-28,"7,800,000",,
Teenage Bounty Hunters: Season 1,Yes,2020-08-14,"7,800,000",,
The Last Empress // 황후의 품격,No,,"7,800,000",,
The Law of the Jungle: Season 1 // La ley de la selva: Season 1,No,2023-03-15,"7,800,000",,
The Main Event,Yes,2020-04-10,"7,800,000",,
Train to Busan // 부산행,No,,"7,800,000",,
Unit 42: Season 1 // Unité 42: Saison 1,No,2019-06-14,"7,800,000",,
Yara,Yes,2021-11-05,"7,800,000",,
Young Royals: Season 2,Yes,2022-11-01,"7,800,000",,
Afterlife of the Party,Yes,2021-09-02,"7,700,000",,
Black and Blue (2019),No,,"7,700,000",,
Brainchild: Season 1,Yes,2018-11-02,"7,700,000",,
Country Comfort: Season 1,Yes,2021-03-19,"7,700,000",,
Encounter // 남자친구,No,,"7,700,000",,
Go Karts,Yes,2020-03-13,"7,700,000",,
Homemade Love Story // 오! 삼광빌라!,No,,"7,700,000",,
I Care a Lot,No,2021-02-19,"7,700,000",,
Jerry Maguire,No,,"7,700,000",,
Justice League: Season 1,No,,"7,700,000",,
KENGAN ASHURA: Part l // ケンガンアシュラ: シーズン1: パートI,Yes,2019-07-31,"7,700,000",,
Knightfall: Season 1,No,,"7,700,000",,
Little Lunch: Season 1,No,,"7,700,000",,
Love O2O: Season 1 // 微微一笑很傾城: 第 1 季 // 微微一笑很倾城: 第 1 季,No,,"7,700,000",,
Making a Murderer: Part 1,Yes,2015-12-18,"7,700,000",,
MIU404: Season 1,No,,"7,700,000",,
My Golden Kids: 2023 // 금쪽같은 내새끼: 2023,No,,"7,700,000",,
My Shy Boss: Season 1 // 내성적인 보스: 시즌1,Yes,,"7,700,000",,
R.I.P.D. 2: Rise of the Damned,No,,"7,700,000",,
School of Chocolate: Season 1,Yes,2021-11-26,"7,700,000",,
Sense8: Season 2,Yes,2016-12-23,"7,700,000",,
Spiderhead,Yes,2022-06-17,"7,700,000",,
Spirit Riding Free: Season 2,No,2017-09-08,"7,700,000",,
That Time I Got Reincarnated as a Slime: Season 2 // 転生したらスライムだった件: 第2期,No,,"7,700,000",,
The Circle: Season 1,Yes,2020-01-01,"7,700,000",,
The Perfect Family // La familia perfecta,No,2022-05-11,"7,700,000",,
The Worst Witch: Season 4,Yes,2020-10-01,"7,700,000",,
Trailer Park Boys: Season 8,Yes,2014-09-04,"7,700,000",,
Triple 9,No,,"7,700,000",,
Unsolved Mysteries: Volume 2,Yes,2020-10-19,"7,700,000",,
War of Trap: Season 1 // 罠の戦争: シーズン1,No,,"7,700,000",,
Wolf: Season 1 // BÖRÜ: 1. Sezon,No,2018-12-21,"7,700,000",,
World's Most Wanted: Season 1,Yes,2020-08-05,"7,700,000",,
A Series of Unfortunate Events: Season 3,Yes,2019-01-01,"7,600,000",,
Bad And Crazy // 배드 앤 크레이지,No,,"7,600,000",,
Chambers: Season 1,Yes,2019-04-26,"7,600,000",,
Closer (2004),No,,"7,600,000",,
Floor Is Lava: Season 2,Yes,2022-06-03,"7,600,000",,
Ghosts of the Abyss,No,,"7,600,000",,
Girlboss: Season 1,Yes,2017-04-21,"7,600,000",,
In the Tall Grass,Yes,2019-10-04,"7,600,000",,
Indian Matchmaking: Season 1,Yes,2020-07-16,"7,600,000",,
Katla: Season 1,Yes,2021-06-17,"7,600,000",,
Legacies: Season 1,No,,"7,600,000",,
Monarca: Season 1,Yes,2019-09-13,"7,600,000",,
My Girl (1991),No,,"7,600,000",,
Pirate Gold of Adak Island: Season 1,Yes,2022-06-29,"7,600,000",,
Pitch Black,No,,"7,600,000",,
Pitch Perfect 2,No,,"7,600,000",,
Royalteen // Royalteen: Arvingen,Yes,2022-08-17,"7,600,000",,
Selling Sunset: Season 4,Yes,2021-11-24,"7,600,000",,
Selling The OC: Season 1,Yes,2022-08-24,"7,600,000",,
Supergirl: Season 6,No,,"7,600,000",,
Surviving Death: Limited Series,Yes,2021-01-06,"7,600,000",,
The 2nd,No,,"7,600,000",,
The Babysitter,Yes,2017-10-13,"7,600,000",,
The Hidden Lives of Pets: Season 1,Yes,2022-06-22,"7,600,000",,
The Valhalla Murders: Season 1 // Brot: Sería eitt,Yes,2020-03-13,"7,600,000",,
Trotro,No,,"7,600,000",,
Uncoupled: Season 1,Yes,2022-07-29,"7,600,000",,
Virupaksha,No,,"7,600,000",,
All Hail King Julien: Exiled: Season 1,Yes,2017-05-12,"7,500,000",,
Attack on Titan: The Final Season Part 1 // 進撃の巨人: ファイナルシーズン パート1,No,,"7,500,000",,
Black Lightning: Season 3,No,2020-03-17,"7,500,000",,
Boruto: Naruto Next Generations: Season 4 // BORUTO ボルト NEXT GENERATIONS: シーズン4,No,,"7,500,000",,
Deliver Us from Evil (2014),No,,"7,500,000",,
Good Doctor: Season 1 // 굿 닥터: 시즌 1,No,,"7,500,000",,
"Good Morning, Verônica: Season 1 // Bom Dia, Verônica: Temporada 1",Yes,2020-10-01,"7,500,000",,
Killing Eve: Season 1,No,,"7,500,000",,
Law School: Season 1 // 로스쿨: 시즌 1,Yes,2021-04-14,"7,500,000",,
LEGO Ninjago: Masters of Spinjitzu: Possession,No,,"7,500,000",,
My Magic Pet Morphle: Season 3,Yes,,"7,500,000",,
Power Rangers Beast Morphers: Season 2,No,,"7,500,000",,
Roman Empire: Commodus: Reign of Blood,Yes,2016-11-11,"7,500,000",,
S.W.A.T. (2003),No,,"7,500,000",,
Spirit Riding Free: Riding Academy: Part 1,Yes,2020-04-03,"7,500,000",,
Spy Kids: All the Time in the World,No,,"7,500,000",,
Suburra: Blood on Rome: Season 1 // Suburra: La serie: Stagione 1,Yes,2017-10-06,"7,500,000",,
The Rational Life: Season 1 // 理智派生活: 第 1 季,Yes,2021-06-18,"7,500,000",,
The Vampire Diaries: Season 2,No,,"7,500,000",,
Trailer Park Boys: Season 7,Yes,2011-03-01,"7,500,000",,
Tyler Perry's The Family That Preys,No,,"7,500,000",,
Van Helsing: Season 3,Yes,2019-02-25,"7,500,000",,
VIP (2019): Season 1,No,,"7,500,000",,
White House Down,No,,"7,500,000",,
American Hustle,No,,"7,400,000",,
Back to the Future (1985),No,,"7,400,000",,
Below Zero // Bajocero,Yes,2021-01-29,"7,400,000",,
Cargo,Yes,2018-05-18,"7,400,000",,
CAT: Season 1,Yes,2022-12-09,"7,400,000",,
Disconnect: The Wedding Planner,Yes,2023-01-13,"7,400,000",,
Girls Incarcerated: Season 2,Yes,2019-06-21,"7,400,000",,
Green Mothers' Club: Season 1 // 그린마더스클럽: 시즌 1,Yes,2022-04-06,"7,400,000",,
Green Snake // 白蛇 2：青蛇劫起,Yes,2021-12-01,"7,400,000",,
Haikyu!! II // ハイキュー!! セカンドシーズン,No,,"7,400,000",,
Heartland (2007): Season 5,No,,"7,400,000",,
Heartland (2007): Season 12,No,,"7,400,000",,
Inception,No,,"7,400,000",,
Keeping Up with the Kardashians: Season 13,No,,"7,400,000",,
Madam Secretary: Season 4,No,,"7,400,000",,
Nobody Sleeps in the Woods Tonight // W lesie dziś nie zaśnie nikt,Yes,2020-03-20,"7,400,000",,
Octonauts & the Ring of Fire,Yes,2021-03-30,"7,400,000",,
Santa Clarita Diet: Season 2,Yes,2018-03-23,"7,400,000",,
Selena: The Series: Part 1,Yes,2020-12-04,"7,400,000",,
Skull Island: Season 1,Yes,2023-06-22,"7,400,000",,
The A List: Season 1,Yes,2019-08-30,"7,400,000",,
The Beast // La Belva,Yes,2020-11-27,"7,400,000",,
The Boss Baby: Get That Baby!,Yes,2020-09-01,"7,400,000",,
The Constant Gardener,No,,"7,400,000",,
This World Can't Tear Me Down: Season 1 // Questo mondo non mi renderà cattivo: Stagione 1,Yes,2023-06-09,"7,400,000",,
Under Fire: Season 1 // Onder Vuur: Seizoen 1,Yes,2022-08-24,"7,400,000",,
Altered Carbon: Season 2,Yes,2020-02-27,"7,300,000",,
Always a Witch: Season 1 // Siempre bruja: Temporada 1,Yes,2019-02-01,"7,300,000",,
American Murder: The Family Next Door,Yes,2020-09-30,"7,300,000",,
Aquí no hay quien viva (2003): Temporada 5,No,,"7,300,000",,
Capitani: Season 1,Yes,2021-02-11,"7,300,000",,
Everything Calls for Salvation: Season 1 // Tutto chiede salvezza: Season 1,Yes,2022-10-14,"7,300,000",,
Indian Matchmaking: Season 2,Yes,2022-08-10,"7,300,000",,
Just Mercy,No,,"7,300,000",,
Kakegurui // 賭ケグルイ,Yes,2017-07-01,"7,300,000",,
Kuttey // कुत्ते,No,,"7,300,000",,
Living with Yourself: Season 1,Yes,2019-10-18,"7,300,000",,
Love Hard,Yes,2021-11-05,"7,300,000",,
Malibu Rescue: The Series: Season 1,Yes,2019-06-03,"7,300,000",,
Miniforce: Season 1 // 최강전사 미니특공대: 시즌 1,No,,"7,300,000",,
Naruto Shippuden: Season 3 // NARUTO-ナルト- 疾風伝: 守護忍十二士編,No,,"7,300,000",,
"Now, We Are Breaking Up: Season 1 // 지금, 헤어지는 중입니다: 시즌 1",No,,"7,300,000",,
Oggy Oggy: Season 1,Yes,2021-08-24,"7,300,000",,
P.S. I Love You,No,,"7,300,000",,
Polly Pocket: Season 1,No,,"7,300,000",,
Riverdance: The Animated Adventure,No,2022-01-14,"7,300,000",,
Run Rabbit Run,No,2023-06-28,"7,300,000",,
Spectral,Yes,2016-12-09,"7,300,000",,
The Clovehitch Killer,No,,"7,300,000",,
The Protector: Season 3 // Hakan: Muhafız: 3. Sezon,Yes,2020-03-06,"7,300,000",,
Velvet: Season 3,No,,"7,300,000",,
When They See Us: Limited Series,Yes,2019-05-31,"7,300,000",,
Working: What We Do All Day: Limited Series,Yes,2023-05-17,"7,300,000",,
All Hail King Julien: Season 2,Yes,2015-10-16,"7,200,000",,
American Made,No,,"7,200,000",,
Arctic (2018),No,,"7,200,000",,
