Title,Available Globally?,Release Date,Hours Viewed,,
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,"99,900,000",,
The Blacklist: Season 1,No,,"99,900,000",,
Shadow and Bone: Season 1,Yes,2021-04-23,"99,500,000",,
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,"99,000,000",,
Designated Survivor: Season 1,Yes,2016-09-22,"98,500,000",,
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,"97,800,000",,
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,"97,600,000",,
Minions: The Rise of Gru,No,,"96,400,000",,
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,"95,800,000",,
The Blacklist: Season 9,No,,"95,700,000",,
That '90s Show: Part 1,Yes,2023-01-19,"95,100,000",,
You: Season 2,Yes,2019-12-26,"95,000,000",,
La Reina del Sur: Season 1,No,2011-09-05,"94,700,000",,
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,"94,600,000",,
New Amsterdam (2018): Season 2,No,,"94,400,000",,
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,"94,300,000",,
Breaking Bad: Season 4,No,,"94,300,000",,
Obsession: Limited Series,Yes,2023-04-13,"94,200,000",,
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,"92,900,000",,
La Reina del Sur: Season 2,No,2019-08-16,"92,500,000",,
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,"92,300,000",,
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,"92,200,000",,
CoComelon: Season 3,No,2021-05-31,"91,400,000",,
Firefly Lane: Season 1,Yes,2021-02-03,"91,200,000",,
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,"90,800,000",,
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,"90,200,000",,
Sweet Tooth: Season 1,Yes,2021-06-04,"89,000,000",,
S.W.A.T. (2017): Season 1,No,,"88,600,000",,
Murder Mystery,Yes,2019-06-14,"87,900,000",,
True Beauty // 여신강림,No,,"87,300,000",,
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,"87,200,000",,
Little Angel: Volume 2,Yes,,"86,200,000",,
Manifest: Season 2,No,2021-06-10,"86,200,000",,
Extraction,Yes,2020-04-24,"86,100,000",,
Lucifer: Season 2,No,2017-08-31,"86,100,000",,
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,"86,000,000",,
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,"85,400,000",,
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,"85,000,000",,
Florida Man: Limited Series,Yes,2023-04-13,"84,600,000",,
Lucifer: Season 1,No,2017-07-23,"84,400,000",,
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,"83,600,000",,
Breaking Bad: Season 1,No,,"83,200,000",,
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,"83,200,000",,
Selling Sunset: Season 6,Yes,2023-05-19,"82,800,000",,
CoComelon: Season 4,No,2021-10-14,"82,500,000",,
Suits (2011): Season 3,Yes,,"82,500,000",,
Sam & Cat: Season 1,No,,"82,400,000",,
Gilmore Girls: Season 1,Yes,,"82,100,000",,
Sonic Prime: Season 1,Yes,2022-12-15,"82,100,000",,
Peppa Pig: Season 1,No,,"81,800,000",,
Manifest: Season 3,No,2021-08-21,"81,700,000",,
Roald Dahl's Matilda The Musical,Yes,2022-12-25,"81,000,000",,
Better Call Saul: Season 6,No,2022-04-19,"80,800,000",,
Sing (2016),No,,"80,500,000",,
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,"80,300,000",,
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,"80,000,000",,
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,"79,700,000",,
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,"78,200,000",,
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,"78,200,000",,
Chupa,Yes,2023-04-07,"77,800,000",,
Stranger Things,Yes,2016-07-15,"77,800,000",,
Paw Patrol: The Movie,No,,"77,200,000",,
Sing 2,No,,"76,600,000",,
The Crown: Season 5,Yes,2022-11-09,"76,300,000",,
Next in Fashion: Season 2,Yes,2023-03-03,"75,700,000",,
Gilmore Girls: Season 2,Yes,,"75,200,000",,
Lucifer: Season 5,No,2020-08-21,"75,200,000",,
The Boss Baby,No,,"75,100,000",,
Treason: Limited Series,Yes,2022-12-26,"74,300,000",,
Trolls,No,,"73,400,000",,
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,"73,300,000",,
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,"73,100,000",,
Rough Diamonds: Season 1,Yes,2023-04-21,"72,800,000",,
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2021-02-20,"72,800,000",,
The Walking Dead: Season 10,No,,"72,200,000",,
The Witcher: Season 1,Yes,2019-12-20,"72,200,000",,
Gabby's Dollhouse: Season 1,Yes,2021-01-05,"71,600,000",,
The Walking Dead: Season 3,No,,"71,600,000",,
Carrossel,No,,"71,300,000",,
Gilmore Girls: Season 3,Yes,,"71,300,000",,
Red Rose: Season 1,Yes,2023-02-15,"71,100,000",,
Fauda: Season 4 // פאודה: עונה 4,Yes,2023-01-20,"71,000,000",,
New Amsterdam (2018): Season 3,No,,"70,600,000",,
Gilmore Girls: Season 5,Yes,,"69,900,000",,
Gilmore Girls: Season 4,Yes,,"69,800,000",,
The Blacklist: Season 2,No,,"69,700,000",,
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,2023-03-04,"69,500,000",,
Stranger Things 2,Yes,2017-10-27,"69,200,000",,
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,2021-08-28,"69,000,000",,
Love Is Blind: Season 3,Yes,2022-10-19,"68,900,000",,
Kill Boksoon // 길복순,Yes,2023-03-31,"68,500,000",,
The Thundermans: Season 1,No,,"68,500,000",,
The Flash (2014): Season 1,No,,"68,200,000",,
Red Notice,Yes,2021-11-12,"68,100,000",,
Henry Danger: Season 1,No,,"67,800,000",,
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,2021-11-17,"67,800,000",,
The Walking Dead: Season 2,No,,"67,700,000",,
Viking Wolf // Vikingulven,Yes,2023-02-03,"67,500,000",,
Designated Survivor: Season 2,Yes,2017-09-28,"67,200,000",,
Bebefinn: Season 1,Yes,,"67,100,000",,
Hotel Transylvania 2,No,,"67,000,000",,
Stranger Things 3,Yes,2019-07-04,"67,000,000",,
Masha and the Bear: Season 1,No,,"66,700,000",,
Outlander: Season 1,No,2016-03-31,"66,500,000",,
Grizzy and the Lemmings: Season 2,No,,"66,000,000",,
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13,"65,900,000",,
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,"65,300,000",,
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,2023-04-27,"65,200,000",,
The Watcher: Season 1,Yes,2022-10-13,"64,400,000",,
Jumanji: The Next Level,No,,"64,300,000",,
Suits (2011): Season 4,Yes,,"64,200,000",,
Gilmore Girls: Season 6,Yes,,"63,900,000",,
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,2023-05-02,"63,900,000",,
All American: Season 5,No,,"63,700,000",,
Peppa Pig: Season 2,No,,"63,700,000",,
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,"63,500,000",,
The Blacklist: Season 3,No,,"63,500,000",,
Narvik,No,2023-01-23,"63,100,000",,
Home (2015),No,,"62,800,000",,
The Sea Beast,Yes,2022-07-08,"62,700,000",,
The Walking Dead: Season 4,No,,"62,300,000",,
Harry & Meghan: Limited Series,Yes,2022-12-08,"62,000,000",,
The Walking Dead: Season 5,No,,"62,000,000",,
My Dad the Bounty Hunter: Season 1,Yes,2023-02-09,"61,800,000",,
Dog Gone,Yes,2023-01-13,"61,600,000",,
Maid: Limited Series,Yes,2021-10-01,"61,500,000",,
Pasión de Gavilanes: Season 2,No,,"61,500,000",,
A Man Called Otto,No,,"61,300,000",,
Peaky Blinders: Season 1,No,2014-09-30,"61,100,000",,
Victorious: Season 1,No,,"61,100,000",,
Never Have I Ever: Season 1,Yes,2020-04-27,"61,000,000",,
THE DAYS: Limited Series,No,2023-06-01,"60,800,000",,
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,2023-02-15,"60,600,000",,
Unseen: Season 1,Yes,2023-03-29,"60,100,000",,
Narcos: Season 1,Yes,2015-08-28,"59,900,000",,
The Walking Dead: Season 6,No,,"59,800,000",,
MADOFF: The Monster of Wall Street: Limited Series,Yes,2023-01-04,"59,600,000",,
The Witcher: Season 2,Yes,2021-12-17,"59,300,000",,
Sky Rojo: Season 3,Yes,2023-01-13,"58,500,000",,
Young Lady and Gentleman // 신사와 아가씨,No,,"58,500,000",,
Miraculous: Tales of Ladybug & Cat Noir: Season 1,No,,"58,300,000",,
Never Have I Ever: Season 3,Yes,2022-08-12,"58,300,000",,
The Gray Man,Yes,2022-07-22,"58,300,000",,
S.W.A.T. (2017): Season 2,No,,"57,900,000",,
ONE PIECE: East Blue // ワンピース: イーストブルー編,No,,"57,800,000",,
Brooklyn Nine-Nine: Season 1,No,,"57,500,000",,
New Amsterdam (2018): Season 4,No,,"57,500,000",,
Workin' Moms: Season 7,No,2023-04-26,"57,500,000",,
Barbie Life in the Dreamhouse: Season 1,Yes,,"57,400,000",,
The Walking Dead: Season 7,No,,"57,400,000",,
The Blacklist: Season 8,No,,"57,000,000",,
The Sandman: Season 1,Yes,2022-08-05,"56,700,000",,
True Spirit,Yes,2023-02-03,"56,700,000",,
CoComelon: Season 5,No,2022-03-31,"56,600,000",,
Gilmore Girls: Season 7,Yes,,"56,500,000",,
The Strays,Yes,2023-02-22,"56,500,000",,
Suits (2011): Season 5,Yes,,"56,400,000",,
The Croods,No,,"56,400,000",,
Grizzy and the Lemmings: Season 1,No,,"56,300,000",,
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,2022-09-29,"56,000,000",,
Matilda (1996),No,,"55,700,000",,
Outlast: Season 1,Yes,2023-03-10,"55,500,000",,
The Good Doctor: Season 1,No,,"55,500,000",,
CoComelon: Season 7,No,2023-02-14,"55,200,000",,
Jane The Virgin: Season 1,Yes,,"55,200,000",,
The Blacklist: Season 4,No,,"55,200,000",,
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,No,,"55,100,000",,
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,No,2018-11-09,"55,000,000",,
Brooklyn Nine-Nine: Season 2,No,,"54,800,000",,
Carinha de Anjo: Season 1,No,,"54,400,000",,
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",No,2017-07-31,"54,400,000",,
The Circle: Season 5,Yes,2022-12-28,"54,400,000",,
The Ultimatum: Queer Love: Season 1,Yes,2023-05-24,"53,800,000",,
Never Have I Ever: Season 2,Yes,2021-07-15,"53,700,000",,
Brooklyn Nine-Nine: Season 3,No,,"53,600,000",,
¡Que viva México!,Yes,2023-05-11,"53,500,000",,
Emily in Paris: Season 2,Yes,2021-12-22,"53,300,000",,
The Last Kingdom: Season 5,No,2022-03-09,"53,300,000",,
Full Swing: Season 1,Yes,2023-02-15,"53,100,000",,
The Walking Dead: Season 8,No,,"53,000,000",,
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,2022-05-06,"53,000,000",,
We Can Be Heroes,Yes,2020-12-25,"52,800,000",,
Arnold: Limited Series,Yes,2023-06-07,"52,500,000",,
Better Call Saul: Season 1,No,2015-02-08,"52,500,000",,
The King's Affection: Season 1 // 연모: 시즌 1,Yes,2021-10-11,"52,400,000",,
Shameless (U.S.): Season 1,No,,"52,300,000",,
Missing: Dead or Alive?: Season 1,Yes,2023-05-10,"52,200,000",,
Bodyguard: Season 1,Yes,2018-10-24,"52,000,000",,
Dr. Seuss' The Lorax,No,,"52,000,000",,
1899: Season 1,Yes,2022-11-17,"51,800,000",,
A Tourist's Guide to Love,Yes,2023-04-21,"51,800,000",,
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,2020-06-20,"51,800,000",,
Vikings (2013): Season 4,No,,"51,800,000",,
Faraway,Yes,2023-03-08,"51,700,000",,
Blood & Gold,Yes,2023-05-26,"51,600,000",,
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,2023-03-24,"51,600,000",,
The Blacklist: Season 5,No,,"51,600,000",,
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,No,2022-09-03,"51,300,000",,
Grey's Anatomy: Season 2,No,,"51,200,000",,
The Walking Dead: Season 9,No,,"51,200,000",,
The Office (U.S.): Season 3,No,,"51,000,000",,
The Last Kingdom: Season 1,Yes,2015-12-28,"50,900,000",,
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,Yes,2023-01-25,"50,800,000",,
Faithfully Yours,No,2023-05-17,"50,600,000",,
Masha and the Bear: Season 3,No,,"50,400,000",,
Masha and the Bear: Season 5,No,,"50,300,000",,
