Rank,Active Mil Personnel,Reserve Mil Personnel ,Paramilitary ,Air Force Personnel,Army Personnel,Navy Personnel,Total Aircraft,Fighter Aircrafts,Attack Type Aircrafts,Helicopters,Attack Helicopteres,Tanks,Self-Propelled Artillerry,Towed Artillery,Rocket Artillery,Aircraft Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Purchasing Power Parity ,Defense Budget
"33                
             
			
				
                	
						South Africa                    
                
				
                	
						SAF                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.4885","40,200","12,500","180,000","12,000","36,000","6,815"," 226			

				Readiness: 147*"," 17 (7.5%)
            	

                	Readiness: 11*"," 0 (0.0%)
            	

                	Readiness: 0*"," 91 (40.3%)
            	

                	Readiness: 59*"," 12 (5.3%)
            	

                	Readiness: 8*"," 195				

					Readiness: 146*"," 49				

					Readiness: 37*"," 82				

					Readiness: 62*"," 101				

					Readiness: 76*",0,0,4,0,3,31,2,"$680,040,000,000 USD","$2,814,016,919 USD"
"32                
             
			
				
                	
						Philippines                    
                
				
                	
						PHL                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.4811","101,000","100,000","50,000","33,500","100,000","25,000"," 188			

				Readiness: 122*"," 0 (0.0%)
            	

                	Readiness: 0*"," 25 (13.3%)
            	

                	Readiness: 16*"," 108 (57.4%)
            	

                	Readiness: 70*"," 1 (0.5%)
            	

                	Readiness: 1*"," 0				

					Readiness: 0*"," 12				

					Readiness: 8*"," 299				

					Readiness: 194*"," 0				

					Readiness: 0*",0,0,2,1,0,50,0,"$871,560,000,000 USD","$4,280,000,000 USD"
"31                
             
			
				
                	
						Mexico                    
                
				
                	
						MEX                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.4687","250,000","65,000","100,000","12,000","200,000","75,200"," 468			

				Readiness: 304*"," 3 (0.6%)
            	

                	Readiness: 2*"," 33 (7.1%)
            	

                	Readiness: 21*"," 158 (33.8%)
            	

                	Readiness: 103*"," 0 (0.0%)
            	

                	Readiness: 0*"," 0				

					Readiness: 0*"," 10				

					Readiness: 7*"," 80				

					Readiness: 52*"," 0				

					Readiness: 0*",0,5,11,4,0,150,0,"$2,306,320,000,000 USD","$6,456,000,000 USD"
"30                
             
			
				
                	
						Greece                    
                
				
                	
						GRE                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.4621","130,000","220,500","35,000","42,500","175,000","30,000"," 635			

				Readiness: 413*"," 193 (30.4%)
            	

                	Readiness: 125*"," 0 (0.0%)
            	

                	Readiness: 0*"," 271 (42.7%)
            	

                	Readiness: 176*"," 29 (4.6%)
            	

                	Readiness: 19*"," 1,365				

					Readiness: 887*"," 590				

					Readiness: 384*"," 729				

					Readiness: 474*"," 152				

					Readiness: 99*",0,0,13,0,11,35,8,"$295,000,000,000 USD","$6,600,000,000 USD"
"29                
             
			
				
                	
						Singapore                    
                
				
                	
						SNG                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.4613","60,000","240,000","10,000","15,000","45,000","9,000"," 248			

				Readiness: 186*"," 100 (40.3%)
            	

                	Readiness: 75*"," 0 (0.0%)
            	

                	Readiness: 0*"," 83 (33.5%)
            	

                	Readiness: 62*"," 18 (7.3%)
            	

                	Readiness: 14*"," 170				

					Readiness: 136*"," 48				

					Readiness: 38*"," 89				

					Readiness: 71*"," 24				

					Readiness: 19*",0,0,6,6,5,15,4,"$531,040,000,000 USD","$13,000,000,000 USD"
"28                
             
			
				
                	
						Argentina                    
                
				
                	
						ARG                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.4243","83,000",0,"20,000","14,000","70,500","18,500"," 228			

				Readiness: 125*"," 24 (10.5%)
            	

                	Readiness: 13*"," 8 (3.5%)
            	

                	Readiness: 4*"," 87 (38.2%)
            	

                	Readiness: 48*"," 0 (0.0%)
            	

                	Readiness: 0*"," 414				

					Readiness: 228*"," 75				

					Readiness: 41*"," 172				

					Readiness: 95*"," 26				

					Readiness: 14*",0,4,0,9,2,13,0,"$900,000,000,000 USD","$3,064,800,000 USD"
"27                
             
			
				
                	
						Canada                    
                
				
                	
						CAN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3956","70,000","19,000","5,500","15,620","42,000","15,700"," 376			

				Readiness: 244*"," 63 (16.8%)
            	

                	Readiness: 41*"," 0 (0.0%)
            	

                	Readiness: 0*"," 120 (31.9%)
            	

                	Readiness: 78*"," 0 (0.0%)
            	

                	Readiness: 0*"," 82				

					Readiness: 53*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*"," 0				

					Readiness: 0*",0,0,12,0,4,12,0,"$1,742,790,000,000 USD","$36,300,000,000 USD"
"26                
             
			
				
                	
						Algeria                    
                
				
                	
						ALG                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3911","130,000","135,000","200,000","14,000","255,000","30,000"," 547			

				Readiness: 356*"," 90 (16.5%)
            	

                	Readiness: 59*"," 22 (4.0%)
            	

                	Readiness: 14*"," 273 (49.9%)
            	

                	Readiness: 177*"," 50 (9.1%)
            	

                	Readiness: 33*"," 1,700				

					Readiness: 1,105*"," 224				

					Readiness: 146*"," 483				

					Readiness: 314*"," 298				

					Readiness: 194*",0,0,5,6,6,25,0,"$470,000,000,000 USD","$9,979,200,000 USD"
"25                
             
			
				
                	
						Germany                    
                
				
                	
						GER                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3881","184,000","15,000",0,"30,000","65,000","16,500"," 601			

				Readiness: 451*"," 134 (22.3%)
            	

                	Readiness: 101*"," 75 (12.5%)
            	

                	Readiness: 56*"," 287 (47.8%)
            	

                	Readiness: 215*"," 55 (9.2%)
            	

                	Readiness: 41*"," 266				

					Readiness: 213*"," 121				

					Readiness: 97*"," 0				

					Readiness: 0*"," 38				

					Readiness: 30*",0,0,12,5,6,0,12,"$4,238,800,000,000 USD","$52,332,500,000 USD"
"24                
             
			
				
                	
						Thailand                    
                
				
                	
						THL                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3738","350,000","100,000","6,000","47,000","180,000","70,000"," 488			

				Readiness: 366*"," 73 (15.0%)
            	

                	Readiness: 55*"," 18 (3.7%)
            	

                	Readiness: 14*"," 182 (37.3%)
            	

                	Readiness: 137*"," 7 (1.4%)
            	

                	Readiness: 5*"," 587				

					Readiness: 440*"," 50				

					Readiness: 38*"," 256				

					Readiness: 192*"," 22				

					Readiness: 17*",0,0,7,6,0,49,5,"$1,200,000,000,000 USD","$5,860,000,000 USD"
"23                
             
			
				
                	
						Taiwan                    
                
				
                	
						TWN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3639","170,000","1,500,000","11,500","35,000","100,000","40,000"," 737			

				Readiness: 590*"," 285 (38.7%)
            	

                	Readiness: 228*"," 0 (0.0%)
            	

                	Readiness: 0*"," 207 (28.1%)
            	

                	Readiness: 166*"," 91 (12.3%)
            	

                	Readiness: 73*"," 1,012				

					Readiness: 860*"," 272				

					Readiness: 231*"," 1,760				

					Readiness: 1,496*"," 115				

					Readiness: 98*",0,4,22,2,4,43,14,"$1,145,277,000,000 USD","$18,310,000,000 USD"
"22                
             
			
				
                	
						Saudi Arabia                    
                
				
                	
						SAR                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3626","225,000",0,"125,000","20,000","75,000","13,500"," 897			

				Readiness: 628*"," 283 (31.5%)
            	

                	Readiness: 198*"," 81 (9.0%)
            	

                	Readiness: 57*"," 258 (28.8%)
            	

                	Readiness: 181*"," 34 (3.8%)
            	

                	Readiness: 24*"," 1,273				

					Readiness: 955*"," 333				

					Readiness: 250*"," 332				

					Readiness: 249*"," 186				

					Readiness: 140*",0,0,7,4,0,39,3,"$1,543,240,000,000 USD","$46,000,000,000 USD"
"21                
             
			
				
                	
						Spain                    
                
				
                	
						SPN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3556","120,000","15,000","80,000","23,000","76,000","21,000"," 517			

				Readiness: 414*"," 140 (27.1%)
            	

                	Readiness: 112*"," 12 (2.3%)
            	

                	Readiness: 10*"," 126 (24.4%)
            	

                	Readiness: 101*"," 23 (4.4%)
            	

                	Readiness: 18*"," 327				

					Readiness: 262*"," 96				

					Readiness: 77*"," 140				

					Readiness: 112*"," 0				

					Readiness: 0*",0,0,11,0,2,23,6,"$1,714,860,000,000 USD","$15,116,590,000 USD"
"20                
             
			
				
                	
						Poland                    
                
				
                	
						POL                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.3406","120,000",0,"32,500","37,000","65,000","12,500"," 459			

				Readiness: 321*"," 91 (19.8%)
            	

                	Readiness: 64*"," 0 (0.0%)
            	

                	Readiness: 0*"," 208 (45.3%)
            	

                	Readiness: 146*"," 30 (6.5%)
            	

                	Readiness: 21*"," 569				

					Readiness: 398*"," 490				

					Readiness: 343*"," 0				

					Readiness: 0*"," 205				

					Readiness: 144*",0,0,2,2,1,3,21,"$1,200,000,000,000 USD","$20,660,000,000 USD"
"19                
             
			
				
                	
						Vietnam                    
                
				
                	
						VET                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2855","470,000","2,500,000","40,000","35,000","150,000","50,000"," 223			

				Readiness: 145*"," 75 (33.6%)
            	

                	Readiness: 49*"," 0 (0.0%)
            	

                	Readiness: 0*"," 99 (44.4%)
            	

                	Readiness: 64*"," 0 (0.0%)
            	

                	Readiness: 0*"," 1,829				

					Readiness: 1,280*"," 1,349				

					Readiness: 944*"," 650				

					Readiness: 455*"," 550				

					Readiness: 385*",0,0,9,14,6,54,8,"$800,000,000,000 USD","$6,237,600,000 USD"
"18                
             
			
				
                	
						Israel                    
                
				
                	
						ISR                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2757","173,000","465,000","8,000","89,000","200,000","20,000"," 601			

				Readiness: 481*"," 241 (40.1%)
            	

                	Readiness: 193*"," 32 (5.3%)
            	

                	Readiness: 26*"," 126 (21.0%)
            	

                	Readiness: 101*"," 48 (8.0%)
            	

                	Readiness: 38*"," 2,200				

					Readiness: 1,760*"," 650				

					Readiness: 520*"," 300				

					Readiness: 240*"," 300				

					Readiness: 240*",0,0,0,7,5,45,0,"$355,000,000,000 USD","$24,300,000,000 USD"
"17                
             
			
				
                	
						Iran                    
                
				
                	
						IRN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2712","575,000","350,000","90,000","45,000","350,000","20,000"," 541			

				Readiness: 325*"," 196 (36.2%)
            	

                	Readiness: 118*"," 23 (4.3%)
            	

                	Readiness: 14*"," 126 (23.3%)
            	

                	Readiness: 76*"," 12 (2.2%)
            	

                	Readiness: 7*"," 4,071				

					Readiness: 2,646*"," 580				

					Readiness: 377*"," 2,050				

					Readiness: 1,333*"," 1,085				

					Readiness: 705*",0,0,7,3,19,21,1,"$1,044,310,000,000 USD","$5,550,000,000 USD"
"16                
             
			
				
                	
						Australia                    
                
				
                	
						AUS                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2567","60,500","30,000",0,"20,000","50,000","20,000"," 353			

				Readiness: 229*"," 24 (6.8%)
            	

                	Readiness: 16*"," 48 (13.6%)
            	

                	Readiness: 31*"," 108 (30.6%)
            	

                	Readiness: 70*"," 22 (6.2%)
            	

                	Readiness: 14*"," 59				

					Readiness: 38*"," 0				

					Readiness: 0*"," 48				

					Readiness: 31*"," 0				

					Readiness: 0*",0,3,8,0,6,12,4,"$1,250,900,000,000 USD","$52,162,000,000 USD"
"15                
             
			
				
                	
						Ukraine                    
                
				
                	
						UKR                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2516","200,000","250,000","50,000","35,000","200,000","15,000"," 312			

				Readiness: 187*"," 69 (22.1%)
            	

                	Readiness: 41*"," 28 (9.0%)
            	

                	Readiness: 17*"," 113 (36.2%)
            	

                	Readiness: 68*"," 33 (10.6%)
            	

                	Readiness: 20*"," 1,890				

					Readiness: 1,323*"," 953				

					Readiness: 667*"," 889				

					Readiness: 622*"," 647				

					Readiness: 453*",0,0,1,1,0,13,1,"$515,000,000,000 USD","$30,000,000,000 USD"
"14                
             
			
				
                	
						Egypt                    
                
				
                	
						EGY                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2224","440,000","480,000","300,000","50,000","685,000","32,500"," 1,069			

				Readiness: 695*"," 245 (22.9%)
            	

                	Readiness: 159*"," 88 (8.2%)
            	

                	Readiness: 57*"," 325 (30.4%)
            	

                	Readiness: 211*"," 92 (8.6%)
            	

                	Readiness: 60*"," 4,664				

					Readiness: 3,032*"," 1,489				

					Readiness: 968*"," 2,189				

					Readiness: 1,423*"," 1,575				

					Readiness: 1,024*",0,0,13,7,8,48,23,"$1,223,040,000,000 USD","$4,357,200,000 USD"
"13                
             
			
				
                	
						Indonesia                    
                
				
                	
						INO                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2221","400,000","400,000","280,000","40,000","300,000","75,000"," 466			

				Readiness: 303*"," 41 (8.8%)
            	

                	Readiness: 27*"," 37 (7.9%)
            	

                	Readiness: 24*"," 176 (37.8%)
            	

                	Readiness: 114*"," 15 (3.2%)
            	

                	Readiness: 10*"," 314				

					Readiness: 220*"," 153				

					Readiness: 107*"," 414				

					Readiness: 290*"," 63				

					Readiness: 44*",0,0,10,21,4,202,13,"$3,130,470,000,000 USD","$8,800,000,000 USD"
"12                
             
			
				
                	
						Brazil                    
                
				
                	
						BRA                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2151","360,000","1,340,000","400,000","81,000","235,000","80,500"," 665			

				Readiness: 432*"," 42 (6.3%)
            	

                	Readiness: 27*"," 76 (11.4%)
            	

                	Readiness: 49*"," 171 (25.7%)
            	

                	Readiness: 111*"," 0 (0.0%)
            	

                	Readiness: 0*"," 466				

					Readiness: 326*"," 136				

					Readiness: 95*"," 546				

					Readiness: 382*"," 78				

					Readiness: 55*",0,0,6,2,7,22,5,"$3,000,000,000,000 USD","$18,785,000,000 USD"
"11                
             
			
				
                	
						Turkiye                    
                
				
                	
						TKY                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.2016","425,000","200,000","150,000","50,000","200,000","45,000"," 1,065			

				Readiness: 852*"," 205 (19.2%)
            	

                	Readiness: 164*"," 0 (0.0%)
            	

                	Readiness: 0*"," 478 (44.9%)
            	

                	Readiness: 382*"," 110 (10.3%)
            	

                	Readiness: 88*"," 2,229				

					Readiness: 1,895*"," 1,038				

					Readiness: 882*"," 2,107				

					Readiness: 1,791*"," 516				

					Readiness: 439*",0,0,16,9,12,34,11,"$2,400,000,000,000 USD","$25,200,000,000 USD"
"10                
             
			
				
                	
						Italy                    
                
				
                	
						ITA                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1973","170,000","20,000","107,000","45,000","100,000","31,000"," 850			

				Readiness: 638*"," 92 (10.8%)
            	

                	Readiness: 69*"," 84 (9.9%)
            	

                	Readiness: 63*"," 404 (47.5%)
            	

                	Readiness: 303*"," 58 (6.8%)
            	

                	Readiness: 44*"," 197				

					Readiness: 148*"," 68				

					Readiness: 51*"," 108				

					Readiness: 81*"," 21				

					Readiness: 16*",2,4,13,0,8,18,10,"$2,322,140,000,000 USD","$37,000,000,000 USD"
"9                
             
			
				
                	
						France                    
                
				
                	
						FRA                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1848","205,000","35,000","175,000","40,500","142,000","44,000"," 1,004			

				Readiness: 753*"," 226 (22.5%)
            	

                	Readiness: 170*"," 0 (0.0%)
            	

                	Readiness: 0*"," 438 (43.6%)
            	

                	Readiness: 329*"," 69 (6.9%)
            	

                	Readiness: 52*"," 222				

					Readiness: 178*"," 90				

					Readiness: 72*"," 12				

					Readiness: 10*"," 13				

					Readiness: 10*",1,10,11,0,9,15,17,"$2,832,170,000,000 USD","$45,943,325,500 USD"
"8                
             
			
				
                	
						Japan                    
                
				
                	
						JPN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1711","240,000","55,000","14,000","50,000","150,000","51,000"," 1,451			

				Readiness: 1,161*"," 217 (15.0%)
            	

                	Readiness: 174*"," 27 (1.9%)
            	

                	Readiness: 22*"," 566 (39.0%)
            	

                	Readiness: 453*"," 119 (8.2%)
            	

                	Readiness: 95*"," 1,004				

					Readiness: 803*"," 238				

					Readiness: 190*"," 480				

					Readiness: 384*"," 99				

					Readiness: 79*",0,36,4,6,21,6,22,"$5,225,850,000,000 USD","$39,660,000,000 USD"
"7                
             
			
				
                	
						Pakistan                    
                
				
                	
						PAK                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1694","654,000","550,000","500,000","80,000","1,301,500","54,100"," 1,413			

				Readiness: 918*"," 363 (25.7%)
            	

                	Readiness: 236*"," 90 (6.4%)
            	

                	Readiness: 59*"," 322 (22.8%)
            	

                	Readiness: 209*"," 58 (4.1%)
            	

                	Readiness: 38*"," 3,742				

					Readiness: 2,432*"," 1,225				

					Readiness: 796*"," 3,345				

					Readiness: 2,174*"," 1,838				

					Readiness: 1,195*",0,2,6,2,9,48,3,"$1,021,130,000,000 USD","$7,500,000,000 USD"
"6                
             
			
				
                	
						South Korea                    
                
				
                	
						SKO                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1505","555,000","500,000","75,000","65,000","420,000","70,000"," 1,602			

				Readiness: 1,282*"," 402 (25.1%)
            	

                	Readiness: 322*"," 98 (6.1%)
            	

                	Readiness: 78*"," 739 (46.1%)
            	

                	Readiness: 591*"," 112 (7.0%)
            	

                	Readiness: 90*"," 2,331				

					Readiness: 1,865*"," 3,090				

					Readiness: 2,472*"," 5,676				

					Readiness: 4,541*"," 581				

					Readiness: 465*",0,13,18,7,22,35,14,"$2,187,800,000,000 USD","$42,100,000,000 USD"
"5                
             
			
				
                	
						United Kingdom                    
                
				
                	
						UKD                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1435","194,000","37,000",0,"40,000","114,100","46,200"," 663			

				Readiness: 530*"," 119 (17.9%)
            	

                	Readiness: 95*"," 26 (3.9%)
            	

                	Readiness: 21*"," 233 (35.1%)
            	

                	Readiness: 186*"," 33 (5.0%)
            	

                	Readiness: 26*"," 227				

					Readiness: 182*"," 89				

					Readiness: 71*"," 126				

					Readiness: 101*"," 29				

					Readiness: 23*",2,6,12,0,10,26,9,"$3,000,000,000,000 USD","$50,235,456,000 USD"
"4                
             
			
				
                	
						India                    
                
				
                	
						IND                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.1025","1,450,000","1,155,000","2,527,000","310,575","2,197,117","142,252"," 2,210			

				Readiness: 1,658*"," 577 (26.1%)
            	

                	Readiness: 433*"," 130 (5.9%)
            	

                	Readiness: 98*"," 807 (36.5%)
            	

                	Readiness: 605*"," 36 (1.6%)
            	

                	Readiness: 27*"," 4,614				

					Readiness: 3,461*"," 100				

					Readiness: 75*"," 3,311				

					Readiness: 2,483*"," 1,500				

					Readiness: 1,125*",2,11,12,19,18,138,0,"$8,443,360,000,000 USD","$54,200,000,000 USD"
"3                
             
			
				
                	
						China                    
                
				
                	
						CHN                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.0722","2,000,000","510,000","625,000","400,000","2,545,000","300,000"," 3,166			

				Readiness: 2,216*"," 1,199 (37.9%)
            	

                	Readiness: 839*"," 371 (11.7%)
            	

                	Readiness: 260*"," 913 (28.8%)
            	

                	Readiness: 639*"," 281 (8.9%)
            	

                	Readiness: 197*"," 4,950				

					Readiness: 3,713*"," 2,795				

					Readiness: 2,096*"," 1,434				

					Readiness: 1,076*"," 3,145				

					Readiness: 2,359*",2,50,43,72,78,150,36,"$23,009,780,000,000 USD","$230,000,000,000 USD"
"2                
             
			
				
                	
						Russia                    
                
				
                	
						RUS                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.0714","830,900","250,000","250,000","250,000","360,000","155,000"," 4,182			

				Readiness: 2,091*"," 773 (18.5%)
            	

                	Readiness: 387*"," 744 (17.8%)
            	

                	Readiness: 372*"," 1,531 (36.6%)
            	

                	Readiness: 766*"," 537 (12.8%)
            	

                	Readiness: 269*"," 12,566				

					Readiness: 8,168*"," 6,575				

					Readiness: 4,274*"," 4,336				

					Readiness: 2,818*"," 3,887				

					Readiness: 2,527*",1,15,11,86,70,59,49,"$3,900,000,000,000 USD","$82,600,000,000 USD"
"1                
             
			
				
                	
						United States                    
                
				
                	
						USA                    
                  
        	
            
            	                	
                            
    	   
    	
    		
            
            	PwrIndx: 0.0712","1,390,000","442,000",0,"660,107","1,010,500","731,600"," 13,300			

				Readiness: 9,975*"," 1,914 (14.4%)
            	

                	Readiness: 1,436*"," 843 (6.3%)
            	

                	Readiness: 632*"," 5,584 (42.0%)
            	

                	Readiness: 4,188*"," 983 (7.4%)
            	

                	Readiness: 737*"," 5,500				

					Readiness: 4,125*"," 1,000				

					Readiness: 750*"," 1,339				

					Readiness: 1,004*"," 1,716				

					Readiness: 1,287*",11,92,0,22,68,10,8,"$20,000,000,000,000 USD","$761,681,000,000 USD"
