Released Date,Movie,Worldwide,India Hindi Net,India Gross,Overseas,Budget,Verdict
21 Apr 2023,Kisi Ka Bhai Kisi Ki Jaan,184.6,110.94,132,52.6,100,Below Average
14 Apr 2023,Pinky Beauty Parlour,-,0.03,-,-,1,None
14 Apr 2023,Sir Madam Sarpanch,-,0.02,-,-,1,None
14 Apr 2023,Shaakuntalam,11,1.22,8.6,2.4,60,None
14 Apr 2023,Chhipkali,-,0.03,-,-,1,None
07 Apr 2023,"August 16, 1947",-,0.2,-,-,1,None
07 Apr 2023,The Super Mario Bros. Movie,4000,1.69,5.95,1950,1,None
07 Apr 2023,Gumraah,9.1,7.74,8.3,0.8,25,Flop
30 Mar 2023,Dasara,118.5,4.67,96.5,22,65,None
30 Mar 2023,Bholaa,123,90.31,108,15,100,Average
24 Mar 2023,John Wick: Chapter 4,3050,10.55,61,1635,900,Hit
24 Mar 2023,Bheed,2.1,2.26,2.1,0,1,None
17 Mar 2023,Shazam! Fury Of The Gods,1100,4.2,19.8,620,900,None
17 Mar 2023,Mrs Chatterjee Vs Norway,38.3,23.07,27.3,11,20,Above Average
17 Mar 2023,Zwigato,1.25,2.1,1.25,0,1,None
17 Mar 2023,Kabzaa,34.5,4.01,32.65,1.85,1,None
08 Mar 2023,Tu Jhoothi Main Makkar,223,147.28,175,48,70,Hit
24 Feb 2023,Selfiee,24.6,17.03,20.1,4.5,100,Disaster
17 Feb 2023,Shehzada,47.8,32.02,37.8,10,65,None
17 Feb 2023,Ant-Man and the Wasp: Quantumania,3890,13.82,55,2155,1500,Below Average
03 Feb 2023,Michael,10.3,0.22,8.7,1.6,1,None
26 Jan 2023,Gandhi Godse Ek Yudh,-,2.37,-,-,1,None
25 Jan 2023,Pathaan,1055,524.53,657.5,397.5,250,All Time Blockbuster
20 Jan 2023,Akhanda (Hindi),-,0.4,-,-,1,None
13 Jan 2023,Kuttey,8.47,5.91,6.97,1.5,50,None
13 Jan 2023,Waltair Veerayya,219,1.38,190,29,140,None
11 Jan 2023,Varisu,297.55,7.92,208.55,89,200,None
