Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors
Q1 2024,Gombe,88,349,44,88,46,0,0,0,42
Q1 2024,Imo,34,134,36,28,25,0,0,0,3
Q1 2024,Jigawa,95,308,41,155,104,0,0,1,50
Q1 2024,Kaduna,180,828,171,181,96,1,0,6,78
Q1 2024,Kano,54,236,30,66,44,0,0,0,22
Q1 2024,Katsina,35,133,38,50,33,0,0,0,17
Q1 2024,Kebbi,33,250,41,34,29,0,0,0,5
Q1 2024,Kogi,121,500,83,193,126,1,0,1,65
Q1 2024,Kwara,74,300,70,109,63,0,0,0,46
Q1 2024,Lagos,113,165,18,111,71,1,0,0,39
Q1 2024,Nasarawa,169,438,41,242,167,2,1,0,72
Q1 2024,Niger,127,433,119,182,140,0,2,3,37
Q1 2024,Ogun,200,542,98,365,261,0,0,0,104
Q1 2024,Ondo,84,245,35,146,80,0,0,1,65
Q1 2024,Osun,100,376,96,123,71,0,0,1,51
Q1 2024,Oyo,131,298,68,122,84,0,0,2,36
Q1 2024,Plateau,77,185,15,98,48,1,0,0,49
Q1 2024,Rivers,15,32,4,21,17,0,0,0,4
Q1 2024,Sokoto,24,122,41,52,41,0,0,0,11
Q1 2024,Taraba,38,98,17,38,17,0,0,0,21
Q1 2024,Yobe,39,234,13,55,38,0,0,0,17
Q1 2024,Zamfara,13,61,14,16,14,0,0,0,2
