title,published_at,duration,view_count
You Need To Calm Down Behind The Scenes: Friends & Neighbors,2019-07-18T15:50:29Z,PT3M2S,2055468
You Need To Calm Down Behind The Scenes: Morning Routine,2019-07-09T13:42:45Z,PT3M1S,3195185
You Need To Calm Down Behind The Scenes: Pop Queen Pageant,2019-06-20T15:00:01Z,PT2M55S,3109991
Taylor Swift - ME! (Live on The Graham Norton Show),2019-05-24T22:40:37Z,PT3M23S,4378867
ME! Behind The Scenes: Je Suis Calme,2019-05-01T19:25:22Z,PT3M17S,4975469
ME! Behind The Scenes: The Story of Benjamin Button,2019-04-30T10:11:11Z,PT3M9S,6316538
Taylor Swift reputation Stadium Tour | Official Trailer | Netflix,2018-12-13T13:08:05Z,PT1M23S,5451067
Taylor Swift and Robbie Williams - Angels - reputation Stadium Tour,2018-06-24T23:44:04Z,PT1M36S,1801332
Taylor Swift reputation Stadium Tour - Official Merch,2018-05-01T23:26:41Z,PT31S,511816
Taylor Swift reputation Stadium Tour // Trailer 2,2018-04-05T21:06:54Z,PT31S,425715
Delicate Music Video Dance Rehearsal Part 2,2018-03-13T21:35:45Z,PT58S,2296959
Delicate Music Video Dance Rehearsal Part 1,2018-03-13T21:28:05Z,PT1M1S,8517206
End Game - Behind The Scenes,2018-02-09T16:01:53Z,PT5M2S,2231271
Taylor Swift's reputation Stadium Tour - Trailer,2017-12-13T15:00:00Z,PT31S,548300
Taylor Swift - …Ready for It? (BloodPop® Remix) (Audio),2017-12-06T20:03:12Z,PT3M10S,3673149
The Making of a Song: “Delicate” – watch more on Taylor Swift NOW,2017-11-15T03:43:47Z,PT3M53S,4721001
The reputation Secret Sessions,2017-11-07T13:30:04Z,PT2M46S,3130606
...Ready For It? Trailer,2017-10-23T14:17:17Z,PT16S,3721897
Look What You Made Me Do - Looks,2017-10-17T21:32:17Z,PT2M46S,1953398
Look What You Made Me Do - Stream Co.,2017-09-27T14:51:30Z,PT1M37S,847988
Look What You Made Me Do - The Birdcage,2017-09-21T14:56:22Z,PT5M28S,792302
Look What You Made Me Do - Zombie Transformation,2017-09-21T13:16:00Z,PT5M31S,7023512
Look What You Made Me Do: Taylor Mountain,2017-09-20T20:03:01Z,PT7M4S,7907869
Taylor Swift - ...Ready For It? (Audio),2017-09-03T12:07:45Z,PT3M29S,61300391
"Official ""Look What You Made Me Do"" Video Teaser Clip",2017-08-25T12:34:35Z,PT21S,4815267
"Rehearsing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" for DIRECTV NOW Super Saturday Night",2017-02-02T15:13:11Z,PT1M22S,1150167
"First time hearing ""I Don't Wanna Live Forever (Fifty Shades Darker)"" on the radio",2017-02-01T20:03:05Z,PT49S,2867911
"Taylor performs ""Blank Space"" at The GRAMMY Museum",2016-01-07T21:03:14Z,PT5M57S,21862893
"Taylor Performs ""Wildest Dreams"" at The GRAMMY Museum",2016-01-05T02:34:16Z,PT4M6S,21990433
#STYLEmemories One,2015-02-19T03:15:26Z,PT15S,250737
#STYLEmemories Two,2015-02-19T03:15:08Z,PT15S,241843
Taylor Swift's Gift Giving of 2014 | SWIFTMAS,2014-12-31T18:14:42Z,PT6M12S,20007999
"Behind The Fragrance, Taylor Swift Incredible Things featuring Taylor Swift (Behind The Scenes)",2014-12-15T17:13:20Z,PT1M24S,494233
Taylor Swift's The 1989 World Tour,2014-11-03T13:39:39Z,PT15S,717019
"Preview ""Welcome To New York"" by Taylor Swift",2014-10-20T11:51:39Z,PT31S,2127550
"Taylor Swift talks about ""Welcome to New York""",2014-10-20T11:51:21Z,PT58S,629315
"1989 Secret Sessions, Behind The Scenes!",2014-10-16T23:09:25Z,PT4M34S,3618922
"Taylor Swift Talks About ""Out Of The Woods""",2014-10-13T12:20:13Z,PT1M12S,1387270
Taylor Swift Ice Bucket Challenge with Jamie King,2014-10-06T20:08:47Z,PT55S,395573
Taylor Swift's Worldwide Live Stream on Yahoo - Highlights,2014-08-19T06:54:29Z,PT3M31S,419744
Surprising Gena,2014-04-16T22:44:24Z,PT4M31S,3483001
Taylor Swift RED Tour Asia announcement,2014-02-13T05:46:11Z,PT42S,267076
Taylor Swift Fragrances Made Of Starlight Musical Edition,2013-12-05T21:24:59Z,PT31S,476031
Taylor Swift RED Tour Nashville Week,2013-10-08T22:41:00Z,PT8M48S,949683
Taylor Swift RED Tour London announcement,2013-09-30T06:05:16Z,PT50S,205747
Taylor Swift and Jennifer Lopez: Jenny from the Block,2013-09-12T21:34:41Z,PT5M56S,12863914
Behind the scenes of Taylor Swift's week at Staples Center,2013-09-06T16:35:47Z,PT7M6S,805318
Taylor Swift on Style: Outtakes,2013-08-16T15:57:47Z,PT1M34S,183375
Taylor Swift on Style: Part 4,2013-08-14T17:23:18Z,PT1M50S,107444
Taylor Swift on Style: Part 3,2013-08-12T15:13:58Z,PT1M32S,123368
"Q&A with Taylor on Taylor By Taylor Swift, the fragrance",2013-08-01T22:14:56Z,PT37S,243796
#HiFromTaylor Teaser,2013-07-30T14:37:58Z,PT9S,150762
Taylor Swift and Carly Simon: You're So Vain,2013-07-29T15:59:25Z,PT2M29S,1259590
Welcome to the Official Taylor Swift YouTube Channel!,2013-07-25T14:58:57Z,PT59S,102144
Taylor by Taylor Swift Fragrance Video Part 1,2013-07-01T11:07:59Z,PT31S,647426
Taylor By Taylor Swift commercial: sneak peek,2013-06-13T18:02:25Z,PT20S,341057
Britain's Got Talent performance: Everything Has Changed,2013-06-12T16:20:01Z,PT6M11S,2607546
Taylor Swift - Billboard Milestone Award,2013-05-15T17:01:30Z,PT47S,107078
The RED Tour Australia/New Zealand Announcement!,2013-05-08T13:58:36Z,PT50S,232487
Vote Taylor Swift ACM Entertainer of the Year: VoteACM.com,2013-04-06T00:39:56Z,PT56S,126186
"""Red"" Guitar Solo from RED Tour Opening Night",2013-03-15T21:28:24Z,PT32S,381712
"""Holy Ground"" Live on the RED Tour!",2013-03-15T21:22:06Z,PT45S,346652
"""Sparks Fly"" (acoustic) Live on the RED Tour!",2013-03-15T21:08:37Z,PT49S,707459
What Fans Can Expect on the RED Tour,2013-03-15T20:51:38Z,PT42S,167711
"""I Knew You Were Trouble."" Behind-The-Scenes #1",2013-02-05T21:50:27Z,PT2M42S,927549
"""I Knew You Were Trouble."" Behind-The-Scenes #3",2013-02-05T21:31:21Z,PT3M37S,410237
"""I Knew You Were Trouble."" Behind-The-Scenes #2",2013-02-05T21:30:26Z,PT3M54S,424018
Some extraordinary news...,2013-01-27T20:59:07Z,PT45S,1167225
Taylor Swift - Acoustic Performances from RED Album,2012-12-17T17:18:21Z,PT15M27S,9655330
VH1 StoryTellers - Taylor Swift - Nov 11 @ 11/10c,2012-11-07T17:26:22Z,PT16S,197071
"""Starlight"" Song Preview from RED - Now Available",2012-11-02T14:48:28Z,PT1M28S,182033
"""Everything Has Changed"" Song Preview from RED - Now Available",2012-11-01T20:36:58Z,PT1M33S,186019
"""The Lucky One"" Song Preview from RED - Now Available",2012-10-31T18:41:09Z,PT1M12S,209917
"""Sad Beautiful Tragic"" Song Preview from RED - Now Available",2012-10-30T16:54:49Z,PT1M42S,200111
"""Holy Ground"" Song Preview from RED - Now Available",2012-10-29T19:21:18Z,PT1M48S,121236
Taylor Swift's RED Tour Announcement!,2012-10-27T01:56:56Z,PT1M3S,514105
"""The Last Time"" Song Preview from RED - Now Available",2012-10-26T19:48:19Z,PT1M32S,76034
"""Stay Stay Stay"" Song Preview from RED - Now Available",2012-10-26T19:48:41Z,PT1M17S,105792
"""I Almost Do"" Song Preview from RED - Now Available",2012-10-26T15:31:35Z,PT1M7S,202041
"""22"" Song Preview from RED - Now Available",2012-10-25T16:33:57Z,PT1M7S,194283
