index,Month and Year,State,Civilian Population,Total Labor Force,Percent of Population,Employed - Total,Employed - Percent of Population,Unemployed - Total,Unemployed - Percent of Labor Force
0,January 1976,Alabama,2605000,1492409,57.3,1392154,53.4,100255,6.7
1,January 1976,Alaska,232000,159154,68.6,147809,63.7,11345,7.1
2,January 1976,Arizona,1621000,972413,60.0,872738,53.8,99675,10.3
3,January 1976,Arkansas,1536000,882835,57.5,817756,53.2,65079,7.4
4,January 1976,California,15621000,9781720,62.6,8892663,56.9,889057,9.1
5,January 1976,Colorado,1832000,1232334,67.3,1164563,63.6,67771,5.5
6,January 1976,Connecticut,2248000,1443606,64.2,1302422,57.9,141184,9.8
7,January 1976,Delaware,417000,262688,63.0,242382,58.1,20306,7.7
8,January 1976,District of Columbia,520000,339378,65.3,308820,59.4,30558,9.0
9,January 1976,Florida,6421000,3592149,55.9,3248523,50.6,343626,9.6
10,January 1976,Georgia,3522000,2250451,63.9,2061744,58.5,188707,8.4
11,January 1976,Hawaii,583000,408869,70.1,367414,63.0,41455,10.1
12,January 1976,Idaho,580000,366173,63.1,346216,59.7,19957,5.5
13,January 1976,Illinois,8127000,5133491,63.2,4788469,58.9,345022,6.7
14,January 1976,Indiana,3789000,2418961,63.8,2260951,59.7,158010,6.5
15,January 1976,Iowa,2066000,1324627,64.1,1269103,61.4,55524,4.2
16,January 1976,Kansas,1635000,1061055,64.9,1015585,62.1,45470,4.3
17,January 1976,Kentucky,2459000,1489641,60.6,1406646,57.2,82995,5.6
18,January 1976,Louisiana,2672000,1513827,56.7,1417816,53.1,96011,6.3
19,January 1976,Maine,764000,475639,62.3,433990,56.8,41649,8.8
20,January 1976,Maryland,2954000,1905561,64.5,1781850,60.3,123711,6.5
21,January 1976,Massachusetts,4194000,2715161,64.7,2435124,58.1,280037,10.3
22,January 1976,Michigan,6417000,3959251,61.7,3568988,55.6,390263,9.9
23,January 1976,Minnesota,2788000,1832797,65.7,1722777,61.8,110020,6.0
24,January 1976,Mississippi,1640000,961115,58.6,896774,54.7,64341,6.7
25,January 1976,Missouri,3464000,2088814,60.3,1963951,56.7,124863,6.0
26,January 1976,Montana,531000,327276,61.6,308066,58.0,19210,5.9
27,January 1976,Nebraska,1095000,715752,65.4,692137,63.2,23615,3.3
28,January 1976,Nevada,451000,322417,71.5,293574,65.1,28843,8.9
29,January 1976,New Hampshire,593000,391585,66.0,364963,61.5,26622,6.8
30,January 1976,New Jersey,5358000,3281099,61.2,2944762,55.0,336337,10.3
31,January 1976,New Mexico,792000,475004,60.0,432875,54.7,42129,8.9
32,January 1976,New York,13196000,7687165,58.3,6896554,52.3,790611,10.3
33,January 1976,North Carolina,3898000,2596329,66.6,2428430,62.3,167899,6.5
34,January 1976,North Dakota,442000,275609,62.4,266394,60.3,9215,3.3
35,January 1976,Ohio,7701000,4756109,61.8,4371860,56.8,384249,8.1
36,January 1976,Oklahoma,1999000,1180825,59.1,1110620,55.6,70205,5.9
37,January 1976,Oregon,1716000,1074151,62.6,969974,56.5,104177,9.7
38,January 1976,Pennsylvania,8774000,5105548,58.2,4693332,53.5,412216,8.1
39,January 1976,Rhode Island,691000,434960,62.9,399599,57.8,35361,8.1
40,January 1976,South Carolina,1984000,1292816,65.2,1195062,60.2,97754,7.6
41,January 1976,South Dakota,477000,308735,64.7,298900,62.7,9835,3.2
42,January 1976,Tennessee,3078000,1819844,59.1,1710143,55.6,109701,6.0
43,January 1976,Texas,8818000,5627987,63.8,5298778,60.1,329209,5.8
44,January 1976,Utah,824000,519498,63.0,489265,59.4,30233,5.8
45,January 1976,Vermont,339000,213667,63.0,195099,57.6,18568,8.7
46,January 1976,Virginia,3534000,2328545,65.9,2190847,62.0,137698,5.9
47,January 1976,Washington,2598000,1584688,61.0,1446319,55.7,138369,8.7
48,January 1976,West Virginia,1352000,702600,52.0,647491,47.9,55109,7.8
49,January 1976,Wisconsin,3245000,2125315,65.5,2003102,61.7,122213,5.8
50,January 1976,Wyoming,270000,175876,65.1,168592,62.4,7284,4.1
51,February 1976,Alabama,2610000,1491820,57.2,1391975,53.3,99845,6.7
52,February 1976,Alaska,234000,158961,67.9,147666,63.1,11295,7.1
53,February 1976,Arizona,1626000,971753,59.8,871997,53.6,99756,10.3
54,February 1976,Arkansas,1538000,882316,57.4,817132,53.1,65184,7.4
55,February 1976,California,15657000,9775948,62.4,8888464,56.8,887484,9.1
56,February 1976,Colorado,1837000,1232109,67.1,1164631,63.4,67478,5.5
57,February 1976,Connecticut,2251000,1442758,64.1,1301572,57.8,141186,9.8
58,February 1976,Delaware,418000,262592,62.8,242420,58.0,20172,7.7
59,February 1976,District of Columbia,519000,339539,65.4,308976,59.5,30563,9.0
60,February 1976,Florida,6437000,3591389,55.8,3247280,50.4,344109,9.6
61,February 1976,Georgia,3528000,2249410,63.8,2060612,58.4,188798,8.4
62,February 1976,Hawaii,585000,408905,69.9,367268,62.8,41637,10.2
63,February 1976,Idaho,582000,365886,62.9,345965,59.4,19921,5.4
64,February 1976,Illinois,8136000,5132066,63.1,4787725,58.8,344341,6.7
65,February 1976,Indiana,3793000,2418034,63.7,2259666,59.6,158368,6.5
66,February 1976,Iowa,2069000,1324134,64.0,1268472,61.3,55662,4.2
67,February 1976,Kansas,1637000,1060584,64.8,1015127,62.0,45457,4.3
68,February 1976,Kentucky,2465000,1489199,60.4,1406247,57.0,82952,5.6
69,February 1976,Louisiana,2678000,1513026,56.5,1417468,52.9,95558,6.3
70,February 1976,Maine,766000,475595,62.1,433930,56.6,41665,8.8
71,February 1976,Maryland,2958000,1904839,64.4,1781465,60.2,123374,6.5
72,February 1976,Massachusetts,4198000,2714974,64.7,2434220,58.0,280754,10.3
73,February 1976,Michigan,6424000,3957748,61.6,3566516,55.5,391232,9.9
74,February 1976,Minnesota,2793000,1832001,65.6,1722014,61.7,109987,6.0
75,February 1976,Mississippi,1644000,960686,58.4,896491,54.5,64195,6.7
76,February 1976,Missouri,3469000,2087305,60.2,1962686,56.6,124619,6.0
77,February 1976,Montana,532000,327202,61.5,308039,57.9,19163,5.9
78,February 1976,Nebraska,1096000,715577,65.3,691996,63.1,23581,3.3
79,February 1976,Nevada,454000,322146,71.0,293280,64.6,28866,9.0
80,February 1976,New Hampshire,595000,391323,65.8,364669,61.3,26654,6.8
81,February 1976,New Jersey,5363000,3280097,61.2,2944167,54.9,335930,10.2
82,February 1976,New Mexico,795000,474831,59.7,432640,54.4,42191,8.9
83,February 1976,New York,13202000,7684752,58.2,6895390,52.2,789362,10.3
84,February 1976,North Carolina,3905000,2595355,66.5,2427272,62.2,168083,6.5
85,February 1976,North Dakota,443000,275468,62.2,266304,60.1,9164,3.3
86,February 1976,Ohio,7706000,4756607,61.7,4371539,56.7,385068,8.1
87,February 1976,Oklahoma,2003000,1180479,58.9,1110306,55.4,70173,5.9
88,February 1976,Oregon,1720000,1073446,62.4,969351,56.4,104095,9.7
89,February 1976,Pennsylvania,8780000,5104850,58.1,4691940,53.4,412910,8.1
90,February 1976,Rhode Island,692000,434907,62.8,399553,57.7,35354,8.1
91,February 1976,South Carolina,1988000,1292440,65.0,1194788,60.1,97652,7.6
92,February 1976,South Dakota,478000,308727,64.6,298906,62.5,9821,3.2
93,February 1976,Tennessee,3084000,1818088,59.0,1708651,55.4,109437,6.0
94,February 1976,Texas,8844000,5624823,63.6,5295497,59.9,329326,5.9
95,February 1976,Utah,826000,519124,62.8,488892,59.2,30232,5.8
96,February 1976,Vermont,340000,213554,62.8,194960,57.3,18594,8.7
97,February 1976,Virginia,3543000,2327900,65.7,2190461,61.8,137439,5.9
98,February 1976,Washington,2604000,1583350,60.8,1445338,55.5,138012,8.7
99,February 1976,West Virginia,1355000,702802,51.9,647556,47.8,55246,7.9
100,February 1976,Wisconsin,3248000,2124456,65.4,2002200,61.6,122256,5.8
101,February 1976,Wyoming,271000,175705,64.8,168416,62.1,7289,4.1
102,March 1976,Alabama,2615000,1490600,57.0,1392137,53.2,98463,6.6
103,March 1976,Alaska,236000,159067,67.4,147858,62.7,11209,7.0
104,March 1976,Arizona,1631000,971967,59.6,872637,53.5,99330,10.2
105,March 1976,Arkansas,1539000,881865,57.3,816687,53.1,65178,7.4
106,March 1976,California,15694000,9775283,62.3,8892402,56.7,882881,9.0
107,March 1976,Colorado,1841000,1231539,66.9,1164628,63.3,66911,5.4
108,March 1976,Connecticut,2253000,1442821,64.0,1301890,57.8,140931,9.8
109,March 1976,Delaware,418000,262596,62.8,242340,58.0,20256,7.7
110,March 1976,District of Columbia,519000,339517,65.4,309128,59.6,30389,9.0
111,March 1976,Florida,6452000,3591633,55.7,3249159,50.4,342474,9.5
112,March 1976,Georgia,3534000,2249490,63.7,2061445,58.3,188045,8.4
113,March 1976,Hawaii,586000,409265,69.8,367467,62.7,41798,10.2
114,March 1976,Idaho,583000,366000,62.8,346021,59.4,19979,5.5
115,March 1976,Illinois,8146000,5131818,63.0,4789790,58.8,342028,6.7
116,March 1976,Indiana,3797000,2418009,63.7,2260937,59.5,157072,6.5
117,March 1976,Iowa,2072000,1324428,63.9,1268901,61.2,55527,4.2
118,March 1976,Kansas,1640000,1060837,64.7,1015396,61.9,45441,4.3
119,March 1976,Kentucky,2470000,1488878,60.3,1406193,56.9,82685,5.6
120,March 1976,Louisiana,2685000,1513093,56.4,1417499,52.8,95594,6.3
121,March 1976,Maine,767000,475697,62.0,434134,56.6,41563,8.7
122,March 1976,Maryland,2962000,1904177,64.3,1781135,60.1,123042,6.5
123,March 1976,Massachusetts,4201000,2715650,64.6,2435324,58.0,280326,10.3
124,March 1976,Michigan,6430000,3959594,61.6,3567979,55.5,391615,9.9
125,March 1976,Minnesota,2797000,1831869,65.5,1722985,61.6,108884,5.9
126,March 1976,Mississippi,1647000,960931,58.3,897614,54.5,63317,6.6
127,March 1976,Missouri,3473000,2087996,60.1,1963435,56.5,124561,6.0
128,March 1976,Montana,533000,327131,61.4,308017,57.8,19114,5.8
129,March 1976,Nebraska,1097000,715419,65.2,692073,63.1,23346,3.3
130,March 1976,Nevada,456000,322327,70.7,293456,64.4,28871,9.0
131,March 1976,New Hampshire,596000,391413,65.7,364765,61.2,26648,6.8
132,March 1976,New Jersey,5367000,3282199,61.2,2945972,54.9,336227,10.2
133,March 1976,New Mexico,798000,475109,59.5,432733,54.2,42376,8.9
134,March 1976,New York,13207000,7684481,58.2,6897998,52.2,786483,10.2
135,March 1976,North Carolina,3912000,2595712,66.4,2428876,62.1,166836,6.4
136,March 1976,North Dakota,444000,275531,62.1,266363,60.0,9168,3.3
137,March 1976,Ohio,7711000,4757822,61.7,4372663,56.7,385159,8.1
138,March 1976,Oklahoma,2007000,1180456,58.8,1110496,55.3,69960,5.9
139,March 1976,Oregon,1724000,1072689,62.2,969546,56.2,103143,9.6
140,March 1976,Pennsylvania,8786000,5106719,58.1,4691831,53.4,414888,8.1
141,March 1976,Rhode Island,693000,435032,62.8,399726,57.7,35306,8.1
142,March 1976,South Carolina,1992000,1291686,64.8,1195034,60.0,96652,7.5
143,March 1976,South Dakota,478000,308704,64.6,299010,62.6,9694,3.1
144,March 1976,Tennessee,3091000,1818191,58.8,1709613,55.3,108578,6.0
145,March 1976,Texas,8870000,5629458,63.5,5299209,59.7,330249,5.9
146,March 1976,Utah,828000,519114,62.7,489008,59.1,30106,5.8
147,March 1976,Vermont,341000,213610,62.6,194978,57.2,18632,8.7
148,March 1976,Virginia,3551000,2328207,65.6,2191511,61.7,136696,5.9
149,March 1976,Washington,2611000,1582676,60.6,1445169,55.3,137507,8.7
150,March 1976,West Virginia,1358000,702963,51.8,647481,47.7,55482,7.9
151,March 1976,Wisconsin,3252000,2124610,65.3,2002973,61.6,121637,5.7
152,March 1976,Wyoming,272000,175782,64.6,168487,61.9,7295,4.2
153,April 1976,Alabama,2620000,1489947,56.9,1393177,53.2,96770,6.5
154,April 1976,Alaska,237000,160192,67.6,148970,62.9,11222,7.0
155,April 1976,Arizona,1636000,974938,59.6,877217,53.6,97721,10.0
156,April 1976,Arkansas,1541000,882692,57.3,818130,53.1,64562,7.3
157,April 1976,California,15731000,9795836,62.3,8918330,56.7,877506,9.0
158,April 1976,Colorado,1846000,1231011,66.7,1164119,63.1,66892,5.4
159,April 1976,Connecticut,2255000,1446187,64.1,1306078,57.9,140109,9.7
160,April 1976,Delaware,419000,262989,62.8,241923,57.7,21066,8.0
161,April 1976,District of Columbia,518000,338609,65.4,308673,59.6,29936,8.8
162,April 1976,Florida,6468000,3594014,55.6,3258015,50.4,335999,9.3
163,April 1976,Georgia,3540000,2253611,63.7,2067967,58.4,185644,8.2
164,April 1976,Hawaii,588000,409939,69.7,368550,62.7,41389,10.1
165,April 1976,Idaho,585000,367439,62.8,347164,59.3,20275,5.5
166,April 1976,Illinois,8155000,5135150,63.0,4796640,58.8,338510,6.6
167,April 1976,Indiana,3801000,2421035,63.7,2269249,59.7,151786,6.3
168,April 1976,Iowa,2075000,1327210,64.0,1272547,61.3,54663,4.1
169,April 1976,Kansas,1642000,1063168,64.7,1017765,62.0,45403,4.3
170,April 1976,Kentucky,2475000,1489497,60.2,1407354,56.9,82143,5.5
171,April 1976,Louisiana,2692000,1516323,56.3,1418904,52.7,97419,6.4
172,April 1976,Maine,769000,476036,61.9,434823,56.5,41213,8.7
173,April 1976,Maryland,2966000,1905507,64.2,1781610,60.1,123897,6.5
174,April 1976,Massachusetts,4204000,2717527,64.6,2441683,58.1,275844,10.2
175,April 1976,Michigan,6436000,3969449,61.7,3580904,55.6,388545,9.8
176,April 1976,Minnesota,2802000,1834864,65.5,1728543,61.7,106321,5.8
177,April 1976,Mississippi,1650000,963165,58.4,901513,54.6,61652,6.4
178,April 1976,Missouri,3477000,2095946,60.3,1970155,56.7,125791,6.0
179,April 1976,Montana,534000,327166,61.3,308014,57.7,19152,5.9
180,April 1976,Nebraska,1098000,715705,65.2,692831,63.1,22874,3.2
181,April 1976,Nevada,458000,323929,70.7,295160,64.4,28769,8.9
182,April 1976,New Hampshire,598000,392657,65.7,366173,61.2,26484,6.7
183,April 1976,New Jersey,5372000,3290889,61.3,2952460,55.0,338429,10.3
184,April 1976,New Mexico,801000,476571,59.5,433984,54.2,42587,8.9
185,April 1976,New York,13213000,7689935,58.2,6906874,52.3,783061,10.2
186,April 1976,North Carolina,3919000,2599283,66.3,2436634,62.2,162649,6.3
187,April 1976,North Dakota,444000,276266,62.2,266864,60.1,9402,3.4
188,April 1976,Ohio,7716000,4757433,61.7,4376405,56.7,381028,8.0
189,April 1976,Oklahoma,2011000,1181507,58.8,1112144,55.3,69363,5.9
190,April 1976,Oregon,1728000,1073735,62.1,972719,56.3,101016,9.4
191,April 1976,Pennsylvania,8792000,5112956,58.2,4696196,53.4,416760,8.2
192,April 1976,Rhode Island,693000,435469,62.8,400273,57.8,35196,8.1
193,April 1976,South Carolina,1996000,1291005,64.7,1196768,60.0,94237,7.3
194,April 1976,South Dakota,479000,308718,64.5,299231,62.5,9487,3.1
195,April 1976,Tennessee,3097000,1825620,58.9,1718077,55.5,107543,5.9
196,April 1976,Texas,8896000,5653373,63.5,5321425,59.8,331948,5.9
197,April 1976,Utah,830000,520609,62.7,490860,59.1,29749,5.7
198,April 1976,Vermont,341000,214211,62.8,195593,57.4,18618,8.7
199,April 1976,Virginia,3559000,2330919,65.5,2195231,61.7,135688,5.8
200,April 1976,Washington,2617000,1586708,60.6,1448989,55.4,137719,8.7
201,April 1976,West Virginia,1360000,702202,51.6,646833,47.6,55369,7.9
202,April 1976,Wisconsin,3256000,2128063,65.4,2008413,61.7,119650,5.6
203,April 1976,Wyoming,273000,176667,64.7,169387,62.0,7280,4.1
204,May 1976,Alabama,2626000,1490609,56.8,1394591,53.1,96018,6.4
205,May 1976,Alaska,239000,161814,67.7,150449,62.9,11365,7.0
206,May 1976,Arizona,1642000,979281,59.6,883408,53.8,95873,9.8
207,May 1976,Arkansas,1542000,884656,57.4,821026,53.2,63630,7.2
208,May 1976,California,15768000,9828900,62.3,8953226,56.8,875674,8.9
209,May 1976,Colorado,1850000,1231050,66.5,1163412,62.9,67638,5.5
210,May 1976,Connecticut,2257000,1451468,64.3,1312227,58.1,139241,9.6
211,May 1976,Delaware,420000,263585,62.8,241399,57.5,22186,8.4
212,May 1976,District of Columbia,518000,337253,65.1,307776,59.4,29477,8.7
213,May 1976,Florida,6483000,3597871,55.5,3269479,50.4,328392,9.1
214,May 1976,Georgia,3547000,2259949,63.7,2077016,58.6,182933,8.1
215,May 1976,Hawaii,590000,410495,69.6,369908,62.7,40587,9.9
216,May 1976,Idaho,587000,369500,62.9,348876,59.4,20624,5.6
217,May 1976,Illinois,8164000,5141327,63.0,4804591,58.9,336736,6.5
218,May 1976,Indiana,3806000,2426290,63.7,2280665,59.9,145625,6.0
219,May 1976,Iowa,2078000,1331126,64.1,1277629,61.5,53497,4.0
220,May 1976,Kansas,1644000,1066459,64.9,1021136,62.1,45323,4.2
221,May 1976,Kentucky,2480000,1490936,60.1,1409389,56.8,81547,5.5
222,May 1976,Louisiana,2699000,1521492,56.4,1421200,52.7,100292,6.6
223,May 1976,Maine,771000,476408,61.8,435607,56.5,40801,8.6
224,May 1976,Maryland,2971000,1908475,64.2,1783003,60.0,125472,6.6
225,May 1976,Massachusetts,4207000,2719627,64.6,2450016,58.2,269611,9.9
226,May 1976,Michigan,6442000,3982406,61.8,3599367,55.9,383039,9.6
227,May 1976,Minnesota,2806000,1839691,65.6,1735701,61.9,103990,5.7
228,May 1976,Mississippi,1653000,966295,58.5,905971,54.8,60324,6.2
229,May 1976,Missouri,3481000,2107426,60.5,1979762,56.9,127664,6.1
230,May 1976,Montana,535000,327296,61.2,308035,57.6,19261,5.9
231,May 1976,Nebraska,1100000,716356,65.1,693887,63.1,22469,3.1
232,May 1976,Nevada,460000,326152,70.9,297525,64.7,28627,8.8
233,May 1976,New Hampshire,599000,394491,65.9,368258,61.5,26233,6.6
234,May 1976,New Jersey,5376000,3301261,61.4,2960089,55.1,341172,10.3
235,May 1976,New Mexico,804000,478400,59.5,435737,54.2,42663,8.9
236,May 1976,New York,13219000,7699911,58.2,6917563,52.3,782348,10.2
237,May 1976,North Carolina,3926000,2604867,66.3,2446767,62.3,158100,6.1
238,May 1976,North Dakota,445000,277312,62.3,267566,60.1,9746,3.5
239,May 1976,Ohio,7721000,4755323,61.6,4380800,56.7,374523,7.9
240,May 1976,Oklahoma,2015000,1183247,58.7,1114483,55.3,68764,5.8
241,May 1976,Oregon,1732000,1076382,62.1,977331,56.4,99051,9.2
242,May 1976,Pennsylvania,8798000,5120204,58.2,4703981,53.5,416223,8.1
243,May 1976,Rhode Island,694000,435966,62.8,400890,57.8,35076,8.0
244,May 1976,South Carolina,2001000,1291116,64.5,1199126,59.9,91990,7.1
245,May 1976,South Dakota,480000,308764,64.3,299427,62.4,9337,3.0
246,May 1976,Tennessee,3103000,1837093,59.2,1729974,55.8,107119,5.8
247,May 1976,Texas,8922000,5684052,63.7,5350734,60.0,333318,5.9
248,May 1976,Utah,833000,522952,62.8,493574,59.3,29378,5.6
249,May 1976,Vermont,342000,215053,62.9,196524,57.5,18529,8.6
250,May 1976,Virginia,3567000,2334945,65.5,2199661,61.7,135284,5.8
251,May 1976,Washington,2623000,1593891,60.8,1455187,55.5,138704,8.7
252,May 1976,West Virginia,1363000,700747,51.4,646032,47.4,54715,7.8
253,May 1976,Wisconsin,3260000,2133418,65.4,2015918,61.8,117500,5.5
254,May 1976,Wyoming,274000,177909,64.9,170664,62.3,7245,4.1
255,June 1976,Alabama,2631000,1493270,56.8,1396510,53.1,96760,6.5
256,June 1976,Alaska,240000,163686,68.2,152003,63.3,11683,7.1
257,June 1976,Arizona,1647000,984254,59.8,890022,54.0,94232,9.6
258,June 1976,Arkansas,1544000,887726,57.5,825275,53.5,62451,7.0
259,June 1976,California,15804000,9870502,62.5,8990510,56.9,879992,8.9
260,June 1976,Colorado,1855000,1232568,66.4,1163342,62.7,69226,5.6
261,June 1976,Connecticut,2259000,1457458,64.5,1319292,58.4,138166,9.5
262,June 1976,Delaware,420000,264322,62.9,240938,57.4,23384,8.8
263,June 1976,District of Columbia,517000,335657,64.9,306449,59.3,29208,8.7
264,June 1976,Florida,6499000,3602438,55.4,3280804,50.5,321634,8.9
265,June 1976,Georgia,3553000,2267990,63.8,2087124,58.7,180866,8.0
266,June 1976,Hawaii,591000,410779,69.5,371272,62.8,39507,9.6
267,June 1976,Idaho,588000,371921,63.3,350995,59.7,20926,5.6
268,June 1976,Illinois,8174000,5148731,63.0,4811721,58.9,337010,6.5
269,June 1976,Indiana,3810000,2433743,63.9,2292942,60.2,140801,5.8
270,June 1976,Iowa,2081000,1335660,64.2,1283290,61.7,52370,3.9
271,June 1976,Kansas,1647000,1070168,65.0,1025075,62.2,45093,4.2
272,June 1976,Kentucky,2485000,1492875,60.1,1411989,56.8,80886,5.4
273,June 1976,Louisiana,2705000,1527804,56.5,1424206,52.7,103598,6.8
274,June 1976,Maine,772000,476771,61.8,436293,56.5,40478,8.5
275,June 1976,Maryland,2975000,1912938,64.3,1785651,60.0,127287,6.7
276,June 1976,Massachusetts,4210000,2721925,64.7,2459155,58.4,262770,9.7
277,June 1976,Michigan,6448000,3996173,62.0,3620055,56.1,376118,9.4
278,June 1976,Minnesota,2811000,1846239,65.7,1743269,62.0,102970,5.6
279,June 1976,Mississippi,1656000,969806,58.6,909950,54.9,59856,6.2
280,June 1976,Missouri,3485000,2120593,60.8,1990642,57.1,129951,6.1
281,June 1976,Montana,536000,327764,61.2,308353,57.5,19411,5.9
282,June 1976,Nebraska,1101000,717505,65.2,695246,63.1,22259,3.1
283,June 1976,Nevada,462000,328597,71.1,300068,64.9,28529,8.7
284,June 1976,New Hampshire,601000,396701,66.0,370769,61.7,25932,6.5
285,June 1976,New Jersey,5381000,3311189,61.5,2967398,55.1,343791,10.4
286,June 1976,New Mexico,807000,480530,59.5,437826,54.3,42704,8.9
287,June 1976,New York,13224000,7710197,58.3,6926350,52.4,783847,10.2
288,June 1976,North Carolina,3933000,2611298,66.4,2456438,62.5,154860,5.9
289,June 1976,North Dakota,446000,278512,62.4,268372,60.2,10140,3.6
290,June 1976,Ohio,7726000,4752606,61.5,4385437,56.8,367169,7.7
291,June 1976,Oklahoma,2019000,1185470,58.7,1117372,55.3,68098,5.7
292,June 1976,Oregon,1736000,1081143,62.3,983132,56.6,98011,9.1
293,June 1976,Pennsylvania,8804000,5126930,58.2,4714719,53.6,412211,8.0
294,June 1976,Rhode Island,695000,436521,62.8,401452,57.8,35069,8.0
295,June 1976,South Carolina,2005000,1292328,64.5,1201890,59.9,90438,7.0
296,June 1976,South Dakota,480000,308993,64.4,299623,62.4,9370,3.0
297,June 1976,Tennessee,3110000,1851184,59.5,1743304,56.1,107880,5.8
298,June 1976,Texas,8948000,5714998,63.9,5381718,60.1,333280,5.8
299,June 1976,Utah,835000,525864,63.0,496755,59.5,29109,5.5
300,June 1976,Vermont,342000,216002,63.2,197661,57.8,18341,8.5
301,June 1976,Virginia,3575000,2339651,65.4,2204049,61.7,135602,5.8
302,June 1976,Washington,2630000,1604708,61.0,1464167,55.7,140541,8.8
303,June 1976,West Virginia,1366000,698539,51.1,645282,47.2,53257,7.6
304,June 1976,Wisconsin,3263000,2140193,65.6,2024313,62.0,115880,5.4
305,June 1976,Wyoming,275000,179296,65.2,172109,62.6,7187,4.0
306,July 1976,Alabama,2636000,1497488,56.8,1398508,53.1,98980,6.6
307,July 1976,Alaska,242000,165354,68.3,153206,63.3,12148,7.3
308,July 1976,Arizona,1652000,988887,59.9,895746,54.2,93141,9.4
309,July 1976,Arkansas,1545000,891219,57.7,830028,53.7,61191,6.9
310,July 1976,California,15841000,9912233,62.6,9021152,56.9,891081,9.0
311,July 1976,Colorado,1859000,1235853,66.5,1164288,62.6,71565,5.8
312,July 1976,Connecticut,2261000,1462313,64.7,1325601,58.6,136712,9.3
313,July 1976,Delaware,421000,265027,63.0,240614,57.2,24413,9.2
314,July 1976,District of Columbia,517000,334066,64.6,304814,59.0,29252,8.8
315,July 1976,Florida,6514000,3605780,55.4,3288271,50.5,317509,8.8
316,July 1976,Georgia,3559000,2276334,64.0,2095905,58.9,180429,7.9
317,July 1976,Hawaii,593000,410576,69.2,372349,62.8,38227,9.3
318,July 1976,Idaho,590000,374265,63.4,353139,59.9,21126,5.6
319,July 1976,Illinois,8183000,5154904,63.0,4815656,58.8,339248,6.6
320,July 1976,Indiana,3814000,2441098,64.0,2302543,60.4,138555,5.7
321,July 1976,Iowa,2084000,1339836,64.3,1288246,61.8,51590,3.9
322,July 1976,Kansas,1649000,1073420,65.1,1028649,62.4,44771,4.2
323,July 1976,Kentucky,2490000,1494595,60.0,1414170,56.8,80425,5.4
324,July 1976,Louisiana,2712000,1533265,56.5,1426892,52.6,106373,6.9
325,July 1976,Maine,774000,477028,61.6,436637,56.4,40391,8.5
326,July 1976,Maryland,2979000,1917430,64.4,1788622,60.0,128808,6.7
327,July 1976,Massachusetts,4213000,2723542,64.6,2467055,58.6,256487,9.4
328,July 1976,Michigan,6454000,4007046,62.1,3637730,56.4,369316,9.2
329,July 1976,Minnesota,2815000,1853353,65.8,1749692,62.2,103661,5.6
330,July 1976,Mississippi,1659000,972883,58.6,912384,55.0,60499,6.2
331,July 1976,Missouri,3489000,2132641,61.1,2000098,57.3,132543,6.2
332,July 1976,Montana,537000,328695,61.2,309084,57.6,19611,6.0
333,July 1976,Nebraska,1102000,718924,65.2,696607,63.2,22317,3.1
334,July 1976,Nevada,464000,330705,71.3,302176,65.1,28529,8.6
335,July 1976,New Hampshire,602000,398797,66.2,373163,62.0,25634,6.4
336,July 1976,New Jersey,5385000,3318401,61.6,2972413,55.2,345988,10.4
337,July 1976,New Mexico,810000,482648,59.6,439924,54.3,42724,8.9
338,July 1976,New York,13230000,7714711,58.3,6928065,52.4,786646,10.2
339,July 1976,North Carolina,3940000,2616425,66.4,2462323,62.5,154102,5.9
340,July 1976,North Dakota,447000,279594,62.5,269074,60.2,10520,3.8
341,July 1976,Ohio,7731000,4749372,61.4,4388313,56.8,361059,7.6
342,July 1976,Oklahoma,2023000,1187467,58.7,1120145,55.4,67322,5.7
343,July 1976,Oregon,1740000,1087537,62.5,989212,56.9,98325,9.0
344,July 1976,Pennsylvania,8810000,5130996,58.2,4724714,53.6,406282,7.9
345,July 1976,Rhode Island,696000,437006,62.8,401730,57.7,35276,8.1
346,July 1976,South Carolina,2009000,1294202,64.4,1204370,59.9,89832,6.9
347,July 1976,South Dakota,481000,309365,64.3,299746,62.3,9619,3.1
348,July 1976,Tennessee,3116000,1865156,59.9,1755158,56.3,109998,5.9
349,July 1976,Texas,8974000,5739119,64.0,5407584,60.3,331535,5.8
350,July 1976,Utah,837000,528720,63.2,499743,59.7,28977,5.5
351,July 1976,Vermont,343000,216844,63.2,198770,58.0,18074,8.3
352,July 1976,Virginia,3583000,2343598,65.4,2207139,61.6,136459,5.8
353,July 1976,Washington,2636000,1618080,61.4,1474961,56.0,143119,8.8
354,July 1976,West Virginia,1369000,695860,50.8,644584,47.1,51276,7.4
355,July 1976,Wisconsin,3267000,2146728,65.7,2031358,62.2,115370,5.4
356,July 1976,Wyoming,276000,180577,65.4,173470,62.9,7107,3.9
357,August 1976,Alabama,2641000,1502397,56.9,1400824,53.0,101573,6.8
358,August 1976,Alaska,243000,166528,68.5,153864,63.3,12664,7.6
359,August 1976,Arizona,1658000,993223,59.9,900283,54.3,92940,9.4
360,August 1976,Arkansas,1548000,894719,57.8,834576,53.9,60143,6.7
361,August 1976,California,15879000,9950583,62.7,9044297,57.0,906286,9.1
362,August 1976,Colorado,1865000,1240888,66.5,1166968,62.6,73920,6.0
363,August 1976,Connecticut,2263000,1465194,64.7,1330591,58.8,134603,9.2
