index,Month and Year,State,Civilian Population,Total Labor Force,Percent of Population,Employed - Total,Employed - Percent of Population,Unemployed - Total,Unemployed - Percent of Labor Force
25757,February 2018,Arizona,5528429,3355522,60.7,3191923,57.7,163599,4.9
25758,February 2018,Arkansas,2334835,1353767,58.0,1302964,55.8,50803,3.8
25759,February 2018,California,31146399,19392828,62.3,18549799,59.6,843029,4.3
25760,February 2018,Colorado,4438713,3041965,68.5,2949473,66.4,92492,3.0
25761,February 2018,Connecticut,2894278,1908154,65.9,1821246,62.9,86908,4.6
25762,February 2018,Delaware,771915,479075,62.1,457936,59.3,21139,4.4
25763,February 2018,District of Columbia,573606,402588,70.2,379836,66.2,22752,5.7
25764,February 2018,Florida,17136282,10176274,59.4,9778056,57.1,398218,3.9
25765,February 2018,Georgia,8076006,5115288,63.3,4887760,60.5,227528,4.4
25766,February 2018,Hawaii,1095404,683547,62.4,669390,61.1,14157,2.1
25767,February 2018,Idaho,1322300,846451,64.0,821460,62.1,24991,3.0
25768,February 2018,Illinois,10055730,6491773,64.6,6186468,61.5,305305,4.7
25769,February 2018,Indiana,5202029,3315405,63.7,3208242,61.7,107163,3.2
25770,February 2018,Iowa,2462881,1673516,67.9,1625597,66.0,47919,2.9
25771,February 2018,Kansas,2223737,1476128,66.4,1425635,64.1,50493,3.4
25772,February 2018,Kentucky,3486173,2048993,58.8,1964153,56.3,84840,4.1
25773,February 2018,Louisiana,3596877,2128050,59.2,2032973,56.5,95077,4.5
25774,February 2018,Maine,1104689,699733,63.3,679724,61.5,20009,2.9
25775,February 2018,Maryland,4780345,3224669,67.5,3090292,64.6,134377,4.2
25776,February 2018,Massachusetts,5609183,3669508,65.4,3541921,63.1,127587,3.5
25777,February 2018,Michigan,7967153,4897455,61.5,4664810,58.6,232645,4.8
25778,February 2018,Minnesota,4393144,3086058,70.2,2986232,68.0,99826,3.2
25779,February 2018,Mississippi,2291935,1274112,55.6,1216454,53.1,57658,4.5
25780,February 2018,Missouri,4796357,3040806,63.4,2929743,61.1,111063,3.7
25781,February 2018,Montana,838288,526536,62.8,504846,60.2,21690,4.1
25782,February 2018,Nebraska,1472932,1009377,68.5,980984,66.6,28393,2.8
25783,February 2018,Nevada,2381974,1480396,62.1,1407901,59.1,72495,4.9
25784,February 2018,New Hampshire,1105804,747307,67.6,728082,65.8,19225,2.6
25785,February 2018,New Jersey,7180959,4506807,62.8,4297357,59.8,209450,4.6
25786,February 2018,New Mexico,1624419,935022,57.6,881113,54.2,53909,5.8
25787,February 2018,New York,15960578,9692597,60.7,9242710,57.9,449887,4.6
25788,February 2018,North Carolina,8101027,4974340,61.4,4751952,58.7,222388,4.5
25789,February 2018,North Dakota,579228,413613,71.4,402675,69.5,10938,2.6
25790,February 2018,Ohio,9213291,5765770,62.6,5504222,59.7,261548,4.5
25791,February 2018,Oklahoma,3004345,1845063,61.4,1769910,58.9,75153,4.1
25792,February 2018,Oregon,3361594,2129795,63.4,2041760,60.7,88035,4.1
25793,February 2018,Pennsylvania,10276743,6410542,62.4,6100672,59.4,309870,4.8
25794,February 2018,Rhode Island,864323,557365,64.5,532000,61.6,25365,4.6
25795,February 2018,South Carolina,3986188,2324812,58.3,2223397,55.8,101415,4.4
25796,February 2018,South Dakota,663431,458329,69.1,442692,66.7,15637,3.4
25797,February 2018,Tennessee,5315710,3221992,60.6,3113541,58.6,108451,3.4
25798,February 2018,Texas,21482555,13656938,63.6,13112824,61.0,544114,4.0
25799,February 2018,Utah,2280339,1579114,69.2,1530499,67.1,48615,3.1
25800,February 2018,Vermont,516278,345923,67.0,336203,65.1,9720,2.8
25801,February 2018,Virginia,6640456,4320832,65.1,4171108,62.8,149724,3.5
25802,February 2018,Washington,5896689,3759978,63.8,3581914,60.7,178064,4.7
25803,February 2018,West Virginia,1456688,784765,53.9,742555,51.0,42210,5.4
25804,February 2018,Wisconsin,4608690,3161193,68.6,3068360,66.6,92833,2.9
25805,February 2018,Wyoming,445707,291482,65.4,279930,62.8,11552,4.0
25806,March 2018,Alabama,3841601,2162897,56.3,2081731,54.2,81166,3.8
25807,March 2018,Alaska,546229,362922,66.4,336510,61.6,26412,7.3
25808,March 2018,Arizona,5536593,3364525,60.8,3200073,57.8,164452,4.9
25809,March 2018,Arkansas,2335908,1353076,57.9,1301725,55.7,51351,3.8
25810,March 2018,California,31163550,19379922,62.2,18552167,59.5,827755,4.3
25811,March 2018,Colorado,4444676,3049371,68.6,2958793,66.6,90578,3.0
25812,March 2018,Connecticut,2894526,1904716,65.8,1818377,62.8,86339,4.5
25813,March 2018,Delaware,772616,480244,62.2,459547,59.5,20697,4.3
25814,March 2018,District of Columbia,574091,403727,70.3,380985,66.4,22742,5.6
25815,March 2018,Florida,17158582,10193386,59.4,9792976,57.1,400410,3.9
25816,March 2018,Georgia,8084437,5128566,63.4,4902544,60.6,226022,4.4
25817,March 2018,Hawaii,1095231,684631,62.5,670547,61.2,14084,2.1
25818,March 2018,Idaho,1324872,848131,64.0,823461,62.2,24670,2.9
25819,March 2018,Illinois,10054114,6492969,64.6,6195330,61.6,297639,4.6
25820,March 2018,Indiana,5204312,3323026,63.9,3217955,61.8,105071,3.2
25821,March 2018,Iowa,2463743,1673572,67.9,1626240,66.0,47332,2.8
25822,March 2018,Kansas,2224224,1475242,66.3,1425172,64.1,50070,3.4
25823,March 2018,Kentucky,3487275,2050194,58.8,1967164,56.4,83030,4.0
25824,March 2018,Louisiana,3596726,2133758,59.3,2038997,56.7,94761,4.4
25825,March 2018,Maine,1105106,700190,63.4,681003,61.6,19187,2.7
25826,March 2018,Maryland,4782072,3228185,67.5,3090652,64.6,137533,4.3
25827,March 2018,Massachusetts,5612017,3683675,65.6,3554923,63.3,128752,3.5
25828,March 2018,Michigan,7969510,4898245,61.5,4668345,58.6,229900,4.7
25829,March 2018,Minnesota,4396435,3093831,70.4,2994723,68.1,99108,3.2
25830,March 2018,Mississippi,2292017,1273764,55.6,1216489,53.1,57275,4.5
25831,March 2018,Missouri,4797962,3039505,63.3,2929511,61.1,109994,3.6
25832,March 2018,Montana,839081,525950,62.7,504330,60.1,21620,4.1
25833,March 2018,Nebraska,1473784,1011002,68.6,982787,66.7,28215,2.8
25834,March 2018,Nevada,2386090,1484904,62.2,1411904,59.2,73000,4.9
25835,March 2018,New Hampshire,1106486,748688,67.7,729429,65.9,19259,2.6
25836,March 2018,New Jersey,7183018,4500017,62.6,4292899,59.8,207118,4.6
25837,March 2018,New Mexico,1624786,936511,57.6,884079,54.4,52432,5.6
25838,March 2018,New York,15961491,9675414,60.6,9226464,57.8,448950,4.6
25839,March 2018,North Carolina,8109696,4977843,61.4,4755326,58.6,222517,4.5
25840,March 2018,North Dakota,579087,413361,71.4,402610,69.5,10751,2.6
25841,March 2018,Ohio,9215482,5770546,62.6,5517975,59.9,252571,4.4
25842,March 2018,Oklahoma,3004999,1848315,61.5,1773774,59.0,74541,4.0
25843,March 2018,Oregon,3365601,2131620,63.3,2043490,60.7,88130,4.1
25844,March 2018,Pennsylvania,10277718,6393600,62.2,6089402,59.2,304198,4.8
25845,March 2018,Rhode Island,864493,558040,64.6,532745,61.6,25295,4.5
25846,March 2018,South Carolina,3990832,2327331,58.3,2225252,55.8,102079,4.4
25847,March 2018,South Dakota,663914,459143,69.2,443689,66.8,15454,3.4
25848,March 2018,Tennessee,5320310,3224893,60.6,3114752,58.5,110141,3.4
25849,March 2018,Texas,21509921,13702943,63.7,13150595,61.1,552348,4.0
25850,March 2018,Utah,2284523,1582790,69.3,1534287,67.2,48503,3.1
25851,March 2018,Vermont,516340,346963,67.2,337376,65.3,9587,2.8
25852,March 2018,Virginia,6644390,4325344,65.1,4178350,62.9,146994,3.4
25853,March 2018,Washington,5905106,3761537,63.7,3583088,60.7,178449,4.7
25854,March 2018,West Virginia,1455825,785418,54.0,743225,51.1,42193,5.4
25855,March 2018,Wisconsin,4610451,3168552,68.7,3078038,66.8,90514,2.9
25856,March 2018,Wyoming,445364,291076,65.4,279855,62.8,11221,3.9
25857,April 2018,Alabama,3842724,2169509,56.5,2086358,54.3,83151,3.8
25858,April 2018,Alaska,546137,362949,66.5,336494,61.6,26455,7.3
25859,April 2018,Arizona,5545069,3370639,60.8,3206798,57.8,163841,4.9
25860,April 2018,Arkansas,2337096,1351935,57.8,1300292,55.6,51643,3.8
25861,April 2018,California,31182686,19358521,62.1,18543030,59.5,815491,4.2
25862,April 2018,Colorado,4450796,3056040,68.7,2967998,66.7,88042,2.9
25863,April 2018,Connecticut,2894856,1900950,65.7,1815200,62.7,85750,4.5
25864,April 2018,Delaware,773327,481417,62.3,461305,59.7,20112,4.2
25865,April 2018,District of Columbia,574625,405379,70.5,382638,66.6,22741,5.6
25866,April 2018,Florida,17181707,10204507,59.4,9806859,57.1,397648,3.9
25867,April 2018,Georgia,8093219,5137984,63.5,4915689,60.7,222295,4.3
25868,April 2018,Hawaii,1095186,685777,62.6,671760,61.3,14017,2.0
25869,April 2018,Idaho,1327475,849383,64.0,824823,62.1,24560,2.9
25870,April 2018,Illinois,10052920,6489223,64.6,6202079,61.7,287144,4.4
25871,April 2018,Indiana,5206756,3335033,64.1,3229231,62.0,105802,3.2
25872,April 2018,Iowa,2464685,1674213,67.9,1627248,66.0,46965,2.8
25873,April 2018,Kansas,2224740,1474574,66.3,1424561,64.0,50013,3.4
25874,April 2018,Kentucky,3488454,2054136,58.9,1971026,56.5,83110,4.0
25875,April 2018,Louisiana,3596728,2137983,59.4,2042325,56.8,95658,4.5
25876,April 2018,Maine,1105568,701228,63.4,682066,61.7,19162,2.7
25877,April 2018,Maryland,4783988,3229782,67.5,3091094,64.6,138688,4.3
25878,April 2018,Massachusetts,5615038,3704674,66.0,3574653,63.7,130021,3.5
25879,April 2018,Michigan,7972075,4902592,61.5,4674373,58.6,228219,4.7
25880,April 2018,Minnesota,4399847,3100993,70.5,3001827,68.2,99166,3.2
25881,April 2018,Mississippi,2292237,1275321,55.6,1217089,53.1,58232,4.6
25882,April 2018,Missouri,4799702,3039824,63.3,2930473,61.1,109351,3.6
25883,April 2018,Montana,839905,524864,62.5,503625,60.0,21239,4.0
25884,April 2018,Nebraska,1474673,1012250,68.6,983754,66.7,28496,2.8
25885,April 2018,Nevada,2390284,1488928,62.3,1415803,59.2,73125,4.9
25886,April 2018,New Hampshire,1107200,750748,67.8,731103,66.0,19645,2.6
25887,April 2018,New Jersey,7185433,4489212,62.5,4285851,59.6,203361,4.5
25888,April 2018,New Mexico,1625268,937560,57.7,886989,54.6,50571,5.4
25889,April 2018,New York,15963114,9665693,60.6,9217012,57.7,448681,4.6
25890,April 2018,North Carolina,8118635,4981554,61.4,4761974,58.7,219580,4.4
25891,April 2018,North Dakota,578962,412466,71.2,401686,69.4,10780,2.6
25892,April 2018,Ohio,9217903,5777645,62.7,5528734,60.0,248911,4.3
25893,April 2018,Oklahoma,3005776,1851095,61.6,1776424,59.1,74671,4.0
25894,April 2018,Oregon,3369751,2129328,63.2,2041394,60.6,87934,4.1
25895,April 2018,Pennsylvania,10278935,6378191,62.1,6080453,59.2,297738,4.7
